Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,3.0,3.0,0.0,0.0
2020-03-09,3.0,3.0,0.0,0.0
2020-03-10,3.0,3.0,0.0,0.0
2020-03-11,3.0,3.0,0.0,0.0
2020-03-12,3.0,3.0,0.0,0.0
2020-03-13,3.0,3.0,0.0,0.0
2020-03-14,3.0,3.0,0.0,0.0
2020-03-15,5.0,5.0,0.0,0.0
2020-03-16,6.0,8.0,0.0,2.0
2020-03-17,7.0,10.0,0.0,3.0
2020-03-18,10.0,14.0,1.0,3.0
2020-03-19,13.0,17.0,1.0,3.0
2020-03-20,16.0,20.0,1.0,3.0
2020-03-21,20.0,25.0,2.0,3.0
2020-03-22,22.0,27.0,2.0,3.0
2020-03-23,27.0,33.0,3.0,3.0
2020-03-24,30.0,39.0,4.0,5.0
2020-03-25,27.0,39.0,5.0,7.0
2020-03-26,28.0,44.0,5.0,11.0
2020-03-27,32.0,48.0,5.0,11.0
2020-03-28,28.0,48.0,5.0,15.0
2020-03-29,28.0,48.0,5.0,15.0
2020-03-30,25.0,49.0,5.0,19.0
2020-03-31,21.0,51.0,5.0,25.0
2020-04-01,23.0,54.0,6.0,25.0
2020-04-02,25.0,56.0,6.0,25.0
2020-04-03,29.0,61.0,6.0,26.0
2020-04-04,32.0,70.0,8.0,30.0
2020-04-05,46.0,88.0,9.0,33.0
2020-04-06,78.0,123.0,12.0,33.0
2020-04-07,114.0,164.0,17.0,33.0
2020-04-08,165.0,218.0,20.0,33.0
2020-04-09,276.0,330.0,21.0,33.0
2020-04-10,364.0,424.0,27.0,33.0
2020-04-11,416.0,482.0,30.0,36.0
2020-04-12,548.0,621.0,34.0,39.0
2020-04-13,722.0,803.0,39.0,42.0
2020-04-14,924.0,1012.0,46.0,42.0
2020-04-15,1132.0,1231.0,50.0,49.0
2020-04-16,1463.0,1572.0,60.0,49.0
2020-04-17,1705.0,1838.0,75.0,58.0
2020-04-18,1994.0,2144.0,84.0,66.0
2020-04-19,2290.0,2456.0,91.0,75.0
2020-04-20,2762.0,2948.0,101.0,85.0
2020-04-21,3185.0,3382.0,110.0,87.0
2020-04-22,3560.0,3772.0,120.0,92.0
2020-04-23,3951.0,4186.0,127.0,108.0
2020-04-24,4446.0,4689.0,131.0,112.0
2020-04-25,4745.0,4998.0,140.0,113.0
2020-04-26,5149.0,5416.0,145.0,122.0
2020-04-27,5630.0,5913.0,152.0,131.0
2020-04-28,6168.0,6462.0,155.0,139.0
2020-04-29,6790.0,7103.0,163.0,150.0
2020-04-30,7339.0,7667.0,168.0,160.0
2020-05-01,7894.0,8238.0,170.0,174.0
2020-05-02,8438.0,8790.0,175.0,177.0
2020-05-03,8215.0,9455.0,177.0,1063.0
2020-05-04,8752.0,10143.0,182.0,1209.0
2020-05-05,9343.0,10929.0,183.0,1403.0
2020-05-06,10130.0,11719.0,186.0,1403.0
2020-05-07,10316.0,12425.0,199.0,1910.0
2020-05-08,10827.0,13134.0,206.0,2101.0
2020-05-09,11142.0,13770.0,214.0,2414.0
2020-05-10,11779.0,14657.0,228.0,2650.0
2020-05-11,12550.0,15691.0,239.0,2902.0
2020-05-12,13263.0,16660.0,250.0,3147.0
2020-05-13,14192.0,17822.0,269.0,3361.0
2020-05-14,15219.0,18863.0,283.0,3361.0
2020-05-15,15885.0,20065.0,298.0,3882.0
2020-05-16,16564.0,20995.0,314.0,4117.0
2020-05-17,17567.0,22268.0,328.0,4373.0
2020-05-18,18936.0,23870.0,349.0,4585.0
2020-05-19,19758.0,25121.0,370.0,4993.0
2020-05-20,21145.0,26738.0,386.0,5207.0
2020-05-21,22501.0,28511.0,408.0,5602.0
2020-05-22,23583.0,30205.0,432.0,6190.0
2020-05-23,25140.0,32078.0,452.0,6486.0
2020-05-24,26229.0,33610.0,480.0,6901.0
2020-05-25,27750.0,35585.0,501.0,7334.0
2020-05-26,28650.0,36751.0,522.0,7579.0
2020-05-27,29823.0,38292.0,544.0,7925.0
2020-05-28,31337.0,40321.0,559.0,8425.0
2020-05-29,33247.0,42844.0,582.0,9015.0
2020-05-30,34623.0,44608.0,610.0,9375.0
2020-05-31,36722.0,47153.0,650.0,9781.0
2020-06-01,38265.0,49534.0,672.0,10597.0
2020-06-02,40616.0,52445.0,709.0,11120.0
2020-06-03,42804.0,55140.0,746.0,11590.0
2020-06-04,44621.0,57563.0,781.0,12161.0
2020-06-05,46776.0,60391.0,811.0,12804.0
2020-06-06,48855.0,63026.0,846.0,13325.0
2020-06-07,50978.0,65769.0,888.0,13903.0
2020-06-08,53014.0,68504.0,930.0,14560.0
2020-06-09,55363.0,71675.0,975.0,15337.0
2020-06-10,57953.0,74865.0,1012.0,15900.0
2020-06-11,60256.0,78052.0,1049.0,16747.0
2020-06-12,63179.0,81523.0,1095.0,17249.0
2020-06-13,65412.0,84379.0,1139.0,17828.0
2020-06-14,67619.0,87520.0,1171.0,18730.0
2020-06-15,70679.0,90619.0,1209.0,18731.0
2020-06-16,56955.0,94481.0,1262.0,36264.0
