Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0
2020-03-23,1.0,1.0,0.0,0.0
2020-03-24,1.0,1.0,0.0,0.0
2020-03-25,2.0,2.0,0.0,0.0
2020-03-26,2.0,2.0,0.0,0.0
2020-03-27,2.0,2.0,0.0,0.0
2020-03-28,2.0,2.0,0.0,0.0
2020-03-29,2.0,2.0,0.0,0.0
2020-03-30,3.0,3.0,0.0,0.0
2020-03-31,3.0,3.0,0.0,0.0
2020-04-01,3.0,3.0,0.0,0.0
2020-04-02,3.0,3.0,0.0,0.0
2020-04-03,4.0,4.0,0.0,0.0
2020-04-04,4.0,4.0,0.0,0.0
2020-04-05,5.0,5.0,0.0,0.0
2020-04-06,6.0,7.0,1.0,0.0
2020-04-07,6.0,7.0,1.0,0.0
2020-04-08,7.0,8.0,1.0,0.0
2020-04-09,8.0,9.0,1.0,0.0
2020-04-10,8.0,10.0,2.0,0.0
2020-04-11,11.0,13.0,2.0,0.0
2020-04-12,12.0,14.0,2.0,0.0
2020-04-13,16.0,18.0,2.0,0.0
2020-04-14,16.0,18.0,2.0,0.0
2020-04-15,16.0,18.0,2.0,0.0
2020-04-16,16.0,18.0,2.0,0.0
2020-04-17,16.0,18.0,2.0,0.0
2020-04-18,16.0,18.0,2.0,0.0
2020-04-19,14.0,18.0,2.0,2.0
2020-04-20,14.0,18.0,2.0,2.0
2020-04-21,14.0,18.0,2.0,2.0
2020-04-22,14.0,18.0,2.0,2.0
2020-04-23,11.0,18.0,2.0,5.0
2020-04-24,11.0,18.0,2.0,5.0
2020-04-25,11.0,18.0,2.0,5.0
2020-04-26,11.0,18.0,2.0,5.0
2020-04-27,10.0,18.0,2.0,6.0
2020-04-28,7.0,18.0,2.0,9.0
2020-04-29,7.0,18.0,2.0,9.0
2020-04-30,7.0,18.0,2.0,9.0
2020-05-01,3.0,18.0,2.0,13.0
2020-05-02,3.0,18.0,2.0,13.0
2020-05-03,3.0,18.0,2.0,13.0
2020-05-04,2.0,18.0,2.0,14.0
2020-05-05,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-06,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-07,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-08,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-09,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-10,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-11,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-12,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-13,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-14,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-15,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-16,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-17,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-18,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-19,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-20,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-21,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-22,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-23,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-24,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-25,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-26,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-27,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-28,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-29,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-30,6.421052631578949,18.0,2.0,9.578947368421051
2020-05-31,6.421052631578949,18.0,2.0,9.578947368421051
2020-06-01,6.421052631578949,18.0,2.0,9.578947368421051
2020-06-02,6.421052631578949,18.0,2.0,9.578947368421051
2020-06-03,6.421052631578949,18.0,2.0,9.578947368421051
2020-06-04,6.421052631578949,18.0,2.0,9.578947368421051
2020-06-05,6.888888888888889,19.0,2.0,10.11111111111111
2020-06-06,6.888888888888889,19.0,2.0,10.11111111111111
2020-06-07,6.888888888888889,19.0,2.0,10.11111111111111
2020-06-08,6.888888888888889,19.0,2.0,10.11111111111111
2020-06-09,7.356725146198832,20.0,2.0,10.643274853801168
2020-06-10,7.356725146198832,20.0,2.0,10.643274853801168
2020-06-11,7.356725146198832,20.0,2.0,10.643274853801168
