Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0
2020-03-11,11.0,11.0,0.0,0.0
2020-03-12,11.0,11.0,0.0,0.0
2020-03-13,37.0,37.0,0.0,0.0
2020-03-14,40.0,40.0,0.0,0.0
2020-03-15,50.0,50.0,0.0,0.0
2020-03-16,54.0,54.0,0.0,0.0
2020-03-17,56.0,56.0,0.0,0.0
2020-03-18,68.0,68.0,0.0,0.0
2020-03-19,75.0,75.0,0.0,0.0
2020-03-20,77.0,78.0,0.0,1.0
2020-03-21,81.0,83.0,0.0,2.0
2020-03-22,86.0,88.0,0.0,2.0
2020-03-23,89.0,91.0,0.0,2.0
2020-03-24,102.0,104.0,0.0,2.0
2020-03-25,107.0,109.0,0.0,2.0
2020-03-26,109.0,114.0,0.0,5.0
2020-03-27,104.0,115.0,0.0,11.0
2020-03-28,94.0,120.0,1.0,25.0
2020-03-29,91.0,126.0,1.0,34.0
2020-03-30,88.0,127.0,1.0,38.0
2020-03-31,83.0,129.0,1.0,45.0
2020-04-01,78.0,131.0,1.0,52.0
2020-04-02,76.0,133.0,1.0,56.0
2020-04-03,68.0,134.0,1.0,65.0
2020-04-04,68.0,135.0,1.0,66.0
2020-04-05,61.0,135.0,1.0,73.0
2020-04-06,52.0,135.0,1.0,82.0
2020-04-07,49.0,135.0,1.0,85.0
2020-04-08,43.0,135.0,1.0,91.0
2020-04-09,42.0,135.0,1.0,92.0
2020-04-10,36.0,136.0,1.0,99.0
2020-04-11,31.0,136.0,1.0,104.0
2020-04-12,29.0,136.0,1.0,106.0
2020-04-13,28.0,136.0,1.0,107.0
2020-04-14,28.0,136.0,1.0,107.0
2020-04-15,27.0,136.0,1.0,108.0
2020-04-16,27.0,136.0,1.0,108.0
2020-04-17,23.0,136.0,1.0,112.0
2020-04-18,23.0,137.0,1.0,113.0
2020-04-19,22.0,138.0,1.0,115.0
2020-04-20,21.0,138.0,1.0,116.0
2020-04-21,21.0,138.0,1.0,116.0
2020-04-22,20.0,138.0,1.0,117.0
2020-04-23,18.0,138.0,1.0,119.0
2020-04-24,17.0,138.0,1.0,120.0
2020-04-25,16.0,138.0,1.0,121.0
2020-04-26,14.0,138.0,1.0,123.0
2020-04-27,13.0,138.0,1.0,124.0
2020-04-28,13.0,138.0,1.0,124.0
2020-04-29,13.0,138.0,1.0,124.0
2020-04-30,13.0,138.0,1.0,124.0
2020-05-01,13.0,138.0,1.0,124.0
2020-05-02,11.0,138.0,1.0,126.0
2020-05-03,9.0,138.0,1.0,128.0
2020-05-04,7.0,138.0,1.0,130.0
2020-05-05,6.0,138.0,1.0,131.0
2020-05-06,7.0,139.0,1.0,131.0
2020-05-07,9.0,141.0,1.0,131.0
2020-05-08,8.0,141.0,1.0,132.0
2020-05-09,8.0,141.0,1.0,132.0
2020-05-10,6.0,141.0,1.0,134.0
2020-05-11,6.0,141.0,1.0,134.0
2020-05-12,6.0,141.0,1.0,134.0
2020-05-13,6.0,141.0,1.0,134.0
2020-05-14,6.0,141.0,1.0,134.0
2020-05-15,5.0,141.0,1.0,135.0
2020-05-16,4.0,141.0,1.0,136.0
2020-05-17,4.0,141.0,1.0,136.0
2020-05-18,4.0,141.0,1.0,136.0
2020-05-19,4.0,141.0,1.0,136.0
2020-05-20,4.0,141.0,1.0,136.0
2020-05-21,4.0,141.0,1.0,136.0
2020-05-22,4.0,141.0,1.0,136.0
2020-05-23,4.0,141.0,1.0,136.0
2020-05-24,3.0,141.0,1.0,137.0
2020-05-25,3.0,141.0,1.0,137.0
2020-05-26,3.0,141.0,1.0,137.0
2020-05-27,2.0,141.0,2.0,137.0
2020-05-28,3.792262035612225,141.0,2.0,135.20773796438777
2020-05-29,3.792262035612225,141.0,2.0,135.20773796438777
2020-05-30,3.792262035612225,141.0,2.0,135.20773796438777
2020-05-31,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-01,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-02,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-03,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-04,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-05,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-06,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-07,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-08,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-09,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-10,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-11,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-12,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-13,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-14,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-15,3.792262035612225,141.0,2.0,135.20773796438777
2020-06-16,2.792262035612225,141.0,3.0,135.20773796438777
2020-06-17,2.792262035612225,141.0,3.0,135.20773796438777
