Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,4.0,4.0,0.0,0.0
2020-03-09,4.0,4.0,0.0,0.0
2020-03-10,4.0,4.0,0.0,0.0
2020-03-11,6.0,7.0,1.0,0.0
2020-03-12,6.0,7.0,1.0,0.0
2020-03-13,22.0,23.0,1.0,0.0
2020-03-14,39.0,41.0,2.0,0.0
2020-03-15,49.0,51.0,2.0,0.0
2020-03-16,50.0,52.0,2.0,0.0
2020-03-17,65.0,67.0,2.0,0.0
2020-03-18,90.0,92.0,2.0,0.0
2020-03-19,91.0,94.0,3.0,0.0
2020-03-20,124.0,127.0,3.0,0.0
2020-03-21,157.0,163.0,3.0,3.0
2020-03-22,181.0,187.0,3.0,3.0
2020-03-23,195.0,201.0,3.0,3.0
2020-03-24,212.0,218.0,3.0,3.0
2020-03-25,235.0,242.0,3.0,4.0
2020-03-26,253.0,264.0,3.0,8.0
2020-03-27,281.0,293.0,3.0,9.0
2020-03-28,313.0,331.0,7.0,11.0
2020-03-29,324.0,346.0,8.0,14.0
2020-03-30,334.0,359.0,8.0,17.0
2020-03-31,374.0,399.0,8.0,17.0
2020-04-01,392.0,422.0,10.0,20.0
2020-04-02,422.0,457.0,10.0,25.0
2020-04-03,441.0,485.0,14.0,30.0
2020-04-04,452.0,503.0,17.0,34.0
2020-04-05,474.0,531.0,20.0,37.0
2020-04-06,488.0,549.0,22.0,39.0
2020-04-07,512.0,577.0,23.0,42.0
2020-04-08,527.0,593.0,24.0,42.0
2020-04-09,546.0,618.0,24.0,48.0
2020-04-10,556.0,635.0,25.0,54.0
2020-04-11,571.0,661.0,28.0,62.0
2020-04-12,578.0,675.0,29.0,68.0
2020-04-13,582.0,685.0,32.0,71.0
2020-04-14,597.0,713.0,35.0,81.0
2020-04-15,606.0,747.0,36.0,105.0
2020-04-16,640.0,800.0,38.0,122.0
2020-04-17,664.0,846.0,41.0,141.0
2020-04-18,684.0,878.0,41.0,153.0
2020-04-19,691.0,894.0,42.0,161.0
2020-04-20,719.0,929.0,43.0,167.0
2020-04-21,760.0,975.0,45.0,170.0
2020-04-22,801.0,1024.0,49.0,174.0
2020-04-23,855.0,1097.0,52.0,190.0
2020-04-24,983.0,1234.0,54.0,197.0
2020-04-25,995.0,1247.0,55.0,197.0
2020-04-26,1039.0,1300.0,56.0,205.0
2020-04-27,1099.0,1363.0,58.0,206.0
2020-04-28,1119.0,1399.0,58.0,222.0
2020-04-29,1140.0,1447.0,64.0,243.0
2020-04-30,1174.0,1506.0,66.0,266.0
2020-05-01,1211.0,1555.0,68.0,276.0
2020-05-02,1235.0,1594.0,72.0,287.0
2020-05-03,1237.0,1618.0,73.0,308.0
2020-05-04,1253.0,1652.0,78.0,321.0
2020-05-05,1282.0,1704.0,80.0,342.0
2020-05-06,1334.0,1778.0,84.0,360.0
2020-05-07,1361.0,1829.0,84.0,384.0
2020-05-08,1385.0,1872.0,86.0,401.0
2020-05-09,1409.0,1921.0,90.0,422.0
2020-05-10,1430.0,1965.0,91.0,444.0
2020-05-11,1436.0,1990.0,93.0,461.0
2020-05-12,1452.0,2023.0,95.0,476.0
2020-05-13,1474.0,2069.0,96.0,499.0
2020-05-14,1470.0,2100.0,99.0,531.0
2020-05-15,1491.0,2138.0,102.0,545.0
2020-05-16,1497.0,2175.0,105.0,573.0
2020-05-17,1505.0,2211.0,108.0,598.0
2020-05-18,1513.0,2235.0,110.0,612.0
2020-05-19,1501.0,2259.0,112.0,646.0
2020-05-20,1492.0,2292.0,116.0,684.0
2020-05-21,1484.0,2331.0,120.0,727.0
2020-05-22,1478.0,2372.0,125.0,769.0
2020-05-23,1474.0,2408.0,126.0,808.0
2020-05-24,1457.0,2427.0,130.0,840.0
2020-05-25,1441.0,2433.0,130.0,862.0
2020-05-26,1433.0,2443.0,130.0,880.0
2020-05-27,1415.0,2460.0,133.0,912.0
2020-05-28,1378.0,2477.0,134.0,965.0
2020-05-29,1333.0,2485.0,136.0,1016.0
2020-05-30,1296.0,2499.0,139.0,1064.0
2020-05-31,1299.0,2513.0,140.0,1074.0
2020-06-01,1289.0,2519.0,140.0,1090.0
2020-06-02,1271.0,2538.0,144.0,1123.0
2020-06-03,1208.0,2560.0,146.0,1206.0
2020-06-04,1116.0,2585.0,147.0,1322.0
2020-06-05,1078.0,2627.0,159.0,1390.0
2020-06-06,1006.0,2711.0,160.0,1545.0
2020-06-07,1019.0,2727.0,160.0,1548.0
2020-06-08,1059.0,2810.0,164.0,1587.0
2020-06-09,1099.0,2889.0,167.0,1623.0
2020-06-10,1162.0,2993.0,167.0,1664.0
2020-06-11,1230.0,3086.0,168.0,1688.0
2020-06-12,1303.0,3191.0,172.0,1716.0
2020-06-13,1371.0,3266.0,172.0,1723.0
2020-06-14,1386.0,3290.0,174.0,1730.0
2020-06-15,1381.0,3341.0,176.0,1784.0
2020-06-16,1455.0,3453.0,181.0,1817.0
2020-06-17,1478.0,3542.0,184.0,1880.0
2020-06-18,1543.0,3674.0,190.0,1941.0
2020-06-19,1554.0,3755.0,193.0,2008.0
