Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,1.0,1.0,0.0,0.0
2020-01-27,1.0,1.0,0.0,0.0
2020-01-28,2.0,2.0,0.0,0.0
2020-01-29,2.0,2.0,0.0,0.0
2020-01-30,2.0,2.0,0.0,0.0
2020-01-31,4.0,4.0,0.0,0.0
2020-02-01,4.0,4.0,0.0,0.0
2020-02-02,4.0,4.0,0.0,0.0
2020-02-03,4.0,4.0,0.0,0.0
2020-02-04,4.0,4.0,0.0,0.0
2020-02-05,5.0,5.0,0.0,0.0
2020-02-06,5.0,5.0,0.0,0.0
2020-02-07,7.0,7.0,0.0,0.0
2020-02-08,7.0,7.0,0.0,0.0
2020-02-09,7.0,7.0,0.0,0.0
2020-02-10,7.0,7.0,0.0,0.0
2020-02-11,7.0,7.0,0.0,0.0
2020-02-12,6.0,7.0,0.0,1.0
2020-02-13,6.0,7.0,0.0,1.0
2020-02-14,6.0,7.0,0.0,1.0
2020-02-15,6.0,7.0,0.0,1.0
2020-02-16,6.0,7.0,0.0,1.0
2020-02-17,7.0,8.0,0.0,1.0
2020-02-18,7.0,8.0,0.0,1.0
2020-02-19,7.0,8.0,0.0,1.0
2020-02-20,7.0,8.0,0.0,1.0
2020-02-21,6.0,9.0,0.0,3.0
2020-02-22,6.0,9.0,0.0,3.0
2020-02-23,6.0,9.0,0.0,3.0
2020-02-24,7.0,10.0,0.0,3.0
2020-02-25,8.0,11.0,0.0,3.0
2020-02-26,8.0,11.0,0.0,3.0
2020-02-27,7.0,13.0,0.0,6.0
2020-02-28,8.0,14.0,0.0,6.0
2020-02-29,14.0,20.0,0.0,6.0
2020-03-01,18.0,24.0,0.0,6.0
2020-03-02,21.0,27.0,0.0,6.0
2020-03-03,24.0,30.0,0.0,6.0
2020-03-04,27.0,33.0,0.0,6.0
2020-03-05,31.0,37.0,0.0,6.0
2020-03-06,43.0,49.0,0.0,6.0
2020-03-07,46.0,54.0,0.0,8.0
2020-03-08,56.0,64.0,0.0,8.0
2020-03-09,68.0,77.0,1.0,8.0
2020-03-10,70.0,79.0,1.0,8.0
2020-03-11,99.0,108.0,1.0,8.0
2020-03-12,108.0,117.0,1.0,8.0
2020-03-13,184.0,193.0,1.0,8.0
2020-03-14,189.0,198.0,1.0,8.0
2020-03-15,243.0,252.0,1.0,8.0
2020-03-16,402.0,415.0,4.0,9.0
2020-03-17,463.0,478.0,6.0,9.0
2020-03-18,637.0,657.0,11.0,9.0
2020-03-19,780.0,800.0,11.0,9.0
2020-03-20,919.0,943.0,15.0,9.0
2020-03-21,1248.0,1277.0,19.0,10.0
2020-03-22,1437.0,1469.0,22.0,10.0
2020-03-23,2049.0,2088.0,29.0,10.0
2020-03-24,2647.0,2790.0,33.0,110.0
2020-03-25,3026.0,3251.0,42.0,183.0
2020-03-26,3801.0,4042.0,57.0,184.0
2020-03-27,4360.0,4682.0,66.0,256.0
2020-03-28,5028.0,5576.0,82.0,466.0
2020-03-29,5718.0,6280.0,96.0,466.0
2020-03-30,6807.0,7398.0,125.0,466.0
2020-03-31,6783.0,8527.0,152.0,1592.0
2020-04-01,8061.0,9560.0,175.0,1324.0
2020-04-02,9325.0,11284.0,224.0,1735.0
2020-04-03,9985.0,12437.0,277.0,2175.0
2020-04-04,10041.0,12978.0,360.0,2577.0
2020-04-05,12309.0,15756.0,435.0,3012.0
2020-04-06,12787.0,16563.0,520.0,3256.0
2020-04-07,13500.0,17872.0,581.0,3791.0
2020-04-08,14339.0,19141.0,648.0,4154.0
2020-04-09,14721.0,20654.0,771.0,5162.0
2020-04-10,15337.0,22059.0,867.0,5855.0
2020-04-11,15741.0,23316.0,986.0,6589.0
2020-04-12,16081.0,24299.0,1095.0,7123.0
2020-04-13,16697.0,25680.0,1225.0,7758.0
2020-04-14,17464.0,27035.0,1361.0,8210.0
2020-04-15,17728.0,28209.0,1515.0,8966.0
2020-04-16,19393.0,30809.0,1718.0,9698.0
2020-04-17,20425.0,32814.0,1844.0,10545.0
2020-04-18,21405.0,34356.0,1987.0,10964.0
2020-04-19,21641.0,35633.0,2145.0,11847.0
2020-04-20,22824.0,37658.0,2291.0,12543.0
2020-04-21,23730.0,39402.0,2484.0,13188.0
2020-04-22,24530.0,41663.0,2679.0,14454.0
2020-04-23,25688.0,43299.0,2850.0,14761.0
2020-04-24,26740.0,44919.0,3030.0,15149.0
2020-04-25,27141.0,46371.0,3217.0,16013.0
2020-04-26,27776.0,48033.0,3374.0,16883.0
2020-04-27,27789.0,49616.0,3559.0,18268.0
2020-04-28,28163.0,51150.0,3756.0,19231.0
2020-04-29,28538.0,52865.0,4000.0,20327.0
2020-04-30,28854.0,54457.0,4179.0,21424.0
2020-05-01,29198.0,56343.0,4381.0,22764.0
2020-05-02,29583.0,57926.0,4529.0,23814.0
2020-05-03,30914.0,60504.0,4669.0,24921.0
2020-05-04,31016.0,61957.0,4911.0,26030.0
2020-05-05,31128.0,63215.0,5081.0,27006.0
2020-05-06,31270.0,64694.0,5240.0,28184.0
2020-05-07,31554.0,66201.0,5387.0,29260.0
2020-05-08,31895.0,67674.0,5540.0,30239.0
2020-05-09,31952.0,68918.0,5704.0,31262.0
2020-05-10,32160.0,70091.0,5822.0,32109.0
2020-05-11,32301.0,71264.0,5956.0,33007.0
2020-05-12,32257.0,72419.0,6107.0,34055.0
2020-05-13,32181.0,73568.0,6210.0,35177.0
2020-05-14,32346.0,74781.0,6331.0,36104.0
2020-05-15,32599.0,75959.0,6452.0,36908.0
2020-05-16,32803.0,77206.0,6571.0,37832.0
2020-05-17,33108.0,78332.0,6661.0,38563.0
2020-05-18,33407.0,79411.0,6753.0,39251.0
2020-05-19,33596.0,80493.0,6828.0,40069.0
2020-05-20,33832.0,81575.0,6950.0,40793.0
2020-05-21,33965.0,82742.0,7046.0,41731.0
2020-05-22,34195.0,83947.0,7144.0,42608.0
2020-05-23,34595.0,85151.0,7238.0,43318.0
2020-05-24,34782.0,86106.0,7326.0,43998.0
2020-05-25,35048.0,87119.0,7420.0,44651.0
2020-05-26,35226.0,88090.0,7512.0,45352.0
2020-05-27,35135.0,88989.0,7606.0,46248.0
2020-05-28,35298.0,89976.0,7717.0,46961.0
2020-05-29,35207.0,90909.0,7797.0,47905.0
2020-05-30,35307.0,91681.0,7857.0,48517.0
2020-05-31,35360.0,92479.0,7906.0,49213.0
2020-06-01,35245.0,93288.0,7952.0,50091.0
2020-06-02,35227.0,93960.0,8008.0,50725.0
2020-06-03,35073.0,94641.0,8062.0,51506.0
2020-06-04,34959.0,95269.0,8126.0,52184.0
2020-06-05,34707.0,95947.0,8166.0,53074.0
2020-06-06,34160.0,96475.0,8228.0,54087.0
2020-06-07,34234.0,97178.0,8269.0,54675.0
2020-06-08,34123.0,97779.0,8313.0,55343.0
2020-06-09,33777.0,98241.0,8347.0,56117.0
2020-06-10,33123.0,98720.0,8382.0,57215.0
2020-06-11,32615.0,99159.0,8413.0,58131.0
