Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0
2020-03-19,3.0,3.0,0.0,0.0
2020-03-20,3.0,3.0,0.0,0.0
2020-03-21,3.0,3.0,0.0,0.0
2020-03-22,3.0,3.0,0.0,0.0
2020-03-23,4.0,4.0,0.0,0.0
2020-03-24,4.0,4.0,0.0,0.0
2020-03-25,4.0,4.0,0.0,0.0
2020-03-26,4.0,4.0,0.0,0.0
2020-03-27,4.0,4.0,0.0,0.0
2020-03-28,4.0,4.0,0.0,0.0
2020-03-29,19.0,19.0,0.0,0.0
2020-03-30,19.0,19.0,0.0,0.0
2020-03-31,19.0,19.0,0.0,0.0
2020-04-01,19.0,19.0,0.0,0.0
2020-04-02,18.0,22.0,2.0,2.0
2020-04-03,18.0,22.0,2.0,2.0
2020-04-04,18.0,22.0,2.0,2.0
2020-04-05,38.0,45.0,5.0,2.0
2020-04-06,38.0,45.0,5.0,2.0
2020-04-07,38.0,45.0,5.0,2.0
2020-04-08,38.0,45.0,5.0,2.0
2020-04-09,50.0,60.0,5.0,5.0
2020-04-10,50.0,60.0,5.0,5.0
2020-04-11,50.0,60.0,5.0,5.0
2020-04-12,50.0,60.0,5.0,5.0
2020-04-13,50.0,60.0,5.0,5.0
2020-04-14,50.0,60.0,5.0,5.0
2020-04-15,101.0,117.0,5.0,11.0
2020-04-16,101.0,117.0,5.0,11.0
2020-04-17,126.0,143.0,6.0,11.0
2020-04-18,126.0,143.0,6.0,11.0
2020-04-19,126.0,143.0,6.0,11.0
2020-04-20,138.0,160.0,6.0,16.0
2020-04-21,143.0,165.0,6.0,16.0
2020-04-22,164.0,186.0,6.0,16.0
2020-04-23,164.0,186.0,6.0,16.0
2020-04-24,175.0,200.0,6.0,19.0
2020-04-25,175.0,200.0,6.0,19.0
2020-04-26,175.0,200.0,6.0,19.0
2020-04-27,175.0,200.0,6.0,19.0
2020-04-28,180.0,207.0,8.0,19.0
2020-04-29,180.0,207.0,8.0,19.0
2020-04-30,192.0,220.0,9.0,19.0
2020-05-01,195.0,229.0,9.0,25.0
2020-05-02,195.0,229.0,9.0,25.0
2020-05-03,195.0,229.0,9.0,25.0
2020-05-04,200.0,236.0,10.0,26.0
2020-05-05,200.0,236.0,10.0,26.0
2020-05-06,224.0,264.0,10.0,30.0
2020-05-07,224.0,264.0,10.0,30.0
2020-05-08,231.0,274.0,10.0,33.0
2020-05-09,231.0,274.0,10.0,33.0
2020-05-10,231.0,274.0,10.0,33.0
2020-05-11,269.0,333.0,11.0,53.0
2020-05-12,269.0,333.0,11.0,53.0
2020-05-13,269.0,333.0,11.0,53.0
2020-05-14,289.0,391.0,15.0,87.0
2020-05-15,289.0,391.0,15.0,87.0
2020-05-16,289.0,391.0,15.0,87.0
2020-05-17,289.0,391.0,15.0,87.0
2020-05-18,287.0,412.0,15.0,110.0
2020-05-19,273.0,420.0,15.0,132.0
2020-05-20,273.0,420.0,15.0,132.0
2020-05-21,316.0,469.0,16.0,137.0
2020-05-22,316.0,469.0,16.0,137.0
2020-05-23,324.0,487.0,16.0,147.0
2020-05-24,324.0,487.0,16.0,147.0
2020-05-25,324.0,487.0,16.0,147.0
2020-05-26,324.0,487.0,16.0,147.0
2020-05-27,391.0,571.0,19.0,161.0
2020-05-28,391.0,571.0,19.0,161.0
2020-05-29,391.0,571.0,19.0,161.0
2020-05-30,391.0,571.0,19.0,161.0
2020-05-31,412.0,611.0,20.0,179.0
2020-06-01,412.0,611.0,20.0,179.0
2020-06-02,412.0,611.0,20.0,179.0
2020-06-03,412.0,611.0,20.0,179.0
2020-06-04,412.0,611.0,20.0,179.0
2020-06-05,433.0,635.0,20.0,182.0
2020-06-06,451.0,683.0,22.0,210.0
2020-06-07,451.0,683.0,22.0,210.0
2020-06-08,451.0,683.0,22.0,210.0
2020-06-09,483.0,728.0,24.0,221.0
2020-06-10,483.0,728.0,24.0,221.0
2020-06-11,483.0,728.0,24.0,221.0
2020-06-12,483.0,728.0,24.0,221.0
2020-06-13,483.0,728.0,24.0,221.0
2020-06-14,483.0,728.0,24.0,221.0
2020-06-15,465.0,883.0,27.0,391.0
2020-06-16,465.0,883.0,27.0,391.0
2020-06-17,465.0,883.0,27.0,391.0
2020-06-18,465.0,883.0,27.0,391.0
2020-06-19,465.0,883.0,27.0,391.0
2020-06-20,465.0,883.0,27.0,391.0
2020-06-21,465.0,883.0,27.0,391.0
2020-06-22,594.0,1087.0,37.0,456.0
2020-06-23,594.0,1087.0,37.0,456.0
2020-06-24,594.0,1087.0,37.0,456.0
