Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0
2020-03-13,2.0,2.0,0.0,0.0
2020-03-14,2.0,2.0,0.0,0.0
2020-03-15,2.0,2.0,0.0,0.0
2020-03-16,2.0,2.0,0.0,0.0
2020-03-17,3.0,3.0,0.0,0.0
2020-03-18,4.0,4.0,0.0,0.0
2020-03-19,14.0,14.0,0.0,0.0
2020-03-20,18.0,18.0,0.0,0.0
2020-03-21,22.0,23.0,1.0,0.0
2020-03-22,29.0,30.0,1.0,0.0
2020-03-23,35.0,36.0,1.0,0.0
2020-03-24,43.0,45.0,2.0,0.0
2020-03-25,46.0,48.0,2.0,0.0
2020-03-26,48.0,51.0,3.0,0.0
2020-03-27,46.0,51.0,3.0,2.0
2020-03-28,57.0,65.0,6.0,2.0
2020-03-29,57.0,65.0,6.0,2.0
2020-03-30,71.0,81.0,8.0,2.0
2020-03-31,88.0,98.0,8.0,2.0
2020-04-01,97.0,109.0,9.0,3.0
2020-04-02,118.0,134.0,13.0,3.0
2020-04-03,118.0,134.0,13.0,3.0
2020-04-04,133.0,154.0,18.0,3.0
2020-04-05,133.0,154.0,18.0,3.0
2020-04-06,138.0,161.0,18.0,5.0
2020-04-07,153.0,180.0,18.0,9.0
2020-04-08,153.0,180.0,18.0,9.0
2020-04-09,153.0,180.0,18.0,9.0
2020-04-10,182.0,215.0,20.0,13.0
2020-04-11,187.0,223.0,20.0,16.0
2020-04-12,198.0,234.0,20.0,16.0
2020-04-13,198.0,235.0,20.0,17.0
2020-04-14,201.0,241.0,20.0,20.0
2020-04-15,212.0,254.0,21.0,21.0
2020-04-16,222.0,267.0,22.0,23.0
2020-04-17,239.0,287.0,23.0,25.0
2020-04-18,256.0,307.0,25.0,26.0
2020-04-19,276.0,327.0,25.0,26.0
2020-04-20,280.0,332.0,25.0,27.0
2020-04-21,290.0,350.0,25.0,35.0
2020-04-22,289.0,359.0,25.0,45.0
2020-04-23,305.0,377.0,25.0,47.0
2020-04-24,321.0,394.0,25.0,48.0
2020-04-25,339.0,416.0,28.0,49.0
2020-04-26,364.0,442.0,28.0,50.0
2020-04-27,381.0,459.0,28.0,50.0
2020-04-28,385.0,471.0,30.0,56.0
2020-04-29,402.0,491.0,30.0,59.0
2020-04-30,468.0,572.0,31.0,73.0
2020-05-01,497.0,604.0,32.0,75.0
2020-05-02,566.0,674.0,33.0,75.0
2020-05-03,566.0,674.0,33.0,75.0
2020-05-04,568.0,682.0,34.0,80.0
2020-05-05,581.0,705.0,34.0,90.0
2020-05-06,670.0,797.0,35.0,92.0
2020-05-07,724.0,863.0,36.0,103.0
2020-05-08,768.0,937.0,39.0,130.0
2020-05-09,768.0,937.0,39.0,130.0
2020-05-10,814.0,991.0,41.0,136.0
2020-05-11,842.0,1024.0,41.0,141.0
2020-05-12,912.0,1102.0,44.0,146.0
2020-05-13,971.0,1169.0,50.0,148.0
2020-05-14,1035.0,1242.0,50.0,157.0
2020-05-15,1036.0,1298.0,50.0,212.0
2020-05-16,1124.0,1455.0,61.0,270.0
2020-05-17,1124.0,1455.0,61.0,270.0
2020-05-18,1205.0,1538.0,61.0,272.0
2020-05-19,1278.0,1629.0,61.0,290.0
2020-05-20,1368.0,1731.0,61.0,302.0
2020-05-21,1471.0,1835.0,61.0,303.0
2020-05-22,1570.0,1945.0,63.0,312.0
2020-05-23,1650.0,2025.0,63.0,312.0
2020-05-24,1761.0,2141.0,63.0,317.0
2020-05-25,1893.0,2297.0,67.0,337.0
2020-05-26,1995.0,2403.0,68.0,340.0
2020-05-27,2113.0,2546.0,68.0,365.0
2020-05-28,2210.0,2660.0,69.0,381.0
2020-05-29,2364.0,2833.0,69.0,400.0
2020-05-30,2469.0,2966.0,69.0,428.0
2020-05-31,2550.0,3070.0,72.0,448.0
2020-06-01,2669.0,3195.0,72.0,454.0
2020-06-02,2772.0,3326.0,72.0,482.0
2020-06-03,2928.0,3495.0,75.0,492.0
2020-06-04,3071.0,3644.0,78.0,495.0
2020-06-05,3171.0,3764.0,81.0,512.0
2020-06-06,3259.0,3878.0,82.0,537.0
2020-06-07,3394.0,4016.0,85.0,537.0
2020-06-08,3481.0,4106.0,88.0,537.0
2020-06-09,3630.0,4259.0,90.0,539.0
2020-06-10,3729.0,4390.0,96.0,565.0
2020-06-11,3850.0,4515.0,98.0,567.0
2020-06-12,3956.0,4637.0,101.0,580.0
2020-06-13,4023.0,4724.0,106.0,595.0
2020-06-14,4071.0,4778.0,107.0,600.0
2020-06-15,4112.0,4837.0,112.0,613.0
2020-06-16,4234.0,4974.0,112.0,628.0
2020-06-17,4345.0,5100.0,115.0,640.0
2020-06-18,4481.0,5283.0,117.0,685.0
2020-06-19,4636.0,5477.0,122.0,719.0
2020-06-20,4740.0,5672.0,125.0,807.0
2020-06-21,4855.0,5826.0,130.0,841.0
