Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,3.0,3.0,0.0,0.0
2020-03-13,4.0,4.0,0.0,0.0
2020-03-14,4.0,4.0,0.0,0.0
2020-03-15,4.0,4.0,0.0,0.0
2020-03-16,4.0,4.0,0.0,0.0
2020-03-17,5.0,5.0,0.0,0.0
2020-03-18,6.0,7.0,1.0,0.0
2020-03-19,10.0,11.0,1.0,0.0
2020-03-20,15.0,16.0,1.0,0.0
2020-03-21,20.0,21.0,1.0,0.0
2020-03-22,34.0,35.0,1.0,0.0
2020-03-23,39.0,40.0,1.0,0.0
2020-03-24,46.0,48.0,1.0,1.0
2020-03-25,55.0,57.0,1.0,1.0
2020-03-26,64.0,67.0,2.0,1.0
2020-03-27,74.0,80.0,2.0,4.0
2020-03-28,112.0,119.0,3.0,4.0
2020-03-29,132.0,139.0,3.0,4.0
2020-03-30,162.0,170.0,4.0,4.0
2020-03-31,172.0,186.0,6.0,8.0
2020-04-01,194.0,212.0,6.0,12.0
2020-04-02,214.0,233.0,6.0,13.0
2020-04-03,248.0,269.0,6.0,15.0
2020-04-04,267.0,288.0,6.0,15.0
2020-04-05,297.0,320.0,8.0,15.0
2020-04-06,323.0,350.0,9.0,18.0
2020-04-07,358.0,396.0,11.0,27.0
2020-04-08,418.0,457.0,12.0,27.0
2020-04-09,472.0,515.0,15.0,28.0
2020-04-10,498.0,564.0,15.0,51.0
2020-04-11,527.0,620.0,16.0,77.0
2020-04-12,559.0,669.0,18.0,92.0
2020-04-13,584.0,726.0,21.0,121.0
2020-04-14,613.0,766.0,21.0,132.0
2020-04-15,639.0,814.0,24.0,151.0
2020-04-16,664.0,862.0,27.0,171.0
2020-04-17,700.0,923.0,31.0,192.0
2020-04-18,727.0,986.0,32.0,227.0
2020-04-19,746.0,1035.0,34.0,255.0
2020-04-20,766.0,1087.0,36.0,285.0
2020-04-21,790.0,1137.0,38.0,309.0
2020-04-22,808.0,1189.0,40.0,341.0
2020-04-23,827.0,1235.0,43.0,365.0
2020-04-24,820.0,1285.0,49.0,416.0
2020-04-25,849.0,1337.0,51.0,437.0
2020-04-26,814.0,1369.0,54.0,501.0
2020-04-27,808.0,1389.0,56.0,525.0
2020-04-28,804.0,1437.0,58.0,575.0
2020-04-29,792.0,1467.0,58.0,617.0
2020-04-30,759.0,1501.0,61.0,681.0
2020-05-01,759.0,1537.0,64.0,714.0
2020-05-02,780.0,1611.0,66.0,765.0
2020-05-03,755.0,1649.0,67.0,827.0
2020-05-04,723.0,1668.0,69.0,876.0
2020-05-05,662.0,1685.0,69.0,954.0
2020-05-06,633.0,1703.0,69.0,1001.0
2020-05-07,625.0,1729.0,73.0,1031.0
2020-05-08,589.0,1741.0,74.0,1078.0
2020-05-09,540.0,1754.0,74.0,1140.0
2020-05-10,496.0,1766.0,77.0,1193.0
2020-05-11,477.0,1783.0,77.0,1229.0
2020-05-12,449.0,1804.0,78.0,1277.0
2020-05-13,405.0,1810.0,79.0,1326.0
2020-05-14,368.0,1830.0,79.0,1383.0
2020-05-15,336.0,1840.0,79.0,1425.0
2020-05-16,323.0,1862.0,79.0,1460.0
2020-05-17,298.0,1872.0,79.0,1495.0
2020-05-18,297.0,1881.0,79.0,1505.0
2020-05-19,270.0,1887.0,79.0,1538.0
2020-05-20,248.0,1900.0,79.0,1573.0
2020-05-21,225.0,1908.0,80.0,1603.0
2020-05-22,204.0,1916.0,81.0,1631.0
2020-05-23,179.0,1931.0,81.0,1671.0
2020-05-24,170.0,1941.0,82.0,1689.0
2020-05-25,161.0,1947.0,82.0,1704.0
2020-05-26,172.0,1963.0,82.0,1709.0
2020-05-27,168.0,1974.0,82.0,1724.0
2020-05-28,167.0,1983.0,82.0,1734.0
2020-05-29,163.0,2005.0,82.0,1760.0
2020-05-30,147.0,2025.0,83.0,1795.0
2020-05-31,153.0,2045.0,83.0,1809.0
2020-06-01,174.0,2083.0,83.0,1826.0
2020-06-02,182.0,2092.0,83.0,1827.0
2020-06-03,194.0,2107.0,83.0,1830.0
2020-06-04,197.0,2119.0,83.0,1839.0
2020-06-05,202.0,2133.0,83.0,1848.0
2020-06-06,235.0,2173.0,83.0,1855.0
2020-06-07,246.0,2191.0,83.0,1862.0
2020-06-08,249.0,2200.0,83.0,1868.0
2020-06-09,242.0,2205.0,83.0,1880.0
2020-06-10,242.0,2211.0,83.0,1886.0
2020-06-11,242.0,2219.0,84.0,1893.0
2020-06-12,247.0,2233.0,84.0,1902.0
2020-06-13,231.0,2238.0,84.0,1923.0
2020-06-14,216.0,2248.0,84.0,1948.0
2020-06-15,213.0,2262.0,84.0,1965.0
2020-06-16,195.0,2273.0,84.0,1994.0
2020-06-17,197.0,2280.0,84.0,1999.0
2020-06-18,190.0,2295.0,85.0,2020.0
2020-06-19,183.0,2305.0,85.0,2037.0
2020-06-20,153.0,2309.0,85.0,2071.0
