Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,1.0,1.0,0.0,0.0
2020-03-02,1.0,1.0,0.0,0.0
2020-03-03,1.0,1.0,0.0,0.0
2020-03-04,1.0,1.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,2.0,2.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0
2020-03-08,5.0,5.0,0.0,0.0
2020-03-09,5.0,5.0,0.0,0.0
2020-03-10,5.0,5.0,0.0,0.0
2020-03-11,5.0,5.0,0.0,0.0
2020-03-12,5.0,5.0,0.0,0.0
2020-03-13,5.0,5.0,0.0,0.0
2020-03-14,11.0,11.0,0.0,0.0
2020-03-15,11.0,11.0,0.0,0.0
2020-03-16,11.0,11.0,0.0,0.0
2020-03-17,20.0,21.0,1.0,0.0
2020-03-18,20.0,21.0,1.0,0.0
2020-03-19,32.0,34.0,2.0,0.0
2020-03-20,70.0,72.0,2.0,0.0
2020-03-21,110.0,112.0,2.0,0.0
2020-03-22,199.0,202.0,3.0,0.0
2020-03-23,242.0,245.0,3.0,0.0
2020-03-24,303.0,312.0,6.0,3.0
2020-03-25,379.0,392.0,10.0,3.0
2020-03-26,475.0,488.0,10.0,3.0
2020-03-27,558.0,581.0,20.0,3.0
2020-03-28,688.0,719.0,28.0,3.0
2020-03-29,817.0,859.0,39.0,3.0
2020-03-30,855.0,901.0,42.0,4.0
2020-03-31,1053.0,1109.0,51.0,5.0
2020-04-01,1218.0,1284.0,57.0,9.0
2020-04-02,1304.0,1380.0,60.0,16.0
2020-04-03,1404.0,1488.0,68.0,16.0
2020-04-04,1404.0,1488.0,68.0,16.0
2020-04-05,1646.0,1745.0,82.0,17.0
2020-04-06,1709.0,1828.0,86.0,33.0
2020-04-07,1822.0,1956.0,98.0,36.0
2020-04-08,1953.0,2111.0,108.0,50.0
2020-04-09,2151.0,2349.0,118.0,80.0
2020-04-10,2396.0,2620.0,126.0,98.0
2020-04-11,2516.0,2759.0,135.0,108.0
2020-04-12,2663.0,2967.0,173.0,131.0
2020-04-13,2838.0,3167.0,177.0,152.0
2020-04-14,2941.0,3286.0,183.0,162.0
2020-04-15,3217.0,3614.0,189.0,208.0
2020-04-16,3344.0,3755.0,196.0,215.0
2020-04-17,3658.0,4126.0,200.0,268.0
2020-04-18,3806.0,4335.0,217.0,312.0
2020-04-19,4091.0,4680.0,226.0,363.0
2020-04-20,4313.0,4964.0,235.0,416.0
2020-04-21,4336.0,5044.0,245.0,463.0
2020-04-22,4459.0,5300.0,260.0,581.0
2020-04-23,4697.0,5543.0,265.0,581.0
2020-04-24,4719.0,5749.0,267.0,763.0
2020-04-25,4831.0,5926.0,273.0,822.0
2020-04-26,4947.0,6135.0,278.0,910.0
2020-04-27,5018.0,6293.0,282.0,993.0
2020-04-28,4965.0,6416.0,286.0,1165.0
2020-04-29,5131.0,6652.0,293.0,1228.0
2020-04-30,5370.0,6972.0,301.0,1301.0
2020-05-01,5588.0,7288.0,313.0,1387.0
2020-05-02,5771.0,7578.0,326.0,1481.0
2020-05-03,6015.0,7954.0,333.0,1606.0
2020-05-04,6118.0,8235.0,346.0,1771.0
2020-05-05,6221.0,8480.0,354.0,1905.0
2020-05-06,6485.0,8807.0,362.0,1960.0
2020-05-07,6658.0,9095.0,373.0,2064.0
2020-05-08,6710.0,9376.0,380.0,2286.0
2020-05-09,6913.0,9882.0,385.0,2584.0
2020-05-10,7196.0,10347.0,388.0,2763.0
2020-05-11,7371.0,10634.0,393.0,2870.0
2020-05-12,7277.0,10900.0,402.0,3221.0
2020-05-13,7566.0,11196.0,409.0,3221.0
2020-05-14,7547.0,11320.0,422.0,3351.0
2020-05-15,7758.0,11739.0,424.0,3557.0
2020-05-16,7956.0,12110.0,428.0,3726.0
2020-05-17,6039.0,12314.0,428.0,5847.0
2020-05-18,5678.0,12725.0,434.0,6613.0
2020-05-19,6169.0,13223.0,441.0,6613.0
2020-05-20,5889.0,13477.0,446.0,7142.0
2020-05-21,5843.0,13657.0,448.0,7366.0
2020-05-22,5961.0,13989.0,456.0,7572.0
2020-05-23,6110.0,14422.0,458.0,7854.0
2020-05-24,6210.0,14801.0,458.0,8133.0
2020-05-25,6328.0,15073.0,460.0,8285.0
2020-05-26,6262.0,15264.0,468.0,8534.0
2020-05-27,6459.0,15723.0,474.0,8790.0
2020-05-28,6631.0,16068.0,485.0,8952.0
2020-05-29,6777.0,16531.0,488.0,9266.0
2020-05-30,6853.0,16908.0,498.0,9557.0
2020-05-31,6224.0,17285.0,502.0,10559.0
2020-06-01,6177.0,17572.0,502.0,10893.0
2020-06-02,6162.0,17752.0,515.0,11075.0
2020-06-03,6300.0,18040.0,516.0,11224.0
2020-06-04,6325.0,18319.0,520.0,11474.0
2020-06-05,6447.0,18708.0,525.0,11736.0
2020-06-06,6740.0,19195.0,536.0,11919.0
2020-06-07,7055.0,19600.0,538.0,12007.0
2020-06-08,7429.0,20126.0,539.0,12158.0
2020-06-09,7663.0,20415.0,544.0,12208.0
2020-06-10,7940.0,20808.0,550.0,12318.0
2020-06-11,8335.0,21437.0,561.0,12541.0
2020-06-12,8686.0,22008.0,568.0,12754.0
2020-06-13,8911.0,22572.0,577.0,13084.0
2020-06-14,9050.0,22962.0,592.0,13320.0
2020-06-15,8641.0,23271.0,605.0,14025.0
