Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,6.0,6.0,0.0,0.0
2020-03-02,6.0,6.0,0.0,0.0
2020-03-03,7.0,7.0,0.0,0.0
2020-03-04,10.0,10.0,0.0,0.0
2020-03-05,13.0,13.0,0.0,0.0
2020-03-06,13.0,13.0,0.0,0.0
2020-03-07,13.0,13.0,0.0,0.0
2020-03-08,14.0,14.0,0.0,0.0
2020-03-09,15.0,15.0,0.0,0.0
2020-03-10,15.0,15.0,0.0,0.0
2020-03-11,17.0,17.0,0.0,0.0
2020-03-12,17.0,17.0,0.0,0.0
2020-03-13,17.0,17.0,0.0,0.0
2020-03-14,26.0,28.0,2.0,0.0
2020-03-15,26.0,28.0,2.0,0.0
2020-03-16,35.0,37.0,2.0,0.0
2020-03-17,56.0,58.0,2.0,0.0
2020-03-18,109.0,111.0,2.0,0.0
2020-03-19,196.0,199.0,3.0,0.0
2020-03-20,362.0,367.0,5.0,0.0
2020-03-21,496.0,506.0,7.0,3.0
2020-03-22,772.0,789.0,14.0,3.0
2020-03-23,960.0,981.0,18.0,3.0
2020-03-24,1052.0,1082.0,27.0,3.0
2020-03-25,1142.0,1173.0,28.0,3.0
2020-03-26,1366.0,1403.0,34.0,3.0
2020-03-27,1556.0,1595.0,36.0,3.0
2020-03-28,1772.0,1823.0,48.0,3.0
2020-03-29,1863.0,1924.0,58.0,3.0
2020-03-30,1899.0,1962.0,60.0,3.0
2020-03-31,2111.0,2240.0,75.0,54.0
2020-04-01,2597.0,2748.0,93.0,58.0
2020-04-02,2978.0,3163.0,120.0,65.0
2020-04-03,3158.0,3368.0,145.0,65.0
2020-04-04,3193.0,3465.0,172.0,100.0
2020-04-05,3366.0,3646.0,180.0,100.0
2020-04-06,3456.0,3747.0,191.0,100.0
2020-04-07,3456.0,3747.0,191.0,100.0
2020-04-08,4068.0,4450.0,242.0,140.0
2020-04-09,4354.0,4965.0,272.0,339.0
2020-04-10,6496.0,7161.0,297.0,368.0
2020-04-11,6531.0,7257.0,315.0,411.0
2020-04-12,6632.0,7466.0,333.0,501.0
2020-04-13,6577.0,7529.0,355.0,597.0
2020-04-14,6538.0,7603.0,369.0,696.0
2020-04-15,6690.0,7858.0,388.0,780.0
2020-04-16,6984.0,8225.0,403.0,838.0
2020-04-17,7191.0,8450.0,421.0,838.0
2020-04-18,7558.0,9022.0,456.0,1008.0
2020-04-19,7933.0,9468.0,474.0,1061.0
2020-04-20,8471.0,10128.0,507.0,1150.0
2020-04-21,8671.0,10398.0,520.0,1207.0
2020-04-22,9051.0,10850.0,537.0,1262.0
2020-04-23,9295.0,11183.0,560.0,1328.0
2020-04-24,20777.0,22719.0,576.0,1366.0
2020-04-25,20777.0,22719.0,576.0,1366.0
2020-04-26,20777.0,22719.0,576.0,1366.0
2020-04-27,21020.0,23240.0,663.0,1557.0
2020-04-28,21830.0,24258.0,871.0,1557.0
2020-04-29,22235.0,24675.0,883.0,1557.0
2020-04-30,22476.0,24934.0,900.0,1558.0
2020-05-01,23360.0,26336.0,1063.0,1913.0
2020-05-02,23961.0,27464.0,1371.0,2132.0
2020-05-03,24674.0,29538.0,1564.0,3300.0
2020-05-04,28069.6232030302,31881.0,1569.0,2242.3767969697997
2020-05-05,28069.6232030302,31881.0,1569.0,2242.3767969697997
2020-05-06,28020.6232030302,31881.0,1618.0,2242.3767969697997
2020-05-07,26512.964831887613,30298.0,1654.0,2131.035168112386
2020-05-08,25087.061869606485,28818.0,1704.0,2026.9381303935158
2020-05-09,25309.26690302346,29071.0,1717.0,2044.733096976539
2020-05-10,25352.943014910754,29559.0,2127.0,2079.0569850892475
2020-05-11,25288.45980672558,29509.0,2145.0,2075.5401932744207
2020-05-12,25952.454195695733,30419.0,2327.0,2139.5458043042668
2020-05-13,26007.741694663866,30486.0,2334.0,2144.2583053361345
2020-05-14,26018.61632128312,30502.0,2338.0,2145.3836787168793
2020-05-15,26659.742239256964,31467.0,2594.0,2213.2577607430344
2020-05-16,27770.586995416656,32763.0,2688.0,2304.4130045833426
2020-05-17,28112.11628000841,33182.0,2736.0,2333.88371999159
2020-05-18,28420.981945489795,33582.0,2799.0,2362.018054510204
2020-05-19,28909.96085463707,34151.0,2839.0,2402.039145362932
2020-05-20,29514.514761720606,34854.0,2888.0,2451.485238279395
2020-05-21,29883.722963714572,35306.0,2939.0,2483.2770362854285
2020-05-22,30252.00765716778,35828.0,3056.0,2519.992342832219
2020-05-23,30611.763247560273,36258.0,3096.0,2550.2367524397287
2020-05-24,31062.736001084595,36756.0,3108.0,2585.2639989154027
2020-05-25,31524.60483514297,37355.0,3203.0,2627.3951648570264
2020-05-26,31524.60483514297,37355.0,3203.0,2627.3951648570264
2020-05-27,32147.99362959317,38103.0,3275.0,2680.006370406834
2020-05-28,32452.110041836044,38471.0,3313.0,2705.8899581639585
2020-05-29,32524.076458206386,38571.0,3334.0,2712.9235417936115
2020-05-30,32524.076458206386,38571.0,3334.0,2712.9235417936115
2020-05-31,32990.009472478116,39098.0,3358.0,2749.9905275218853
2020-06-01,32990.009472478116,39098.0,3358.0,2749.9905275218853
2020-06-02,34133.44751191187,40414.0,3438.0,2842.552488088124
2020-06-03,34598.62213027619,40966.0,3486.0,2881.377869723811
2020-06-04,34598.62213027619,40966.0,3486.0,2881.377869723811
2020-06-05,35116.7876059716,41575.0,3534.0,2924.2123940284
