Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0
2020-03-14,1.0,1.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0
2020-03-16,5.0,5.0,0.0,0.0
2020-03-17,5.0,5.0,0.0,0.0
2020-03-18,6.0,6.0,0.0,0.0
2020-03-19,6.0,6.0,0.0,0.0
2020-03-20,9.0,9.0,0.0,0.0
2020-03-21,9.0,9.0,0.0,0.0
2020-03-22,7.0,11.0,0.0,4.0
2020-03-23,7.0,11.0,0.0,4.0
2020-03-24,12.0,12.0,0.0,0.0
2020-03-25,12.0,12.0,0.0,0.0
2020-03-26,12.0,12.0,0.0,0.0
2020-03-27,16.0,16.0,0.0,0.0
2020-03-28,15.0,16.0,0.0,1.0
2020-03-29,20.0,21.0,0.0,1.0
2020-03-30,19.0,23.0,0.0,4.0
2020-03-31,24.0,26.0,0.0,2.0
2020-04-01,27.0,29.0,0.0,2.0
2020-04-02,26.0,29.0,0.0,3.0
2020-04-03,32.0,35.0,0.0,3.0
2020-04-04,34.0,38.0,0.0,4.0
2020-04-05,37.0,43.0,2.0,4.0
2020-04-06,38.0,44.0,2.0,4.0
2020-04-07,46.0,52.0,2.0,4.0
2020-04-08,49.0,55.0,2.0,4.0
2020-04-09,50.0,56.0,2.0,4.0
2020-04-10,58.0,65.0,3.0,4.0
2020-04-11,56.0,69.0,3.0,10.0
2020-04-12,58.0,71.0,3.0,10.0
2020-04-13,57.0,74.0,3.0,14.0
2020-04-14,65.0,82.0,3.0,14.0
2020-04-15,67.0,85.0,3.0,15.0
2020-04-16,74.0,92.0,3.0,15.0
2020-04-17,78.0,96.0,3.0,15.0
2020-04-18,86.0,105.0,3.0,16.0
2020-04-19,89.0,108.0,3.0,16.0
2020-04-20,92.0,111.0,3.0,16.0
2020-04-21,95.0,114.0,3.0,16.0
2020-04-22,92.0,116.0,3.0,21.0
2020-04-23,92.0,116.0,3.0,21.0
2020-04-24,89.0,117.0,3.0,25.0
2020-04-25,90.0,122.0,3.0,29.0
2020-04-26,79.0,123.0,3.0,41.0
2020-04-27,71.0,124.0,3.0,50.0
2020-04-28,73.0,126.0,3.0,50.0
2020-04-29,69.0,130.0,3.0,58.0
2020-04-30,69.0,131.0,3.0,59.0
2020-05-01,64.0,133.0,3.0,66.0
2020-05-02,61.0,133.0,3.0,69.0
2020-05-03,57.0,135.0,3.0,75.0
2020-05-04,62.0,140.0,3.0,75.0
2020-05-05,50.0,145.0,4.0,91.0
2020-05-06,65.0,162.0,4.0,93.0
2020-05-07,94.0,191.0,4.0,93.0
2020-05-08,95.0,194.0,4.0,95.0
2020-05-09,108.0,210.0,5.0,97.0
2020-05-10,135.0,239.0,5.0,99.0
2020-05-11,140.0,250.0,5.0,105.0
2020-05-12,150.0,261.0,5.0,106.0
2020-05-13,150.0,263.0,5.0,108.0
2020-05-14,159.0,272.0,5.0,108.0
2020-05-15,170.0,287.0,5.0,112.0
2020-05-16,188.0,306.0,5.0,113.0
2020-05-17,199.0,317.0,5.0,113.0
2020-05-18,231.0,352.0,5.0,116.0
2020-05-19,240.0,365.0,5.0,120.0
2020-05-20,262.0,389.0,5.0,122.0
2020-05-21,271.0,399.0,5.0,123.0
2020-05-22,300.0,433.0,5.0,128.0
2020-05-23,338.0,494.0,5.0,151.0
2020-05-24,425.0,582.0,5.0,152.0
2020-05-25,491.0,655.0,5.0,159.0
2020-05-26,528.0,701.0,6.0,167.0
2020-05-27,544.0,731.0,6.0,181.0
2020-05-28,633.0,831.0,7.0,191.0
2020-05-29,763.0,968.0,8.0,197.0
2020-05-30,847.0,1063.0,8.0,208.0
2020-05-31,952.0,1172.0,11.0,209.0
2020-06-01,1028.0,1257.0,12.0,217.0
2020-06-02,1099.0,1344.0,14.0,231.0
2020-06-03,1223.0,1486.0,17.0,246.0
2020-06-04,1368.0,1636.0,18.0,250.0
2020-06-05,1524.0,1805.0,19.0,262.0
2020-06-06,1633.0,1934.0,20.0,281.0
2020-06-07,1649.0,2020.0,27.0,344.0
2020-06-08,1768.0,2156.0,27.0,361.0
2020-06-09,1925.0,2336.0,32.0,379.0
2020-06-10,2070.0,2506.0,35.0,401.0
2020-06-11,2196.0,2670.0,40.0,434.0
2020-06-12,2417.0,2915.0,47.0,451.0
2020-06-13,2616.0,3166.0,55.0,495.0
2020-06-14,2743.0,3345.0,57.0,545.0
2020-06-15,2841.0,3521.0,60.0,620.0
2020-06-16,2831.0,3630.0,61.0,738.0
2020-06-17,2847.0,3759.0,63.0,849.0
2020-06-18,2955.0,3954.0,65.0,934.0
2020-06-19,2969.0,4070.0,72.0,1029.0
2020-06-20,3275.0,4469.0,72.0,1122.0
2020-06-21,3245.0,4532.0,74.0,1213.0
2020-06-22,3291.0,4663.0,75.0,1297.0
