Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,1.0,1.0,0.0,0.0
2020-01-30,1.0,1.0,0.0,0.0
2020-01-31,1.0,1.0,0.0,0.0
2020-02-01,1.0,1.0,0.0,0.0
2020-02-02,1.0,1.0,0.0,0.0
2020-02-03,1.0,1.0,0.0,0.0
2020-02-04,1.0,1.0,0.0,0.0
2020-02-05,1.0,1.0,0.0,0.0
2020-02-06,1.0,1.0,0.0,0.0
2020-02-07,1.0,1.0,0.0,0.0
2020-02-08,1.0,1.0,0.0,0.0
2020-02-09,1.0,1.0,0.0,0.0
2020-02-10,1.0,1.0,0.0,0.0
2020-02-11,1.0,1.0,0.0,0.0
2020-02-12,0.0,1.0,0.0,1.0
2020-02-13,0.0,1.0,0.0,1.0
2020-02-14,0.0,1.0,0.0,1.0
2020-02-15,0.0,1.0,0.0,1.0
2020-02-16,0.0,1.0,0.0,1.0
2020-02-17,0.0,1.0,0.0,1.0
2020-02-18,0.0,1.0,0.0,1.0
2020-02-19,0.0,1.0,0.0,1.0
2020-02-20,0.0,1.0,0.0,1.0
2020-02-21,0.0,1.0,0.0,1.0
2020-02-22,0.0,1.0,0.0,1.0
2020-02-23,0.0,1.0,0.0,1.0
2020-02-24,0.0,1.0,0.0,1.0
2020-02-25,0.0,1.0,0.0,1.0
2020-02-26,1.0,2.0,0.0,1.0
2020-02-27,1.0,2.0,0.0,1.0
2020-02-28,1.0,2.0,0.0,1.0
2020-02-29,2.0,3.0,0.0,1.0
2020-03-01,5.0,6.0,0.0,1.0
2020-03-02,5.0,6.0,0.0,1.0
2020-03-03,5.0,6.0,0.0,1.0
2020-03-04,5.0,6.0,0.0,1.0
2020-03-05,11.0,12.0,0.0,1.0
2020-03-06,14.0,15.0,0.0,1.0
2020-03-07,14.0,15.0,0.0,1.0
2020-03-08,22.0,23.0,0.0,1.0
2020-03-09,29.0,30.0,0.0,1.0
2020-03-10,39.0,40.0,0.0,1.0
2020-03-11,58.0,59.0,0.0,1.0
2020-03-12,58.0,59.0,0.0,1.0
2020-03-13,154.0,155.0,0.0,1.0
2020-03-14,224.0,225.0,0.0,1.0
2020-03-15,234.0,244.0,0.0,10.0
2020-03-16,267.0,277.0,0.0,10.0
2020-03-17,311.0,321.0,0.0,10.0
2020-03-18,326.0,336.0,0.0,10.0
2020-03-19,390.0,400.0,0.0,10.0
2020-03-20,440.0,450.0,0.0,10.0
2020-03-21,512.0,523.0,1.0,10.0
2020-03-22,615.0,626.0,1.0,10.0
2020-03-23,689.0,700.0,1.0,10.0
2020-03-24,781.0,792.0,1.0,10.0
2020-03-25,867.0,880.0,3.0,10.0
2020-03-26,943.0,958.0,5.0,10.0
2020-03-27,1024.0,1041.0,7.0,10.0
2020-03-28,1148.0,1167.0,9.0,10.0
2020-03-29,1219.0,1240.0,11.0,10.0
2020-03-30,1329.0,1352.0,13.0,10.0
2020-03-31,1391.0,1418.0,17.0,10.0
2020-04-01,1419.0,1446.0,17.0,10.0
2020-04-02,1199.0,1518.0,19.0,300.0
2020-04-03,1295.0,1615.0,20.0,300.0
2020-04-04,1557.0,1882.0,25.0,300.0
2020-04-05,1599.0,1927.0,28.0,300.0
2020-04-06,1849.0,2176.0,27.0,300.0
2020-04-07,1974.0,2308.0,34.0,300.0
2020-04-08,2147.0,2487.0,40.0,300.0
2020-04-09,2263.0,2605.0,42.0,300.0
2020-04-10,2421.0,2769.0,48.0,300.0
2020-04-11,2556.0,2905.0,49.0,300.0
2020-04-12,2618.0,2974.0,56.0,300.0
2020-04-13,2705.0,3064.0,59.0,300.0
2020-04-14,2797.0,3161.0,64.0,300.0
2020-04-15,2865.0,3237.0,72.0,300.0
2020-04-16,1594.0,3369.0,75.0,1700.0
2020-04-17,1707.0,3489.0,82.0,1700.0
2020-04-18,1891.0,3681.0,90.0,1700.0
2020-04-19,1989.0,3783.0,94.0,1700.0
2020-04-20,1770.0,3868.0,98.0,2000.0
2020-04-21,1873.0,4014.0,141.0,2000.0
2020-04-22,1980.0,4129.0,149.0,2000.0
2020-04-23,2112.0,4284.0,172.0,2000.0
2020-04-24,1718.0,4395.0,177.0,2500.0
2020-04-25,1789.0,4475.0,186.0,2500.0
2020-04-26,1886.0,4576.0,190.0,2500.0
2020-04-27,2002.0,4695.0,193.0,2500.0
2020-04-28,1741.0,4740.0,199.0,2800.0
2020-04-29,1900.0,4906.0,206.0,2800.0
2020-04-30,1784.0,4995.0,211.0,3000.0
2020-05-01,1833.0,5051.0,218.0,3000.0
2020-05-02,1956.0,5176.0,220.0,3000.0
2020-05-03,2024.0,5254.0,230.0,3000.0
2020-05-04,1587.0,5327.0,240.0,3500.0
2020-05-05,1666.0,5412.0,246.0,3500.0
2020-05-06,1821.0,5573.0,252.0,3500.0
2020-05-07,1918.0,5673.0,255.0,3500.0
2020-05-08,1478.0,5738.0,260.0,4000.0
2020-05-09,1615.0,5880.0,265.0,4000.0
2020-05-10,1695.0,5962.0,267.0,4000.0
2020-05-11,1713.0,5984.0,271.0,4000.0
2020-05-12,1428.0,6003.0,275.0,4300.0
2020-05-13,1470.0,6054.0,284.0,4300.0
2020-05-14,1558.0,6145.0,287.0,4300.0
2020-05-15,935.0,6228.0,293.0,5000.0
2020-05-16,989.0,6286.0,297.0,5000.0
2020-05-17,1049.0,6347.0,298.0,5000.0
2020-05-18,1080.0,6380.0,300.0,5000.0
2020-05-19,1098.0,6399.0,301.0,5000.0
2020-05-20,1339.0,6443.0,304.0,4800.0
2020-05-21,1387.0,6493.0,306.0,4800.0
2020-05-22,1431.0,6537.0,306.0,4800.0
2020-05-23,1462.0,6568.0,306.0,4800.0
2020-05-24,1472.0,6579.0,307.0,4800.0
2020-05-25,1191.0,6599.0,308.0,5100.0
2020-05-26,1216.0,6628.0,312.0,5100.0
2020-05-27,1279.0,6692.0,313.0,5100.0
2020-05-28,930.0,6743.0,313.0,5500.0
2020-05-29,962.0,6776.0,314.0,5500.0
2020-05-30,1010.0,6826.0,316.0,5500.0
2020-05-31,1039.0,6859.0,320.0,5500.0
2020-06-01,1067.0,6885.0,318.0,5500.0
2020-06-02,1067.0,6887.0,320.0,5500.0
2020-06-03,1090.0,6911.0,321.0,5500.0
2020-06-04,789.0,6911.0,322.0,5800.0
2020-06-05,819.0,6941.0,322.0,5800.0
2020-06-06,842.0,6964.0,322.0,5800.0
2020-06-07,858.0,6981.0,323.0,5800.0
2020-06-08,878.0,7001.0,323.0,5800.0
2020-06-09,901.0,7025.0,324.0,5800.0
2020-06-10,916.0,7040.0,324.0,5800.0
2020-06-11,539.0,7064.0,325.0,6200.0
2020-06-12,548.0,7073.0,325.0,6200.0
2020-06-13,562.0,7087.0,325.0,6200.0
2020-06-14,578.0,7104.0,326.0,6200.0
2020-06-15,582.0,7108.0,326.0,6200.0
