Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,1.0,1.0,0.0,0.0
2020-01-28,4.0,4.0,0.0,0.0
2020-01-29,4.0,4.0,0.0,0.0
2020-01-30,4.0,4.0,0.0,0.0
2020-01-31,5.0,5.0,0.0,0.0
2020-02-01,8.0,8.0,0.0,0.0
2020-02-02,10.0,10.0,0.0,0.0
2020-02-03,12.0,12.0,0.0,0.0
2020-02-04,12.0,12.0,0.0,0.0
2020-02-05,12.0,12.0,0.0,0.0
2020-02-06,12.0,12.0,0.0,0.0
2020-02-07,13.0,13.0,0.0,0.0
2020-02-08,13.0,13.0,0.0,0.0
2020-02-09,14.0,14.0,0.0,0.0
2020-02-10,14.0,14.0,0.0,0.0
2020-02-11,16.0,16.0,0.0,0.0
2020-02-12,16.0,16.0,0.0,0.0
2020-02-13,15.0,16.0,0.0,1.0
2020-02-14,15.0,16.0,0.0,1.0
2020-02-15,15.0,16.0,0.0,1.0
2020-02-16,15.0,16.0,0.0,1.0
2020-02-17,15.0,16.0,0.0,1.0
2020-02-18,4.0,16.0,0.0,12.0
2020-02-19,4.0,16.0,0.0,12.0
2020-02-20,4.0,16.0,0.0,12.0
2020-02-21,2.0,16.0,0.0,14.0
2020-02-22,2.0,16.0,0.0,14.0
2020-02-23,2.0,16.0,0.0,14.0
2020-02-24,2.0,16.0,0.0,14.0
2020-02-25,3.0,17.0,0.0,14.0
2020-02-26,12.0,27.0,0.0,15.0
2020-02-27,30.0,46.0,0.0,16.0
2020-02-28,32.0,48.0,0.0,16.0
2020-02-29,63.0,79.0,0.0,16.0
2020-03-01,114.0,130.0,0.0,16.0
2020-03-02,143.0,159.0,0.0,16.0
2020-03-03,180.0,196.0,0.0,16.0
2020-03-04,246.0,262.0,0.0,16.0
2020-03-05,466.0,482.0,0.0,16.0
2020-03-06,653.0,670.0,0.0,17.0
2020-03-07,781.0,799.0,0.0,18.0
2020-03-08,1022.0,1040.0,0.0,18.0
2020-03-09,1156.0,1176.0,2.0,18.0
2020-03-10,1437.0,1457.0,2.0,18.0
2020-03-11,1880.0,1908.0,3.0,25.0
2020-03-12,2050.0,2078.0,3.0,25.0
2020-03-13,3622.0,3675.0,7.0,46.0
2020-03-14,4530.0,4585.0,9.0,46.0
2020-03-15,5738.0,5795.0,11.0,46.0
2020-03-16,7188.0,7272.0,17.0,67.0
2020-03-17,9166.0,9257.0,24.0,67.0
2020-03-18,12194.0,12327.0,28.0,105.0
2020-03-19,15163.0,15320.0,44.0,113.0
2020-03-20,19601.0,19848.0,67.0,180.0
2020-03-21,21896.0,22213.0,84.0,233.0
2020-03-22,24513.0,24873.0,94.0,266.0
2020-03-23,28667.0,29056.0,123.0,266.0
2020-03-24,29586.0,32986.0,157.0,3243.0
2020-03-25,33570.0,37323.0,206.0,3547.0
2020-03-26,37998.0,43938.0,267.0,5673.0
2020-03-27,43871.0,50871.0,342.0,6658.0
2020-03-28,48781.0,57695.0,433.0,8481.0
2020-03-29,52351.0,62095.0,533.0,9211.0
2020-03-30,52740.0,66885.0,645.0,13500.0
2020-03-31,54933.0,71808.0,775.0,16100.0
2020-04-01,58252.0,77872.0,920.0,18700.0
2020-04-02,61247.0,84794.0,1107.0,22440.0
2020-04-03,65309.0,91159.0,1275.0,24575.0
2020-04-04,68248.0,96092.0,1444.0,26400.0
2020-04-05,69839.0,100123.0,1584.0,28700.0
2020-04-06,72864.0,103374.0,1810.0,28700.0
2020-04-07,69566.0,107663.0,2016.0,36081.0
2020-04-08,64647.0,113296.0,2349.0,46300.0
2020-04-09,63167.0,118181.0,2607.0,52407.0
2020-04-10,65491.0,122171.0,2767.0,53913.0
2020-04-11,64772.0,124908.0,2736.0,57400.0
2020-04-12,64532.0,127854.0,3022.0,60300.0
2020-04-13,62578.0,130072.0,3194.0,64300.0
2020-04-14,59865.0,131359.0,3294.0,68200.0
2020-04-15,58349.0,134753.0,3804.0,72600.0
2020-04-16,56646.0,137698.0,4052.0,77000.0
2020-04-17,53931.0,141397.0,4352.0,83114.0
2020-04-18,53483.0,143342.0,4459.0,85400.0
2020-04-19,52598.0,145184.0,4586.0,88000.0
2020-04-20,50703.0,147065.0,4862.0,91500.0
2020-04-21,48058.0,148291.0,5033.0,95200.0
2020-04-22,45969.0,150648.0,5279.0,99400.0
2020-04-23,44254.0,153129.0,5575.0,103300.0
2020-04-24,39439.0,154999.0,5760.0,109800.0
2020-04-25,40836.0,156513.0,5877.0,109800.0
2020-04-26,39794.0,157770.0,5976.0,112000.0
2020-04-27,38132.0,158758.0,6126.0,114500.0
2020-04-28,36198.0,159912.0,6314.0,117400.0
2020-04-29,34672.0,161539.0,6467.0,120400.0
2020-04-30,32886.0,163009.0,6623.0,123500.0
2020-05-01,30441.0,164077.0,6736.0,126900.0
2020-05-02,29155.0,164967.0,6812.0,129000.0
2020-05-03,28198.0,165664.0,6866.0,130600.0
2020-05-04,26459.0,166152.0,6993.0,132700.0
2020-05-05,24914.0,167007.0,6993.0,135100.0
2020-05-06,20987.0,168162.0,7275.0,139900.0
2020-05-07,20338.0,169430.0,7392.0,141700.0
2020-05-08,21378.0,170588.0,7510.0,141700.0
2020-05-09,20475.0,171324.0,7549.0,143300.0
2020-05-10,19910.0,171879.0,7569.0,144400.0
2020-05-11,19298.0,172576.0,7661.0,145617.0
2020-05-12,18233.0,173171.0,7738.0,147200.0
2020-05-13,17537.0,174098.0,7861.0,148700.0
2020-05-14,16294.0,174478.0,7884.0,150300.0
2020-05-15,15739.0,175233.0,7897.0,151597.0
2020-05-16,15214.0,175752.0,7938.0,152600.0
2020-05-17,14396.0,176369.0,7962.0,154011.0
2020-05-18,13507.0,176551.0,8003.0,155041.0
2020-05-19,14016.0,177778.0,8081.0,155681.0
2020-05-20,13363.0,178473.0,8144.0,156966.0
2020-05-21,12731.0,179021.0,8203.0,158087.0
2020-05-22,12418.0,179710.0,8228.0,159064.0
2020-05-23,12009.0,179986.0,8261.0,159716.0
2020-05-24,11764.0,180328.0,8283.0,160281.0
2020-05-25,11092.0,180600.0,8309.0,161199.0
2020-05-26,10861.0,181200.0,8372.0,161967.0
2020-05-27,10276.0,181524.0,8428.0,162820.0
2020-05-28,10366.0,182196.0,8470.0,163360.0
2020-05-29,10173.0,182922.0,8504.0,164245.0
2020-05-30,9751.0,183189.0,8530.0,164908.0
2020-05-31,9518.0,183410.0,8540.0,165352.0
2020-06-01,9407.0,183594.0,8555.0,165632.0
2020-06-02,8707.0,183879.0,8563.0,166609.0
2020-06-03,8066.0,184121.0,8602.0,167453.0
2020-06-04,7928.0,184472.0,8635.0,167909.0
2020-06-05,7786.0,184924.0,8658.0,168480.0
2020-06-06,7819.0,185450.0,8673.0,168958.0
2020-06-07,7841.0,185750.0,8685.0,169224.0
2020-06-08,7858.0,186109.0,8695.0,169556.0
2020-06-09,7641.0,186506.0,8736.0,170129.0
2020-06-10,7140.0,186522.0,8752.0,170630.0
