Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,1.0,1.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0
2020-03-16,1.0,2.0,1.0,0.0
2020-03-17,5.0,6.0,1.0,0.0
2020-03-18,5.0,6.0,1.0,0.0
2020-03-19,8.0,9.0,1.0,0.0
2020-03-20,11.0,12.0,1.0,0.0
2020-03-21,16.0,17.0,1.0,0.0
2020-03-22,18.0,19.0,1.0,0.0
2020-03-23,19.0,20.0,1.0,0.0
2020-03-24,20.0,21.0,1.0,0.0
2020-03-25,19.0,24.0,1.0,4.0
2020-03-26,20.0,25.0,1.0,4.0
2020-03-27,23.0,28.0,1.0,4.0
2020-03-28,23.0,34.0,1.0,10.0
2020-03-29,23.0,34.0,1.0,10.0
2020-03-30,25.0,36.0,1.0,10.0
2020-03-31,25.0,38.0,1.0,12.0
2020-04-01,26.0,39.0,1.0,12.0
2020-04-02,34.0,47.0,1.0,12.0
2020-04-03,37.0,50.0,1.0,12.0
2020-04-04,44.0,61.0,2.0,15.0
2020-04-05,44.0,61.0,2.0,15.0
2020-04-06,52.0,70.0,3.0,15.0
2020-04-07,57.0,77.0,3.0,17.0
2020-04-08,67.0,87.0,3.0,17.0
2020-04-09,75.0,95.0,3.0,17.0
2020-04-10,106.0,126.0,3.0,17.0
2020-04-11,115.0,137.0,3.0,19.0
2020-04-12,131.0,155.0,5.0,19.0
2020-04-13,132.0,156.0,5.0,19.0
2020-04-14,143.0,167.0,5.0,19.0
2020-04-15,156.0,180.0,5.0,19.0
2020-04-16,172.0,196.0,5.0,19.0
2020-04-17,186.0,214.0,7.0,21.0
2020-04-18,207.0,235.0,7.0,21.0
2020-04-19,229.0,257.0,7.0,21.0
2020-04-20,261.0,289.0,7.0,21.0
2020-04-21,263.0,294.0,7.0,24.0
2020-04-22,284.0,316.0,8.0,24.0
2020-04-23,343.0,384.0,11.0,30.0
2020-04-24,389.0,430.0,11.0,30.0
2020-04-25,415.0,473.0,13.0,45.0
2020-04-26,436.0,500.0,15.0,49.0
2020-04-27,466.0,530.0,15.0,49.0
2020-04-28,466.0,530.0,15.0,49.0
2020-04-29,479.0,557.0,16.0,62.0
2020-04-30,517.0,599.0,16.0,66.0
2020-05-01,556.0,644.0,16.0,72.0
2020-05-02,599.0,688.0,17.0,72.0
2020-05-03,614.0,703.0,17.0,72.0
2020-05-04,632.0,730.0,19.0,79.0
2020-05-05,665.0,763.0,19.0,79.0
2020-05-06,691.0,798.0,21.0,86.0
2020-05-07,719.0,832.0,23.0,90.0
2020-05-08,775.0,900.0,24.0,101.0
2020-05-09,839.0,967.0,24.0,104.0
2020-05-10,916.0,1052.0,26.0,110.0
2020-05-11,977.0,1114.0,26.0,111.0
2020-05-12,1052.0,1199.0,27.0,120.0
2020-05-13,1192.0,1342.0,29.0,121.0
2020-05-14,1360.0,1518.0,29.0,129.0
2020-05-15,1478.0,1643.0,30.0,135.0
2020-05-16,1592.0,1763.0,33.0,138.0
2020-05-17,1592.0,1763.0,33.0,138.0
2020-05-18,1739.0,1912.0,35.0,138.0
2020-05-19,1935.0,2133.0,43.0,155.0
2020-05-20,2061.0,2265.0,45.0,159.0
2020-05-21,2242.0,2512.0,48.0,222.0
2020-05-22,2470.0,2743.0,51.0,222.0
2020-05-23,2755.0,3054.0,55.0,244.0
2020-05-24,3108.0,3424.0,58.0,258.0
2020-05-25,3427.0,3760.0,59.0,274.0
2020-05-26,3602.0,3954.0,63.0,289.0
2020-05-27,3584.0,4145.0,68.0,493.0
2020-05-28,3703.0,4348.0,80.0,565.0
2020-05-29,3869.0,4607.0,90.0,648.0
2020-05-30,3931.0,4739.0,102.0,706.0
2020-05-31,4244.0,5087.0,108.0,735.0
2020-06-01,4425.0,5336.0,116.0,795.0
2020-06-02,4639.0,5586.0,123.0,824.0
2020-06-03,4688.0,5760.0,143.0,929.0
2020-06-04,5017.0,6154.0,158.0,979.0
2020-06-05,5216.0,6485.0,216.0,1053.0
2020-06-06,5429.0,6792.0,230.0,1133.0
2020-06-07,5542.0,7055.0,252.0,1261.0
2020-06-08,5912.0,7502.0,267.0,1323.0
2020-06-09,6164.0,7866.0,289.0,1413.0
2020-06-10,6401.0,8221.0,316.0,1504.0
2020-06-11,6660.0,8561.0,334.0,1567.0
2020-06-12,6929.0,8982.0,351.0,1702.0
2020-06-13,7320.0,9491.0,367.0,1804.0
2020-06-14,7575.0,9845.0,384.0,1886.0
2020-06-15,7907.0,10272.0,399.0,1966.0
2020-06-16,8192.0,10706.0,418.0,2096.0
2020-06-17,8619.0,11251.0,432.0,2200.0
2020-06-18,9129.0,11868.0,449.0,2290.0
2020-06-19,9607.0,12509.0,483.0,2419.0
2020-06-20,9683.0,12755.0,514.0,2558.0
