Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,1.0,1.0,0.0
2020-03-13,0.0,1.0,1.0,0.0
2020-03-14,0.0,1.0,1.0,0.0
2020-03-15,3.0,4.0,1.0,0.0
2020-03-16,3.0,4.0,1.0,0.0
2020-03-17,6.0,7.0,1.0,0.0
2020-03-18,6.0,7.0,1.0,0.0
2020-03-19,6.0,7.0,1.0,0.0
2020-03-20,6.0,7.0,1.0,0.0
2020-03-21,6.0,7.0,1.0,0.0
2020-03-22,18.0,19.0,1.0,0.0
2020-03-23,19.0,20.0,1.0,0.0
2020-03-24,4.0,5.0,1.0,0.0
2020-03-25,4.0,5.0,1.0,0.0
2020-03-26,4.0,5.0,1.0,0.0
2020-03-27,4.0,5.0,1.0,0.0
2020-03-28,7.0,8.0,1.0,0.0
2020-03-29,7.0,8.0,1.0,0.0
2020-03-30,7.0,8.0,1.0,0.0
2020-03-31,10.0,12.0,2.0,0.0
2020-04-01,17.0,19.0,2.0,0.0
2020-04-02,15.0,19.0,4.0,0.0
2020-04-03,19.0,23.0,4.0,0.0
2020-04-04,19.0,23.0,4.0,0.0
2020-04-05,20.0,24.0,4.0,0.0
2020-04-06,19.0,31.0,4.0,8.0
2020-04-07,20.0,33.0,5.0,8.0
2020-04-08,23.0,37.0,6.0,8.0
2020-04-09,23.0,37.0,6.0,8.0
2020-04-10,23.0,37.0,6.0,8.0
2020-04-11,31.0,45.0,6.0,8.0
2020-04-12,31.0,45.0,6.0,8.0
2020-04-13,31.0,45.0,6.0,8.0
2020-04-14,33.0,47.0,6.0,8.0
2020-04-15,41.0,55.0,6.0,8.0
2020-04-16,41.0,55.0,6.0,8.0
2020-04-17,48.0,63.0,6.0,9.0
2020-04-18,48.0,63.0,6.0,9.0
2020-04-19,49.0,65.0,7.0,9.0
2020-04-20,49.0,65.0,7.0,9.0
2020-04-21,50.0,66.0,7.0,9.0
2020-04-22,51.0,67.0,7.0,9.0
2020-04-23,54.0,70.0,7.0,9.0
2020-04-24,54.0,73.0,7.0,12.0
2020-04-25,54.0,73.0,7.0,12.0
2020-04-26,54.0,74.0,8.0,12.0
2020-04-27,51.0,74.0,8.0,15.0
2020-04-28,51.0,74.0,8.0,15.0
2020-04-29,52.0,78.0,8.0,18.0
2020-04-30,51.0,82.0,9.0,22.0
2020-05-01,51.0,82.0,9.0,22.0
2020-05-02,51.0,82.0,9.0,22.0
2020-05-03,51.0,82.0,9.0,22.0
2020-05-04,56.0,92.0,9.0,27.0
2020-05-05,55.57060917721519,93.0,10.42939082278481,27.0
2020-05-06,55.57060917721519,93.0,10.42939082278481,27.0
2020-05-07,55.57060917721519,93.0,10.42939082278481,27.0
2020-05-08,48.458465189873415,94.0,10.541534810126583,35.0
2020-05-09,48.458465189873415,94.0,10.541534810126583,35.0
2020-05-10,57.337025316455694,104.0,11.662974683544304,35.0
2020-05-11,60.77630537974684,109.0,12.223694620253164,36.0
2020-05-12,64.32772943037975,113.0,12.672270569620254,36.0
2020-05-13,59.32772943037975,113.0,12.672270569620254,41.0
2020-05-14,58.32772943037975,113.0,12.672270569620254,42.0
2020-05-15,59.99129746835443,116.0,13.00870253164557,43.0
2020-05-16,60.87915348101266,117.0,13.120846518987342,43.0
2020-05-17,60.87915348101266,117.0,13.120846518987342,43.0
2020-05-18,66.09414556962025,124.0,13.905854430379748,44.0
2020-05-19,64.98200158227849,125.0,14.01799841772152,46.0
2020-05-20,63.98200158227848,125.0,14.01799841772152,47.0
2020-05-21,55.75771360759494,127.0,14.242286392405065,57.0
2020-05-22,55.75771360759494,127.0,14.242286392405065,57.0
2020-05-23,54.75771360759494,127.0,14.242286392405065,58.0
2020-05-24,57.86056170886076,135.0,15.139438291139241,62.0
2020-05-25,59.636273734177216,137.0,15.363726265822786,62.0
2020-05-26,61.41198575949367,139.0,15.58801424050633,62.0
2020-05-27,56.41198575949367,139.0,15.58801424050633,67.0
2020-05-28,66.17840189873418,150.0,16.821598101265824,67.0
2020-05-29,66.17840189873418,150.0,16.821598101265824,67.0
2020-05-30,68.17129607029534,152.0,16.828703929704666,67.0
2020-05-31,66.06058091286306,153.0,16.939419087136933,70.0
2020-06-01,66.06058091286306,153.0,16.939419087136933,70.0
2020-06-02,66.06058091286306,153.0,16.939419087136933,70.0
2020-06-03,66.06058091286306,153.0,16.939419087136933,70.0
2020-06-04,59.06058091286307,153.0,16.939419087136933,77.0
2020-06-05,59.06058091286307,153.0,16.939419087136933,77.0
2020-06-06,56.9498657554308,154.0,17.0501342445692,80.0
2020-06-07,56.9498657554308,154.0,17.0501342445692,80.0
2020-06-08,52.9498657554308,154.0,17.0501342445692,84.0
2020-06-09,52.728435440566265,156.0,17.271564559433735,86.0
2020-06-10,46.728435440566265,156.0,17.271564559433735,92.0
2020-06-11,48.50700512570173,158.0,17.49299487429827,92.0
