Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,1.0,1.0,0.0,0.0
2020-02-29,1.0,1.0,0.0,0.0
2020-03-01,3.0,3.0,0.0,0.0
2020-03-02,6.0,6.0,0.0,0.0
2020-03-03,11.0,11.0,0.0,0.0
2020-03-04,26.0,26.0,0.0,0.0
2020-03-05,34.0,34.0,0.0,0.0
2020-03-06,43.0,43.0,0.0,0.0
2020-03-07,50.0,50.0,0.0,0.0
2020-03-08,50.0,50.0,0.0,0.0
2020-03-09,58.0,58.0,0.0,0.0
2020-03-10,68.0,69.0,0.0,1.0
2020-03-11,84.0,85.0,0.0,1.0
2020-03-12,102.0,103.0,0.0,1.0
2020-03-13,133.0,134.0,0.0,1.0
2020-03-14,155.0,156.0,0.0,1.0
2020-03-15,158.0,171.0,5.0,8.0
2020-03-16,180.0,180.0,0.0,0.0
2020-03-17,219.0,220.0,1.0,0.0
2020-03-18,244.0,250.0,1.0,5.0
2020-03-19,324.0,330.0,1.0,5.0
2020-03-20,404.0,409.0,0.0,5.0
2020-03-21,450.0,473.0,1.0,22.0
2020-03-22,531.0,568.0,1.0,36.0
2020-03-23,551.0,588.0,1.0,36.0
2020-03-24,595.0,648.0,2.0,51.0
2020-03-25,679.0,737.0,2.0,56.0
2020-03-26,718.0,802.0,2.0,82.0
2020-03-27,791.0,890.0,2.0,97.0
2020-03-28,847.0,963.0,2.0,114.0
2020-03-29,883.0,1020.0,2.0,135.0
2020-03-30,927.0,1086.0,2.0,157.0
2020-03-31,935.0,1135.0,2.0,198.0
2020-04-01,993.0,1220.0,2.0,225.0
2020-04-02,1031.0,1319.0,4.0,284.0
2020-04-03,1051.0,1364.0,4.0,309.0
2020-04-04,1017.0,1417.0,4.0,396.0
2020-04-05,1054.0,1486.0,4.0,428.0
2020-04-06,1096.0,1562.0,6.0,460.0
2020-04-07,1021.0,1586.0,6.0,559.0
2020-04-08,977.0,1616.0,6.0,633.0
2020-04-09,954.0,1648.0,6.0,688.0
2020-04-10,917.0,1675.0,7.0,751.0
2020-04-11,840.0,1689.0,8.0,841.0
2020-04-12,804.0,1701.0,8.0,889.0
2020-04-13,770.0,1711.0,8.0,933.0
2020-04-14,723.0,1720.0,8.0,989.0
2020-04-15,642.0,1727.0,8.0,1077.0
2020-04-16,587.0,1739.0,8.0,1144.0
2020-04-17,521.0,1754.0,9.0,1224.0
2020-04-18,460.0,1760.0,9.0,1291.0
2020-04-19,471.0,1771.0,9.0,1291.0
2020-04-20,403.1969151391955,1773.0,7.803084860804529,1362.0
2020-04-21,353.17490982373914,1778.0,7.82509017626083,1417.0
2020-04-22,315.14410238210036,1785.0,7.855897617899653,1462.0
2020-04-23,272.1264981297353,1789.0,7.873501870264694,1509.0
2020-04-24,239.1264981297353,1789.0,7.873501870264694,1542.0
2020-04-25,212.12209706664405,1790.0,7.877902933355954,1570.0
2020-04-26,176.11329494046151,1792.0,7.886705059538475,1608.0
2020-04-27,160.11329494046151,1792.0,7.886705059538475,1624.0
2020-04-28,151.10009175118773,1795.0,7.899908248812256,1636.0
2020-04-29,133.09128962500523,1797.0,7.908710374994777,1656.0
2020-04-30,119.09128962500522,1797.0,7.908710374994777,1670.0
2020-05-01,101.08688856191397,1798.0,7.913111438086037,1689.0
2020-05-02,84.08688856191397,1798.0,7.913111438086037,1706.0
2020-05-03,74.0824874988227,1799.0,7.917512501177297,1717.0
2020-05-04,68.0824874988227,1799.0,7.917512501177297,1723.0
2020-05-05,58.0824874988227,1799.0,7.917512501177297,1733.0
2020-05-06,41.0824874988227,1799.0,7.917512501177297,1750.0
2020-05-07,38.073685372640185,1801.0,7.926314627359818,1755.0
2020-05-08,28.07368537264018,1801.0,7.926314627359818,1765.0
2020-05-09,20.07368537264018,1801.0,7.926314627359818,1773.0
2020-05-10,20.07368537264018,1801.0,7.926314627359818,1773.0
2020-05-11,20.07368537264018,1801.0,7.926314627359818,1773.0
2020-05-12,17.07368537264018,1801.0,7.926314627359818,1776.0
2020-05-13,14.069284309548923,1802.0,7.930715690451078,1780.0
2020-05-14,14.069284309548923,1802.0,7.930715690451078,1780.0
2020-05-15,12.069284309548923,1802.0,7.930715690451078,1782.0
2020-05-16,8.069284309548923,1802.0,7.930715690451078,1786.0
2020-05-17,8.069284309548923,1802.0,7.930715690451078,1786.0
2020-05-18,8.069284309548923,1802.0,7.930715690451078,1786.0
2020-05-19,5.069284309548922,1802.0,7.930715690451078,1789.0
2020-05-20,6.064883246457661,1803.0,7.935116753542339,1789.0
2020-05-21,5.064883246457661,1803.0,7.935116753542339,1790.0
2020-05-22,4.064883246457661,1803.0,7.935116753542339,1791.0
2020-05-23,5.0604821833664015,1804.0,7.9395178166335985,1791.0
2020-05-24,5.0604821833664015,1804.0,7.9395178166335985,1791.0
2020-05-25,5.0604821833664015,1804.0,7.9395178166335985,1791.0
2020-05-26,4.0604821833664015,1804.0,7.9395178166335985,1792.0
2020-05-27,5.056081120275141,1805.0,7.943918879724859,1792.0
2020-05-28,5.056081120275141,1805.0,7.943918879724859,1792.0
2020-05-29,5.068601282587426,1805.0,7.943918879724859,1791.9874798376877
2020-05-30,5.071409371940768,1806.0,7.948319942816119,1792.980270685243
2020-05-31,5.071409371940768,1806.0,7.948319942816119,1792.980270685243
2020-06-01,5.071409371940768,1806.0,7.948319942816119,1792.980270685243
2020-06-02,5.071409371940768,1806.0,7.948319942816119,1792.980270685243
