Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,1.0,1.0,0.0,0.0
2020-02-25,1.0,1.0,0.0,0.0
2020-02-26,5.0,5.0,0.0,0.0
2020-02-27,7.0,7.0,0.0,0.0
2020-02-28,7.0,7.0,0.0,0.0
2020-02-29,13.0,13.0,0.0,0.0
2020-03-01,19.0,19.0,0.0,0.0
2020-03-02,26.0,26.0,0.0,0.0
2020-03-03,32.0,32.0,0.0,0.0
2020-03-04,33.0,35.0,2.0,0.0
2020-03-05,33.0,35.0,2.0,0.0
2020-03-06,37.0,40.0,3.0,0.0
2020-03-07,50.0,54.0,4.0,0.0
2020-03-08,54.0,60.0,6.0,0.0
2020-03-09,51.0,60.0,6.0,3.0
2020-03-10,61.0,71.0,7.0,3.0
2020-03-11,49.0,71.0,7.0,15.0
2020-03-12,48.0,71.0,8.0,15.0
2020-03-13,68.0,101.0,9.0,24.0
2020-03-14,74.0,110.0,10.0,26.0
2020-03-15,80.0,116.0,10.0,26.0
2020-03-16,88.0,124.0,10.0,26.0
2020-03-17,111.0,154.0,11.0,32.0
2020-03-18,109.0,164.0,12.0,43.0
2020-03-19,136.0,192.0,13.0,43.0
2020-03-20,142.0,208.0,17.0,49.0
2020-03-21,146.0,214.0,17.0,51.0
2020-03-22,156.0,233.0,20.0,57.0
2020-03-23,186.0,266.0,23.0,57.0
2020-03-24,214.0,316.0,27.0,75.0
2020-03-25,214.0,346.0,29.0,103.0
2020-03-26,241.0,382.0,36.0,105.0
2020-03-27,296.0,458.0,40.0,122.0
2020-03-28,333.0,506.0,42.0,131.0
2020-03-29,362.0,547.0,42.0,143.0
2020-03-30,432.0,630.0,46.0,152.0
2020-03-31,474.0,694.0,50.0,170.0
2020-04-01,494.0,728.0,52.0,182.0
2020-04-02,516.0,772.0,54.0,202.0
2020-04-03,540.0,820.0,54.0,226.0
2020-04-04,563.0,878.0,56.0,259.0
2020-04-05,621.0,961.0,61.0,279.0
2020-04-06,623.0,1031.0,64.0,344.0
2020-04-07,684.0,1122.0,65.0,373.0
2020-04-08,681.0,1202.0,69.0,452.0
2020-04-09,667.0,1232.0,69.0,496.0
2020-04-10,659.0,1279.0,70.0,550.0
2020-04-11,645.0,1318.0,72.0,601.0
2020-04-12,636.0,1352.0,76.0,640.0
2020-04-13,583.0,1378.0,78.0,717.0
2020-04-14,556.0,1400.0,78.0,766.0
2020-04-15,524.0,1415.0,79.0,812.0
2020-04-16,498.0,1434.0,80.0,856.0
2020-04-17,495.0,1482.0,81.0,906.0
2020-04-18,478.0,1513.0,82.0,953.0
2020-04-19,448.0,1539.0,82.0,1009.0
2020-04-20,449.0,1574.0,82.0,1043.0
2020-04-21,423.0,1602.0,83.0,1096.0
2020-04-22,402.0,1631.0,83.0,1146.0
2020-04-23,423.0,1677.0,83.0,1171.0
2020-04-24,418.0,1708.0,86.0,1204.0
2020-04-25,453.0,1763.0,86.0,1224.0
2020-04-26,470.0,1820.0,87.0,1263.0
2020-04-27,473.0,1847.0,88.0,1286.0
2020-04-28,519.0,1928.0,90.0,1319.0
2020-04-29,565.0,2003.0,92.0,1346.0
2020-04-30,617.0,2085.0,93.0,1375.0
2020-05-01,645.0,2153.0,94.0,1414.0
2020-05-02,651.0,2219.0,95.0,1473.0
2020-05-03,709.0,2296.0,97.0,1490.0
2020-05-04,704.0,2346.0,98.0,1544.0
2020-05-05,758.0,2431.0,102.0,1571.0
2020-05-06,776.0,2480.0,102.0,1602.0
2020-05-07,815.0,2543.0,102.0,1626.0
2020-05-08,838.0,2603.0,104.0,1661.0
2020-05-09,870.0,2679.0,107.0,1702.0
2020-05-10,924.0,2767.0,109.0,1734.0
2020-05-11,918.0,2818.0,110.0,1790.0
2020-05-12,898.0,2913.0,112.0,1903.0
2020-05-13,951.0,3032.0,115.0,1966.0
2020-05-14,1000.0,3143.0,115.0,2028.0
2020-05-15,987.0,3193.0,117.0,2089.0
2020-05-16,1013.0,3260.0,121.0,2126.0
2020-05-17,1063.0,3404.0,123.0,2218.0
2020-05-18,1117.0,3554.0,127.0,2310.0
2020-05-19,1114.0,3611.0,131.0,2366.0
2020-05-20,1152.0,3724.0,134.0,2438.0
2020-05-21,1254.0,3877.0,140.0,2483.0
2020-05-22,1285.0,3964.0,147.0,2532.0
2020-05-23,1535.0,4272.0,152.0,2585.0
2020-05-24,1571.0,4469.0,160.0,2738.0
2020-05-25,1658.0,4632.0,163.0,2811.0
2020-05-26,1827.0,4848.0,169.0,2852.0
2020-05-27,2056.0,5135.0,175.0,2904.0
2020-05-28,2307.0,5457.0,179.0,2971.0
2020-05-29,2644.0,5873.0,185.0,3044.0
2020-05-30,2874.0,6179.0,195.0,3110.0
2020-05-31,3078.0,6439.0,205.0,3156.0
2020-06-01,3378.0,6868.0,215.0,3275.0
2020-06-02,3644.0,7387.0,235.0,3508.0
2020-06-03,3817.0,8168.0,256.0,4095.0
2020-06-04,4231.0,8840.0,271.0,4338.0
2020-06-05,4988.0,9846.0,285.0,4573.0
2020-06-06,5876.0,11098.0,318.0,4904.0
2020-06-07,6834.0,12366.0,346.0,5186.0
2020-06-08,7539.0,13481.0,370.0,5572.0
2020-06-09,8045.0,14268.0,392.0,5831.0
2020-06-10,8774.0,15414.0,426.0,6214.0
2020-06-11,9650.0,16675.0,457.0,6568.0
2020-06-12,10406.0,17770.0,496.0,6868.0
2020-06-13,10886.0,18950.0,549.0,7515.0
2020-06-14,11481.0,20209.0,607.0,8121.0
2020-06-15,11392.0,21315.0,652.0,9271.0
2020-06-16,12126.0,22700.0,712.0,9862.0
2020-06-17,12711.0,24254.0,773.0,10770.0
