Time,Active,Confirmed,Deaths,Recovered
2020-01-22,2.0,2.0,0.0,0.0
2020-01-23,2.0,2.0,0.0,0.0
2020-01-24,2.0,2.0,0.0,0.0
2020-01-25,2.0,2.0,0.0,0.0
2020-01-26,3.0,4.0,0.0,1.0
2020-01-27,3.0,4.0,0.0,1.0
2020-01-28,6.0,7.0,0.0,1.0
2020-01-29,6.0,7.0,0.0,1.0
2020-01-30,10.0,11.0,0.0,1.0
2020-01-31,14.0,15.0,0.0,1.0
2020-02-01,19.0,20.0,0.0,1.0
2020-02-02,19.0,20.0,0.0,1.0
2020-02-03,19.0,20.0,0.0,1.0
2020-02-04,21.0,22.0,0.0,1.0
2020-02-05,22.0,23.0,0.0,1.0
2020-02-06,22.0,23.0,0.0,1.0
2020-02-07,22.0,23.0,0.0,1.0
2020-02-08,23.0,24.0,0.0,1.0
2020-02-09,23.0,24.0,0.0,1.0
2020-02-10,22.0,26.0,0.0,4.0
2020-02-11,18.0,27.0,0.0,9.0
2020-02-12,19.0,28.0,0.0,9.0
2020-02-13,23.0,33.0,1.0,9.0
2020-02-14,33.0,43.0,1.0,9.0
2020-02-15,41.0,54.0,1.0,12.0
2020-02-16,47.0,60.0,1.0,12.0
2020-02-17,54.0,67.0,1.0,12.0
2020-02-18,64.0,79.0,2.0,13.0
2020-02-19,65.0,85.0,2.0,18.0
2020-02-20,75.0,95.0,2.0,18.0
2020-02-21,88.0,112.0,2.0,22.0
2020-02-22,113.0,137.0,2.0,22.0
2020-02-23,125.0,149.0,2.0,22.0
2020-02-24,136.0,160.0,2.0,22.0
2020-02-25,148.0,173.0,3.0,22.0
2020-02-26,167.0,192.0,3.0,22.0
2020-02-27,192.0,218.0,4.0,22.0
2020-02-28,209.0,236.0,5.0,22.0
2020-02-29,207.0,245.0,6.0,32.0
2020-03-01,221.0,259.0,6.0,32.0
2020-03-02,240.0,278.0,6.0,32.0
2020-03-03,249.0,298.0,6.0,43.0
2020-03-04,283.0,333.0,7.0,43.0
2020-03-05,315.0,365.0,7.0,43.0
2020-03-06,367.0,420.0,7.0,46.0
2020-03-07,383.0,466.0,7.0,76.0
2020-03-08,415.0,499.0,8.0,76.0
2020-03-09,441.0,527.0,10.0,76.0
2020-03-10,471.0,585.0,13.0,101.0
2020-03-11,507.0,640.0,15.0,118.0
2020-03-12,559.0,696.0,19.0,118.0
2020-03-13,594.0,733.0,21.0,118.0
2020-03-14,655.0,795.0,22.0,118.0
2020-03-15,684.0,826.0,24.0,118.0
2020-03-16,669.0,843.0,30.0,144.0
2020-03-17,719.0,893.0,30.0,144.0
2020-03-18,752.0,928.0,32.0,144.0
2020-03-19,785.0,968.0,33.0,150.0
2020-03-20,797.0,1022.0,34.0,191.0
2020-03-21,791.0,1059.0,36.0,232.0
2020-03-22,829.0,1104.0,40.0,235.0
2020-03-23,868.0,1144.0,41.0,235.0
2020-03-24,890.0,1217.0,42.0,285.0
2020-03-25,959.0,1314.0,45.0,310.0
2020-03-26,1010.0,1416.0,47.0,359.0
2020-03-27,1105.0,1530.0,53.0,372.0
2020-03-28,1268.0,1728.0,56.0,404.0
2020-03-29,1420.0,1907.0,63.0,424.0
2020-03-30,1512.0,2001.0,65.0,424.0
2020-03-31,1764.0,2255.0,67.0,424.0
2020-04-01,1991.0,2535.0,72.0,472.0
2020-04-02,2271.0,2818.0,75.0,472.0
2020-04-03,2559.0,3154.0,81.0,514.0
2020-04-04,2924.0,3525.0,87.0,514.0
2020-04-05,3269.0,3876.0,93.0,514.0
2020-04-06,3439.0,4110.0,96.0,575.0
2020-04-07,3795.0,4485.0,98.0,592.0
2020-04-08,4293.0,5020.0,105.0,622.0
2020-04-09,4869.0,5614.0,113.0,632.0
2020-04-10,5440.0,6250.0,125.0,685.0
2020-04-11,6051.0,6951.0,138.0,762.0
2020-04-12,6564.0,7473.0,147.0,762.0
2020-04-13,6833.0,7773.0,156.0,784.0
2020-04-14,7308.0,8277.0,170.0,799.0
2020-04-15,7796.0,8835.0,186.0,853.0
2020-04-16,8293.0,9398.0,204.0,901.0
2020-04-17,8806.0,9958.0,217.0,935.0
2020-04-18,9243.0,10548.0,236.0,1069.0
2020-04-19,9500.0,10914.0,255.0,1159.0
2020-04-20,9824.0,11258.0,275.0,1159.0
2020-04-21,10099.0,11641.0,303.0,1239.0
2020-04-22,10358.0,12037.0,323.0,1356.0
2020-04-23,10624.0,12469.0,351.0,1494.0
2020-04-24,10964.0,12854.0,360.0,1530.0
2020-04-25,11151.0,13186.0,379.0,1656.0
2020-04-26,11201.0,13405.0,395.0,1809.0
2020-04-27,11260.0,13576.0,417.0,1899.0
2020-04-28,11525.0,13860.0,436.0,1899.0
2020-04-29,11254.0,14076.0,454.0,2368.0
2020-04-30,11343.0,14284.0,481.0,2460.0
2020-05-01,11073.0,14558.0,510.0,2975.0
2020-05-02,11120.0,14861.0,536.0,3205.0
2020-05-03,10520.0,15061.0,560.0,3981.0
2020-05-04,10491.0,15229.0,582.0,4156.0
2020-05-05,10265.0,15354.0,593.0,4496.0
2020-05-06,10354.0,15455.0,605.0,4496.0
2020-05-07,10018.0,15553.0,617.0,4918.0
2020-05-08,9860.0,15640.0,634.0,5146.0
2020-05-09,9195.0,15755.0,654.0,5906.0
2020-05-10,7031.0,15824.0,666.0,8127.0
2020-05-11,6883.0,15861.0,685.0,8293.0
2020-05-12,6710.0,15948.0,707.0,8531.0
2020-05-13,6352.0,15998.0,726.0,8920.0
2020-05-14,5486.0,16096.0,742.0,9868.0
2020-05-15,5050.0,16148.0,760.0,10338.0
2020-05-16,5086.0,16202.0,778.0,10338.0
2020-05-17,4286.0,16226.0,787.0,11153.0
2020-05-18,3899.0,16259.0,796.0,11564.0
2020-05-19,3918.0,16287.0,805.0,11564.0
2020-05-20,3939.0,16321.0,818.0,11564.0
2020-05-21,2864.0,16362.0,826.0,12672.0
2020-05-22,2544.0,16385.0,836.0,13005.0
2020-05-23,2321.0,16410.0,845.0,13244.0
2020-05-24,2186.0,16451.0,852.0,13413.0
2020-05-25,2003.0,16472.0,857.0,13612.0
2020-05-26,1829.0,16502.0,863.0,13810.0
2020-05-27,1685.0,16528.0,870.0,13973.0
2020-05-28,1621.0,16598.0,881.0,14096.0
2020-05-29,1573.0,16673.0,887.0,14213.0
2020-05-30,1555.0,16716.0,894.0,14267.0
2020-05-31,1511.0,16751.0,898.0,14342.0
2020-06-01,1425.0,16787.0,899.0,14463.0
2020-06-02,1350.0,16837.0,902.0,14585.0
2020-06-03,1260.0,16867.0,905.0,14702.0
2020-06-04,1215.0,16911.0,911.0,14785.0
2020-06-05,1117.0,16958.0,916.0,14925.0
2020-06-06,1158.0,17000.0,915.0,14927.0
2020-06-07,1132.0,17039.0,917.0,14990.0
2020-06-08,1097.0,17060.0,920.0,15043.0
2020-06-09,1050.0,17111.0,920.0,15141.0
2020-06-10,1007.0,17146.0,922.0,15217.0
2020-06-11,1032.0,17187.0,922.0,15233.0
2020-06-12,964.0,17250.0,924.0,15362.0
2020-06-13,908.0,17293.0,927.0,15458.0
2020-06-14,928.0,17369.0,927.0,15514.0
2020-06-15,943.0,17439.0,929.0,15567.0
2020-06-16,898.0,17484.0,934.0,15652.0
2020-06-17,842.0,17530.0,935.0,15753.0
2020-06-18,900.0,17588.0,935.0,15753.0
2020-06-19,863.0,17658.0,951.0,15844.0
2020-06-20,822.0,17725.0,955.0,15948.0
2020-06-21,877.0,17780.0,955.0,15948.0
2020-06-22,908.0,17820.0,955.0,15957.0
2020-06-23,818.0,17879.0,965.0,16096.0
2020-06-24,895.0,17963.0,967.0,16101.0
2020-06-25,942.0,18055.0,971.0,16142.0
2020-06-26,967.0,18162.0,971.0,16224.0
2020-06-27,990.0,18254.0,971.0,16293.0
2020-06-28,1067.0,18366.0,972.0,16327.0
2020-06-29,1116.0,18476.0,972.0,16388.0
2020-06-30,1185.0,18615.0,972.0,16458.0
2020-07-01,1299.0,18838.0,976.0,16563.0
2020-07-02,1463.0,19055.0,977.0,16615.0
2020-07-03,1487.0,19185.0,977.0,16721.0
2020-07-04,1652.0,19461.0,977.0,16832.0
2020-07-05,1821.0,19668.0,977.0,16870.0
2020-07-06,1863.0,19848.0,978.0,17007.0
2020-07-07,2017.0,20055.0,981.0,17057.0
2020-07-08,2222.0,20261.0,982.0,17057.0
2020-07-09,2223.0,20617.0,982.0,17412.0
2020-07-10,2568.0,21044.0,982.0,17494.0
2020-07-11,2954.0,21430.0,982.0,17494.0
2020-07-12,3013.0,21841.0,983.0,17845.0
2020-07-13,3083.0,22125.0,984.0,18058.0
2020-07-14,3327.0,22437.0,984.0,18126.0
2020-07-15,4062.0,23172.0,984.0,18126.0
2020-07-16,3884.0,23510.0,985.0,18641.0
2020-07-17,4175.0,24104.0,985.0,18944.0
2020-07-18,4749.0,24946.0,986.0,19211.0
2020-07-19,5249.0,25446.0,986.0,19211.0
2020-07-20,5115.0,25706.0,988.0,19603.0
2020-07-21,5474.0,26463.0,988.0,20001.0
2020-07-22,5664.0,27136.0,990.0,20482.0
2020-07-23,6244.0,28114.0,992.0,20878.0
2020-07-24,6716.0,28883.0,994.0,21173.0
2020-07-25,7224.0,29684.0,996.0,21464.0
2020-07-26,7944.0,30548.0,998.0,21606.0
2020-07-27,8174.0,31142.0,998.0,21970.0
2020-07-28,8479.0,32116.0,1001.0,22636.0
2020-07-29,9030.0,33382.0,1001.0,23351.0
2020-07-30,10113.0,35144.0,1007.0,24024.0
2020-07-31,10452.0,36234.0,1008.0,24774.0
2020-08-01,11445.0,37804.0,1012.0,25347.0
2020-08-02,12355.0,39116.0,1013.0,25748.0
2020-08-03,12605.0,40099.0,1018.0,26476.0
2020-08-04,13137.0,41347.0,1023.0,27187.0
2020-08-05,13638.0,42686.0,1028.0,28020.0
2020-08-06,14275.0,44167.0,1034.0,28858.0
2020-08-07,14481.0,45764.0,1042.0,30241.0
2020-08-08,15052.0,47342.0,1042.0,31248.0
2020-08-09,14868.0,48782.0,1047.0,32867.0
2020-08-10,15115.0,49617.0,1052.0,33450.0
2020-08-11,15108.0,50302.0,1058.0,34136.0
2020-08-12,15253.0,51288.0,1066.0,34969.0
2020-08-13,15207.0,52471.0,1073.0,36191.0
2020-08-14,17240.0,53818.0,1080.0,35498.0
2020-08-15,14519.0,55051.0,1093.0,39439.0
2020-08-16,14411.0,56074.0,1103.0,40560.0
2020-08-17,14014.0,56717.0,1112.0,41591.0
2020-08-18,13536.0,57636.0,1135.0,42965.0
2020-08-19,13794.0,58728.0,1148.0,43786.0
2020-08-20,13633.0,59900.0,1157.0,45110.0
2020-08-21,13510.0,60949.0,1175.0,46264.0
2020-08-22,13319.0,61916.0,1179.0,47418.0
2020-08-23,13151.0,62658.0,1188.0,48319.0
2020-08-24,12868.0,63158.0,1201.0,49089.0
2020-08-25,12577.0,63888.0,1219.0,50092.0
2020-08-26,12142.0,64779.0,1230.0,51407.0
2020-08-27,11870.0,65653.0,1241.0,52542.0
2020-08-28,11557.0,66499.0,1251.0,53691.0
2020-08-29,11199.0,67353.0,1271.0,54883.0
2020-08-30,10973.0,67958.0,1285.0,55700.0
2020-08-31,10760.0,68396.0,1298.0,56338.0
2020-09-01,10207.0,69023.0,1313.0,57503.0
2020-09-02,10184.0,69619.0,1327.0,58108.0
2020-09-03,10744.0,70278.0,1334.0,58200.0
2020-09-04,9421.0,70866.0,1352.0,60093.0
2020-09-05,9007.0,71467.0,1361.0,61099.0
2020-09-06,8822.0,71918.0,1366.0,61730.0
2020-09-07,8646.0,72213.0,1377.0,62190.0
2020-09-08,8390.0,72724.0,1398.0,62936.0
2020-09-09,8118.0,73264.0,1412.0,63734.0
2020-09-10,8011.0,73916.0,1416.0,64489.0
2020-09-11,7886.0,74558.0,1428.0,65244.0
2020-09-12,7831.0,75206.0,1441.0,65934.0
2020-09-13,7674.0,75646.0,1448.0,66524.0
2020-09-14,7558.0,75914.0,1455.0,66901.0
2020-09-15,8082.0,76446.0,1463.0,66901.0
2020-09-16,7406.0,76997.0,1481.0,68110.0
2020-09-17,7171.0,77488.0,1490.0,68827.0
2020-09-18,7093.0,78061.0,1500.0,69468.0
2020-09-19,7107.0,78662.0,1504.0,70051.0
2020-09-20,7030.0,79142.0,1508.0,70604.0
2020-09-21,6974.0,79462.0,1518.0,70970.0
2020-09-22,7040.0,79773.0,1519.0,71214.0
2020-09-23,6937.0,80009.0,1525.0,71547.0
2020-09-24,6884.0,80490.0,1540.0,72066.0
2020-09-25,6494.0,81054.0,1544.0,73016.0
2020-09-26,6479.0,81703.0,1547.0,73677.0
2020-09-27,6960.0,82186.0,1549.0,73677.0
2020-09-28,6428.0,82484.0,1561.0,74495.0
2020-09-29,6492.0,83022.0,1568.0,74962.0
2020-09-30,6494.0,83591.0,1575.0,75522.0
2020-10-01,6583.0,84244.0,1580.0,76081.0
2020-10-02,6477.0,84768.0,1591.0,76700.0
2020-10-03,7051.0,85345.0,1594.0,76700.0
2020-10-04,6297.0,85746.0,1598.0,77851.0
2020-10-05,6354.0,86027.0,1602.0,78071.0
2020-10-06,6410.0,86540.0,1609.0,78521.0
2020-10-07,6302.0,87039.0,1614.0,79123.0
2020-10-08,6388.0,87679.0,1617.0,79674.0
2020-10-09,6504.0,88267.0,1623.0,80140.0
2020-10-10,6538.0,88962.0,1626.0,80798.0
2020-10-11,6506.0,89400.0,1628.0,81266.0
2020-10-12,6469.0,89652.0,1631.0,81552.0
2020-10-13,6455.0,90153.0,1635.0,82063.0
2020-10-14,6472.0,90694.0,1646.0,82576.0
2020-10-15,6480.0,91402.0,1650.0,83272.0
2020-10-16,6498.0,92044.0,1664.0,83882.0
2020-10-17,6539.0,92670.0,1670.0,84461.0
2020-10-18,6965.0,93098.0,1672.0,84461.0
2020-10-19,6422.0,93408.0,1676.0,85310.0
2020-10-20,6349.0,93895.0,1679.0,85867.0
2020-10-21,6400.0,94515.0,1686.0,86429.0
2020-10-22,6415.0,95134.0,1697.0,87022.0
2020-10-23,6562.0,95868.0,1706.0,87600.0
2020-10-24,6751.0,96599.0,1710.0,88138.0
2020-10-25,6769.0,97095.0,1716.0,88610.0
2020-10-26,6751.0,97503.0,1721.0,89031.0
2020-10-27,6955.0,98146.0,1726.0,89465.0
2020-10-28,7028.0,98877.0,1731.0,90118.0
2020-10-29,7302.0,99674.0,1748.0,90624.0
2020-10-30,7510.0,100450.0,1756.0,91184.0
2020-10-31,9793.0,101327.0,1769.0,89765.0
2020-11-01,7917.0,101943.0,1776.0,92250.0
2020-11-02,7971.0,102431.0,1787.0,92673.0
2020-11-03,8382.0,103309.0,1794.0,93133.0
2020-11-04,8565.0,103928.0,1799.0,93564.0
2020-11-05,8782.0,104964.0,1806.0,94376.0
2020-11-06,9316.0,106136.0,1810.0,95010.0
2020-11-07,9921.0,107439.0,1815.0,95703.0
2020-11-08,10143.0,108394.0,1821.0,96430.0
2020-11-09,10673.0,109191.0,1834.0,96684.0
2020-11-10,10160.0,110487.0,1840.0,98487.0
2020-11-11,11859.0,112011.0,1847.0,98305.0
2020-11-12,12519.0,113655.0,1854.0,99282.0
2020-11-13,13299.0,115360.0,1864.0,100197.0
2020-11-14,14086.0,117113.0,1865.0,101162.0
2020-11-15,24783.0,118611.0,1874.0,91954.0
2020-11-16,14864.0,119557.0,1883.0,102810.0
2020-11-17,15574.0,121247.0,1895.0,103778.0
2020-11-18,16732.0,123477.0,1908.0,104837.0
2020-11-19,17865.0,125859.0,1920.0,106074.0
2020-11-20,18834.0,128285.0,1930.0,107521.0
2020-11-21,19958.0,130871.0,1932.0,108981.0
2020-11-22,20818.0,133034.0,1943.0,110273.0
2020-11-23,21262.0,134554.0,1949.0,111343.0
2020-11-24,21438.0,135786.0,1963.0,112385.0
2020-11-25,21183.0,137735.0,1983.0,114569.0
2020-11-26,22007.0,140225.0,1996.0,116222.0
2020-11-27,23041.0,142778.0,2028.0,117709.0
2020-11-28,23312.0,145457.0,2042.0,120103.0
2020-11-29,23723.0,147515.0,2057.0,121735.0
2020-11-30,19597.0,148962.0,2076.0,127289.0
2020-12-01,23563.0,150976.0,2109.0,125304.0
2020-12-02,24143.0,153432.0,2141.0,127148.0
2020-12-03,24679.0,155938.0,2174.0,129085.0
2020-12-04,25157.0,158387.0,2210.0,131020.0
2020-12-05,25354.0,160870.0,2229.0,133287.0
2020-12-06,25537.0,162917.0,2259.0,135121.0
2020-12-07,25388.0,164434.0,2299.0,136747.0
2020-12-08,25420.0,166592.0,2334.0,138838.0
2020-12-09,26587.0,169429.0,2376.0,140466.0
2020-12-10,27161.0,172406.0,2395.0,142850.0
2020-12-11,28006.0,175310.0,2446.0,144858.0
2020-12-12,28442.0,178272.0,2462.0,147368.0
2020-12-13,29028.0,180639.0,2481.0,149130.0
2020-12-14,28990.0,182311.0,2530.0,150791.0
2020-12-15,28808.0,184752.0,2581.0,153363.0
2020-12-16,29737.0,187751.0,2623.0,155391.0
2020-12-17,30158.0,190950.0,2661.0,158131.0
2020-12-18,30414.0,193753.0,2709.0,160630.0
2020-12-19,30914.0,196815.0,2749.0,163152.0
2020-12-20,31309.0,199270.0,2784.0,165177.0
2020-12-21,30884.0,201074.0,2833.0,167357.0
2020-12-22,31669.0,203732.0,2877.0,169186.0
2020-12-23,32107.0,207007.0,2941.0,171959.0
2020-12-24,33079.0,210769.0,2967.0,174723.0
2020-12-25,33922.0,214575.0,3016.0,177637.0
2020-12-26,35373.0,218467.0,3062.0,180032.0
2020-12-27,35872.0,221412.0,3100.0,182440.0
2020-12-28,36128.0,223786.0,3152.0,184506.0
2020-12-29,37429.0,227415.0,3196.0,186790.0
2020-12-30,38718.0,231271.0,3243.0,189310.0
2020-12-31,41224.0,235811.0,3292.0,191295.0
2021-01-01,41970.0,239068.0,3540.0,193558.0
2021-01-02,42262.0,242097.0,3571.0,196264.0
2021-01-03,43332.0,245293.0,3631.0,198330.0
2021-01-04,44426.0,248625.0,3679.0,200520.0
2021-01-05,46551.0,253571.0,3755.0,203265.0
2021-01-06,48818.0,259521.0,3820.0,206883.0
2021-01-07,52905.0,267084.0,3884.0,210295.0
2021-01-08,57404.0,274947.0,3962.0,213581.0
2021-01-09,61503.0,282737.0,4021.0,217213.0
2021-01-10,64372.0,288818.0,4066.0,220380.0
2021-01-11,66825.0,293746.0,4114.0,222807.0
2021-01-12,68903.0,298321.0,4178.0,225240.0
2021-01-13,70948.0,304140.0,4275.0,228917.0
2021-01-14,72884.0,310734.0,4341.0,233509.0
2021-01-15,75141.0,317871.0,4419.0,238311.0
2021-01-16,76650.0,324942.0,4475.0,243817.0
2021-01-17,77859.0,330715.0,4524.0,248332.0
2021-01-18,78392.0,335605.0,4582.0,252631.0
2021-01-19,78740.0,340989.0,4686.0,257563.0
2021-01-20,76899.0,346508.0,4778.0,264831.0
2021-01-21,74226.0,352129.0,4872.0,273031.0
2021-01-22,73136.0,357174.0,4980.0,279058.0
2021-01-23,71499.0,361928.0,5063.0,285366.0
2021-01-24,70394.0,365899.0,5119.0,290386.0
2021-01-25,73105.0,368684.0,5193.0,290386.0
2021-01-26,65864.0,372545.0,5297.0,301384.0
2021-01-27,63087.0,376482.0,5387.0,308008.0
2021-01-28,60866.0,380644.0,5500.0,314278.0
2021-01-29,58491.0,384180.0,5597.0,320092.0
2021-01-30,56375.0,387499.0,5688.0,325436.0
2021-01-31,58977.0,390166.0,5753.0,325436.0
2021-02-01,52154.0,391956.0,5833.0,333969.0
2021-02-02,49096.0,394269.0,5952.0,339221.0
2021-02-03,46851.0,396900.0,6068.0,343981.0
2021-02-04,44144.0,399492.0,6172.0,349176.0
2021-02-05,41263.0,401858.0,6278.0,354317.0
2021-02-06,39040.0,404128.0,6372.0,358716.0
2021-02-07,37266.0,405765.0,6424.0,362075.0
2021-02-08,35403.0,406992.0,6507.0,365082.0
2021-02-09,33291.0,408550.0,6602.0,368657.0
2021-02-10,31332.0,410434.0,6723.0,372379.0
2021-02-11,30027.0,412125.0,6800.0,375298.0
2021-02-12,28710.0,413441.0,6863.0,377868.0
2021-02-13,27462.0,414803.0,6928.0,380413.0
2021-02-14,26458.0,416154.0,6966.0,382730.0
2021-02-15,25148.0,417127.0,7038.0,384941.0
2021-02-16,23712.0,418435.0,7139.0,387584.0
2021-02-17,21626.0,419896.0,7218.0,391052.0
2021-02-18,20789.0,421421.0,7294.0,393338.0
2021-02-19,20022.0,422718.0,7360.0,395336.0
2021-02-20,19377.0,423952.0,7438.0,397137.0
2021-02-21,18738.0,424988.0,7485.0,398765.0
2021-02-22,18090.0,425725.0,7541.0,400094.0
2021-02-23,17580.0,426828.0,7595.0,401653.0
2021-02-24,16843.0,427732.0,7664.0,403225.0
2021-02-25,15977.0,428816.0,7738.0,405101.0
2021-02-26,15627.0,429873.0,7818.0,406428.0
2021-02-27,15370.0,431093.0,7859.0,407864.0
2021-02-28,15038.0,432090.0,7889.0,409163.0
2021-03-01,14390.0,432778.0,7940.0,410448.0
2021-03-02,13736.0,433700.0,8005.0,411959.0
2021-03-03,13698.0,434944.0,8068.0,413178.0
2021-03-04,14780.0,436093.0,8135.0,413178.0
2021-03-05,13164.0,437222.0,8190.0,415868.0
2021-03-06,12302.0,437634.0,8196.0,417136.0
2021-03-07,12996.0,439356.0,8255.0,418105.0
2021-03-08,13571.0,439977.0,8301.0,418105.0
2021-03-09,12689.0,441152.0,8359.0,420104.0
2021-03-10,12734.0,442411.0,8412.0,421265.0
2021-03-11,12871.0,443714.0,8457.0,422386.0
2021-03-12,12999.0,444977.0,8515.0,423463.0
2021-03-13,13217.0,446312.0,8566.0,424529.0
2021-03-14,13193.0,447287.0,8587.0,425507.0
2021-03-15,13868.0,448000.0,8625.0,425507.0
2021-03-16,13034.0,449142.0,8682.0,427426.0
2021-03-17,13342.0,450687.0,8718.0,428627.0
2021-03-18,13655.0,452147.0,8750.0,429742.0
2021-03-19,14062.0,453616.0,8783.0,430771.0
2021-03-20,14438.0,455212.0,8802.0,431972.0
2021-03-21,15525.0,456318.0,8821.0,431972.0
2021-03-22,14129.0,457104.0,8857.0,434118.0
2021-03-23,14508.0,458621.0,8908.0,435205.0
2021-03-24,15359.0,460595.0,8929.0,436307.0
2021-03-25,16004.0,462506.0,8956.0,437546.0
2021-03-26,16771.0,464483.0,8989.0,438723.0
2021-03-27,18819.0,466563.0,9021.0,438723.0
2021-03-28,20573.0,468346.0,9050.0,438723.0
2021-03-29,18344.0,469636.0,9079.0,442213.0
2021-03-30,19181.0,471777.0,9112.0,443484.0
2021-03-31,20618.0,474641.0,9155.0,444868.0
2021-04-01,21806.0,477239.0,9173.0,446260.0
2021-04-02,23203.0,479953.0,9191.0,447559.0
2021-04-03,24571.0,482704.0,9198.0,448935.0
2021-04-04,25548.0,485226.0,9210.0,450468.0
