Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0
2020-03-18,3.0,3.0,0.0,0.0
2020-03-19,3.0,3.0,0.0,0.0
2020-03-20,6.0,6.0,0.0,0.0
2020-03-21,14.0,14.0,0.0,0.0
2020-03-22,14.0,14.0,0.0,0.0
2020-03-23,16.0,16.0,0.0,0.0
2020-03-24,42.0,42.0,0.0,0.0
2020-03-25,44.0,44.0,0.0,0.0
2020-03-26,44.0,44.0,0.0,0.0
2020-03-27,58.0,58.0,0.0,0.0
2020-03-28,58.0,58.0,0.0,0.0
2020-03-29,84.0,84.0,0.0,0.0
2020-03-30,91.0,94.0,0.0,3.0
2020-03-31,104.0,107.0,0.0,3.0
2020-04-01,108.0,111.0,0.0,3.0
2020-04-02,111.0,116.0,0.0,5.0
2020-04-03,123.0,130.0,1.0,6.0
2020-04-04,134.0,144.0,1.0,9.0
2020-04-05,137.0,147.0,1.0,9.0
2020-04-06,179.0,216.0,4.0,33.0
2020-04-07,191.0,228.0,4.0,33.0
2020-04-08,233.0,270.0,4.0,33.0
2020-04-09,241.0,280.0,4.0,35.0
2020-04-10,258.0,298.0,5.0,35.0
2020-04-11,290.0,339.0,5.0,44.0
2020-04-12,318.0,377.0,5.0,54.0
2020-04-13,347.0,419.0,5.0,67.0
2020-04-14,354.0,430.0,5.0,71.0
2020-04-15,366.0,449.0,5.0,78.0
2020-04-16,370.0,466.0,5.0,91.0
2020-04-17,370.0,489.0,5.0,114.0
2020-04-18,371.0,506.0,5.0,130.0
2020-04-19,416.0,554.0,5.0,133.0
2020-04-20,360.0,568.0,7.0,201.0
2020-04-21,367.0,590.0,7.0,216.0
2020-04-22,351.0,612.0,7.0,254.0
2020-04-23,321.0,631.0,8.0,302.0
2020-04-24,312.0,665.0,8.0,345.0
2020-04-25,312.0,665.0,8.0,345.0
2020-04-26,304.0,682.0,8.0,370.0
2020-04-27,292.0,695.0,8.0,395.0
2020-04-28,284.0,708.0,8.0,416.0
2020-04-29,284.0,729.0,8.0,437.0
2020-04-30,276.0,746.0,8.0,462.0
2020-05-01,244.0,756.0,8.0,504.0
2020-05-02,234.0,769.0,8.0,527.0
2020-05-03,221.0,795.0,10.0,564.0
2020-05-04,245.0,830.0,10.0,575.0
2020-05-05,232.0,843.0,11.0,600.0
2020-05-06,245.0,871.0,12.0,614.0
2020-05-07,246.0,895.0,12.0,637.0
2020-05-08,244.0,906.0,12.0,650.0
2020-05-09,261.0,931.0,12.0,658.0
2020-05-10,315.0,1002.0,12.0,675.0
2020-05-11,316.0,1016.0,12.0,688.0
2020-05-12,316.0,1037.0,12.0,709.0
2020-05-13,306.0,1044.0,12.0,726.0
2020-05-14,335.0,1082.0,12.0,735.0
2020-05-15,352.0,1111.0,14.0,745.0
2020-05-16,320.0,1117.0,14.0,783.0
2020-05-17,320.0,1138.0,14.0,804.0
2020-05-18,375.0,1216.0,14.0,827.0
2020-05-19,331.0,1243.0,14.0,898.0
2020-05-20,346.0,1270.0,14.0,910.0
2020-05-21,376.0,1313.0,14.0,923.0
2020-05-22,397.0,1350.0,14.0,939.0
2020-05-23,394.0,1365.0,14.0,957.0
2020-05-24,409.0,1403.0,14.0,980.0
2020-05-25,425.0,1433.0,16.0,992.0
2020-05-26,437.0,1468.0,16.0,1015.0
2020-05-27,461.0,1520.0,16.0,1043.0
2020-05-28,512.0,1594.0,16.0,1066.0
2020-05-29,558.0,1662.0,16.0,1088.0
2020-05-30,593.0,1722.0,16.0,1113.0
2020-05-31,562.0,1748.0,16.0,1170.0
2020-06-01,620.0,1817.0,16.0,1181.0
2020-06-02,609.0,1845.0,17.0,1219.0
2020-06-03,586.0,1871.0,20.0,1265.0
2020-06-04,587.0,1899.0,20.0,1292.0
2020-06-05,574.0,1936.0,22.0,1340.0
2020-06-06,592.0,1974.0,22.0,1360.0
2020-06-07,560.0,2007.0,22.0,1425.0
2020-06-08,564.0,2032.0,23.0,1445.0
2020-06-09,548.0,2055.0,24.0,1483.0
2020-06-10,495.0,2093.0,26.0,1572.0
2020-06-11,472.0,2166.0,26.0,1668.0
2020-06-12,472.0,2166.0,26.0,1668.0
2020-06-13,458.0,2207.0,27.0,1722.0
2020-06-14,467.0,2285.0,27.0,1791.0
2020-06-15,597.0,2472.0,28.0,1847.0
2020-06-16,630.0,2562.0,30.0,1902.0
2020-06-17,693.0,2657.0,31.0,1933.0
2020-06-18,693.0,2657.0,31.0,1933.0
2020-06-19,796.0,2789.0,32.0,1961.0
2020-06-20,965.0,2981.0,35.0,1981.0
2020-06-21,1295.0,3356.0,40.0,2021.0
