Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,1.0,1.0,0.0,0.0
2020-03-03,1.0,1.0,0.0,0.0
2020-03-04,1.0,1.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,2.0,2.0,0.0,0.0
2020-03-09,6.0,6.0,0.0,0.0
2020-03-10,7.0,8.0,0.0,1.0
2020-03-11,9.0,10.0,0.0,1.0
2020-03-12,9.0,10.0,0.0,1.0
2020-03-13,16.0,17.0,0.0,1.0
2020-03-14,25.0,26.0,0.0,1.0
2020-03-15,29.0,30.0,0.0,1.0
2020-03-16,33.0,34.0,0.0,1.0
2020-03-17,48.0,49.0,0.0,1.0
2020-03-18,70.0,71.0,0.0,1.0
2020-03-19,85.0,86.0,0.0,1.0
2020-03-20,110.0,111.0,0.0,1.0
2020-03-21,123.0,124.0,0.0,1.0
2020-03-22,138.0,139.0,0.0,1.0
2020-03-23,179.0,180.0,0.0,1.0
2020-03-24,196.0,197.0,0.0,1.0
2020-03-25,220.0,221.0,0.0,1.0
2020-03-26,243.0,244.0,0.0,1.0
2020-03-27,279.0,280.0,0.0,1.0
2020-03-28,304.0,305.0,0.0,1.0
2020-03-29,346.0,347.0,0.0,1.0
2020-03-30,375.0,376.0,0.0,1.0
2020-03-31,397.0,398.0,0.0,1.0
2020-04-01,445.0,446.0,0.0,1.0
2020-04-02,427.0,458.0,0.0,31.0
2020-04-03,491.0,493.0,1.0,1.0
2020-04-04,507.0,509.0,1.0,1.0
2020-04-05,531.0,533.0,1.0,1.0
2020-04-06,525.0,542.0,1.0,16.0
2020-04-07,530.0,548.0,2.0,16.0
2020-04-08,559.0,577.0,2.0,16.0
2020-04-09,570.0,589.0,3.0,16.0
2020-04-10,593.0,612.0,3.0,16.0
2020-04-11,611.0,630.0,3.0,16.0
2020-04-12,630.0,651.0,5.0,16.0
2020-04-13,634.0,655.0,5.0,16.0
2020-04-14,636.0,657.0,5.0,16.0
2020-04-15,617.0,666.0,5.0,44.0
2020-04-16,613.0,675.0,5.0,57.0
2020-04-17,589.0,682.0,5.0,88.0
2020-04-18,619.0,712.0,5.0,88.0
2020-04-19,634.0,727.0,5.0,88.0
2020-04-20,646.0,739.0,5.0,88.0
2020-04-21,606.0,748.0,9.0,133.0
2020-04-22,617.0,761.0,11.0,133.0
2020-04-23,634.0,778.0,11.0,133.0
2020-04-24,505.0,784.0,12.0,267.0
2020-04-25,525.0,804.0,12.0,267.0
2020-04-26,533.0,812.0,12.0,267.0
2020-04-27,538.0,818.0,13.0,267.0
2020-04-28,556.0,836.0,13.0,267.0
2020-04-29,486.0,849.0,15.0,348.0
2020-04-30,495.0,858.0,15.0,348.0
2020-05-01,506.0,870.0,16.0,348.0
2020-05-02,507.0,871.0,16.0,348.0
2020-05-03,515.0,879.0,16.0,348.0
2020-05-04,532.0,896.0,16.0,348.0
2020-05-05,531.0,896.0,17.0,348.0
2020-05-06,419.0,900.0,17.0,464.0
2020-05-07,427.0,909.0,18.0,464.0
2020-05-08,446.0,928.0,18.0,464.0
2020-05-09,448.0,930.0,18.0,464.0
2020-05-10,457.0,939.0,18.0,464.0
2020-05-11,464.0,946.0,18.0,464.0
2020-05-12,305.0,950.0,18.0,627.0
2020-05-13,305.0,951.0,19.0,627.0
2020-05-14,316.0,962.0,19.0,627.0
2020-05-15,289.0,970.0,19.0,662.0
2020-05-16,316.0,997.0,19.0,662.0
2020-05-17,327.0,1008.0,19.0,662.0
2020-05-18,328.0,1009.0,19.0,662.0
2020-05-19,297.0,1012.0,21.0,694.0
2020-05-20,301.0,1016.0,21.0,694.0
2020-05-21,309.0,1025.0,22.0,694.0
2020-05-22,296.0,1030.0,22.0,712.0
2020-05-23,312.0,1046.0,22.0,712.0
2020-05-24,313.0,1047.0,22.0,712.0
2020-05-25,315.0,1049.0,22.0,712.0
2020-05-26,290.0,1053.0,22.0,741.0
2020-05-27,293.0,1057.0,23.0,741.0
2020-05-28,296.0,1061.0,24.0,741.0
2020-05-29,295.0,1064.0,24.0,745.0
2020-05-30,296.0,1065.0,24.0,745.0
2020-05-31,297.0,1066.0,24.0,745.0
2020-06-01,297.0,1066.0,24.0,745.0
2020-06-02,287.0,1071.0,24.0,760.0
2020-06-03,295.0,1079.0,24.0,760.0
2020-06-04,297.0,1082.0,25.0,760.0
2020-06-05,279.0,1085.0,25.0,781.0
2020-06-06,280.0,1086.0,25.0,781.0
2020-06-07,282.0,1088.0,25.0,781.0
2020-06-08,281.0,1088.0,26.0,781.0
2020-06-09,269.0,1089.0,26.0,794.0
2020-06-10,272.0,1092.0,26.0,794.0
2020-06-11,250.0,1094.0,26.0,818.0
2020-06-12,251.0,1096.0,27.0,818.0
2020-06-13,224.0,1097.0,28.0,845.0
2020-06-14,224.0,1097.0,28.0,845.0
2020-06-15,224.0,1097.0,28.0,845.0
2020-06-16,195.0,1098.0,28.0,875.0
2020-06-17,202.36254865349667,1104.0,26.637451346503312,875.0
2020-06-18,178.26603614861804,1108.0,26.733963851381947,903.0
2020-06-19,180.21777989617874,1110.0,26.782220103821267,903.0
2020-06-20,181.19365176995908,1111.0,26.806348230040925,903.0
2020-06-21,181.19365176995908,1111.0,26.806348230040925,903.0
