Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,1.0,1.0,0.0,0.0
2020-02-22,1.0,1.0,0.0,0.0
2020-02-23,1.0,1.0,0.0,0.0
2020-02-24,1.0,1.0,0.0,0.0
2020-02-25,1.0,1.0,0.0,0.0
2020-02-26,2.0,2.0,0.0,0.0
2020-02-27,2.0,2.0,0.0,0.0
2020-02-28,2.0,2.0,0.0,0.0
2020-02-29,4.0,4.0,0.0,0.0
2020-03-01,10.0,10.0,0.0,0.0
2020-03-02,13.0,13.0,0.0,0.0
2020-03-03,13.0,13.0,0.0,0.0
2020-03-04,12.0,13.0,0.0,1.0
2020-03-05,15.0,16.0,0.0,1.0
2020-03-06,21.0,22.0,0.0,1.0
2020-03-07,21.0,22.0,0.0,1.0
2020-03-08,31.0,32.0,0.0,1.0
2020-03-09,31.0,32.0,0.0,1.0
2020-03-10,39.0,41.0,1.0,1.0
2020-03-11,57.0,61.0,3.0,1.0
2020-03-12,57.0,61.0,3.0,1.0
2020-03-13,73.0,77.0,3.0,1.0
2020-03-14,89.0,93.0,3.0,1.0
2020-03-15,106.0,110.0,3.0,1.0
2020-03-16,106.0,110.0,3.0,1.0
2020-03-17,114.0,120.0,3.0,3.0
2020-03-18,127.0,133.0,3.0,3.0
2020-03-19,149.0,157.0,4.0,4.0
2020-03-20,155.0,163.0,4.0,4.0
2020-03-21,179.0,187.0,4.0,4.0
2020-03-22,236.0,248.0,4.0,8.0
2020-03-23,255.0,267.0,4.0,8.0
2020-03-24,306.0,318.0,4.0,8.0
2020-03-25,307.0,333.0,6.0,20.0
2020-03-26,339.0,368.0,6.0,23.0
2020-03-27,356.0,391.0,8.0,27.0
2020-03-28,374.0,412.0,8.0,30.0
2020-03-29,398.0,438.0,10.0,30.0
2020-03-30,400.0,446.0,11.0,35.0
2020-03-31,421.0,470.0,12.0,37.0
2020-04-01,422.0,479.0,14.0,43.0
2020-04-02,432.0,494.0,16.0,46.0
2020-04-03,441.0,508.0,17.0,50.0
2020-04-04,449.0,520.0,17.0,54.0
2020-04-05,455.0,527.0,18.0,54.0
2020-04-06,462.0,541.0,19.0,60.0
2020-04-07,467.0,548.0,19.0,62.0
2020-04-08,495.0,576.0,19.0,62.0
2020-04-09,496.0,582.0,19.0,67.0
2020-04-10,513.0,609.0,20.0,76.0
2020-04-11,522.0,619.0,20.0,77.0
2020-04-12,530.0,630.0,20.0,80.0
2020-04-13,532.0,632.0,20.0,80.0
2020-04-14,540.0,641.0,21.0,80.0
2020-04-15,552.0,658.0,21.0,85.0
2020-04-16,556.0,663.0,21.0,86.0
2020-04-17,561.0,668.0,21.0,86.0
2020-04-18,552.0,672.0,21.0,99.0
2020-04-19,550.0,673.0,21.0,102.0
2020-04-20,553.0,677.0,21.0,103.0
2020-04-21,548.0,677.0,21.0,108.0
2020-04-22,547.0,682.0,22.0,113.0
2020-04-23,526.0,688.0,22.0,140.0
2020-04-24,534.0,696.0,22.0,140.0
2020-04-25,537.0,704.0,24.0,143.0
2020-04-26,538.0,707.0,24.0,145.0
2020-04-27,541.0,710.0,24.0,145.0
2020-04-28,548.0,717.0,24.0,145.0
2020-04-29,547.0,721.0,24.0,150.0
2020-04-30,551.0,725.0,24.0,150.0
2020-05-01,513.0,729.0,24.0,192.0
2020-05-02,511.0,733.0,25.0,197.0
2020-05-03,512.0,737.0,25.0,200.0
2020-05-04,515.0,740.0,25.0,200.0
2020-05-05,510.0,741.0,25.0,206.0
2020-05-06,519.0,750.0,25.0,206.0
2020-05-07,539.0,784.0,25.0,220.0
2020-05-08,547.041573549725,796.0,25.958426450275073,223.0
2020-05-09,548.6176293991551,809.0,26.382370600844894,234.0
2020-05-10,583.4436302129618,845.0,27.55636978703824,234.0
2020-05-11,596.9870749738866,859.0,28.01292502611343,234.0
2020-05-12,607.6283530003275,870.0,28.371646999672507,234.0
2020-05-13,613.3674642922846,878.0,28.632535707715473,236.0
2020-05-14,621.1065755842416,886.0,28.89342441575844,236.0
2020-05-15,615.9435201417147,891.0,29.056479858285293,246.0
2020-05-16,625.5847981681557,902.0,29.415201831844367,247.0
2020-05-17,634.2912983716072,911.0,29.708701628392706,247.0
2020-05-18,649.6390766014999,931.0,30.36092339850012,251.0
2020-05-19,671.8890215658763,954.0,31.110978434123645,251.0
2020-05-20,678.6607439463388,961.0,31.33925605366124,251.0
2020-05-21,327.6062453705004,1024.0,33.3937546294996,663.0
2020-05-22,387.5843578831674,1086.0,35.41564211683258,663.0
2020-05-23,394.22563590960834,1097.0,35.77436409039166,667.0
2020-05-24,389.671247405017,1114.0,36.32875259498296,688.0
2020-05-25,394.5081919624902,1119.0,36.49180803750981,688.0
2020-05-26,413.8233591038774,1140.0,37.17664089612259,689.0
2020-05-27,431.13852624526464,1161.0,37.86147375473538,692.0
2020-05-28,430.91024862572704,1168.0,38.08975137427297,699.0
2020-05-29,428.77980427170553,1172.0,38.220195728294456,705.0
2020-05-30,444.1601935901035,1191.0,38.839806409896504,708.0
2020-05-31,468.21447202344774,1220.0,39.78552797655225,712.0
2020-06-01,477.79052787287793,1233.0,40.20947212712207,715.0
2020-06-02,482.49702807632957,1242.0,40.50297192367041,719.0
2020-06-03,491.0404728372544,1256.0,40.959527162745594,724.0
2020-06-04,532.4099184119859,1306.0,42.59008158801413,731.0
2020-06-05,501.21425188095367,1312.0,42.78574811904635,768.0
2020-06-06,508.95336317291066,1320.0,43.04663682708932,768.0
2020-06-07,519.5946411993516,1331.0,43.4053588006484,768.0
2020-06-08,526.9750305177496,1350.0,44.02496948225044,779.0
2020-06-09,528.3880309246529,1368.0,44.61196907534711,795.0
2020-06-10,510.73580915454545,1388.0,45.26419084545453,832.0
2020-06-11,511.2792539154703,1402.0,45.720746084529715,845.0
