Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,3.0,3.0,0.0,0.0
2020-01-26,4.0,4.0,0.0,0.0
2020-01-27,4.0,4.0,0.0,0.0
2020-01-28,4.0,4.0,0.0,0.0
2020-01-29,7.0,7.0,0.0,0.0
2020-01-30,8.0,8.0,0.0,0.0
2020-01-31,8.0,8.0,0.0,0.0
2020-02-01,8.0,8.0,0.0,0.0
2020-02-02,8.0,8.0,0.0,0.0
2020-02-03,8.0,8.0,0.0,0.0
2020-02-04,10.0,10.0,0.0,0.0
2020-02-05,12.0,12.0,0.0,0.0
2020-02-06,12.0,12.0,0.0,0.0
2020-02-07,11.0,12.0,0.0,1.0
2020-02-08,15.0,16.0,0.0,1.0
2020-02-09,15.0,16.0,0.0,1.0
2020-02-10,17.0,18.0,0.0,1.0
2020-02-11,15.0,18.0,0.0,3.0
2020-02-12,15.0,18.0,0.0,3.0
2020-02-13,16.0,19.0,0.0,3.0
2020-02-14,16.0,19.0,0.0,3.0
2020-02-15,15.0,22.0,0.0,7.0
2020-02-16,15.0,22.0,0.0,7.0
2020-02-17,15.0,22.0,0.0,7.0
2020-02-18,9.0,22.0,0.0,13.0
2020-02-19,7.0,22.0,0.0,15.0
2020-02-20,7.0,22.0,0.0,15.0
2020-02-21,7.0,22.0,0.0,15.0
2020-02-22,7.0,22.0,0.0,15.0
2020-02-23,7.0,22.0,0.0,15.0
2020-02-24,4.0,22.0,0.0,18.0
2020-02-25,4.0,22.0,0.0,18.0
2020-02-26,4.0,22.0,0.0,18.0
2020-02-27,5.0,23.0,0.0,18.0
2020-02-28,5.0,23.0,0.0,18.0
2020-02-29,7.0,25.0,0.0,18.0
2020-03-01,11.0,29.0,0.0,18.0
2020-03-02,11.0,29.0,0.0,18.0
2020-03-03,14.0,36.0,0.0,22.0
2020-03-04,28.0,50.0,0.0,22.0
2020-03-05,28.0,50.0,0.0,22.0
2020-03-06,61.0,83.0,0.0,22.0
2020-03-07,70.0,93.0,0.0,23.0
2020-03-08,75.0,99.0,0.0,24.0
2020-03-09,93.0,117.0,0.0,24.0
2020-03-10,105.0,129.0,0.0,24.0
2020-03-11,123.0,149.0,0.0,26.0
2020-03-12,123.0,149.0,0.0,26.0
2020-03-13,171.0,197.0,0.0,26.0
2020-03-14,203.0,238.0,0.0,35.0
2020-03-15,386.0,428.0,0.0,42.0
2020-03-16,524.0,566.0,0.0,42.0
2020-03-17,622.0,673.0,2.0,49.0
2020-03-18,728.0,790.0,2.0,60.0
2020-03-19,823.0,900.0,2.0,75.0
2020-03-20,940.0,1030.0,3.0,87.0
2020-03-21,1065.0,1183.0,4.0,114.0
2020-03-22,1157.0,1306.0,10.0,139.0
2020-03-23,1365.0,1518.0,14.0,139.0
2020-03-24,1425.0,1624.0,16.0,183.0
2020-03-25,1577.0,1796.0,20.0,199.0
2020-03-26,1793.0,2031.0,23.0,215.0
2020-03-27,1876.0,2161.0,26.0,259.0
2020-03-28,1973.0,2320.0,27.0,320.0
2020-03-29,2047.0,2470.0,35.0,388.0
2020-03-30,2110.0,2626.0,37.0,479.0
2020-03-31,2186.0,2766.0,43.0,537.0
2020-04-01,2218.0,2908.0,45.0,645.0
2020-04-02,2299.0,3116.0,50.0,767.0
2020-04-03,2453.0,3333.0,53.0,827.0
2020-04-04,2511.0,3483.0,57.0,915.0
2020-04-05,2596.0,3662.0,61.0,1005.0
2020-04-06,2490.0,3793.0,62.0,1241.0
2020-04-07,2579.0,3963.0,63.0,1321.0
2020-04-08,2567.0,4119.0,65.0,1487.0
2020-04-09,2553.0,4228.0,67.0,1608.0
2020-04-10,2446.0,4346.0,70.0,1830.0
2020-04-11,2462.0,4530.0,73.0,1995.0
2020-04-12,2499.0,4683.0,76.0,2108.0
2020-04-13,2464.0,4817.0,77.0,2276.0
2020-04-14,2427.0,4987.0,82.0,2478.0
2020-04-15,2342.0,5072.0,83.0,2647.0
2020-04-16,2332.0,5182.0,84.0,2766.0
2020-04-17,2198.0,5251.0,86.0,2967.0
2020-04-18,2115.0,5305.0,88.0,3102.0
2020-04-19,2103.0,5389.0,89.0,3197.0
2020-04-20,2041.0,5425.0,89.0,3295.0
2020-04-21,2041.0,5482.0,92.0,3349.0
2020-04-22,1987.0,5532.0,93.0,3452.0
2020-04-23,1966.0,5603.0,95.0,3542.0
2020-04-24,1932.0,5691.0,96.0,3663.0
2020-04-25,1882.0,5742.0,98.0,3762.0
2020-04-26,1820.0,5780.0,98.0,3862.0
2020-04-27,1764.0,5820.0,99.0,3957.0
2020-04-28,1719.0,5851.0,100.0,4032.0
2020-04-29,1758.0,5945.0,100.0,4087.0
2020-04-30,1729.0,6002.0,102.0,4171.0
2020-05-01,1758.0,6071.0,103.0,4210.0
2020-05-02,1747.0,6176.0,103.0,4326.0
2020-05-03,1780.0,6298.0,105.0,4413.0
2020-05-04,1764.0,6353.0,105.0,4484.0
2020-05-05,1710.0,6383.0,106.0,4567.0
2020-05-06,1619.0,6428.0,107.0,4702.0
2020-05-07,1584.0,6467.0,107.0,4776.0
2020-05-08,1564.0,6535.0,107.0,4864.0
2020-05-09,1552.0,6589.0,108.0,4929.0
2020-05-10,1523.0,6656.0,108.0,5025.0
2020-05-11,1504.0,6726.0,109.0,5113.0
2020-05-12,1410.0,6742.0,109.0,5223.0
2020-05-13,1387.0,6779.0,111.0,5281.0
2020-05-14,1356.0,6819.0,112.0,5351.0
2020-05-15,1304.0,6855.0,112.0,5439.0
2020-05-16,1247.0,6872.0,113.0,5512.0
2020-05-17,1210.0,6894.0,113.0,5571.0
2020-05-18,1213.0,6941.0,113.0,5615.0
2020-05-19,1218.0,6978.0,114.0,5646.0
2020-05-20,1189.0,7009.0,114.0,5706.0
2020-05-21,1149.0,7059.0,114.0,5796.0
2020-05-22,1163.0,7137.0,115.0,5859.0
2020-05-23,1158.0,7185.0,115.0,5912.0
2020-05-24,1185.0,7245.0,115.0,5945.0
2020-05-25,1323.0,7417.0,115.0,5979.0
2020-05-26,1448.0,7604.0,115.0,6041.0
2020-05-27,1421.0,7619.0,115.0,6083.0
2020-05-28,1345.0,7629.0,115.0,6169.0
2020-05-29,1382.0,7732.0,115.0,6235.0
2020-05-30,1317.0,7762.0,115.0,6330.0
2020-05-31,1351.0,7819.0,115.0,6353.0
2020-06-01,1338.0,7857.0,115.0,6404.0
2020-06-02,1292.0,7877.0,115.0,6470.0
2020-06-03,1324.0,7970.0,115.0,6531.0
2020-06-04,1573.0,8247.0,115.0,6559.0
2020-06-05,1540.0,8266.0,116.0,6610.0
2020-06-06,1551.0,8303.0,117.0,6635.0
2020-06-07,1531.0,8322.0,117.0,6674.0
2020-06-08,1518.0,8329.0,117.0,6694.0
2020-06-09,1244.0,8336.0,117.0,6975.0
2020-06-10,1206.0,8338.0,118.0,7014.0
2020-06-11,1186.0,8369.0,118.0,7065.0
2020-06-12,1115.0,8402.0,119.0,7168.0
2020-06-13,1014.0,8445.0,120.0,7311.0
2020-06-14,987.7536030144377,8453.0,119.2463969855624,7346.0
