Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,1.0,1.0,0.0,0.0
2020-02-29,4.0,4.0,0.0,0.0
2020-03-01,5.0,5.0,0.0,0.0
2020-03-02,5.0,5.0,0.0,0.0
2020-03-03,4.0,5.0,0.0,1.0
2020-03-04,4.0,5.0,0.0,1.0
2020-03-05,4.0,5.0,0.0,1.0
2020-03-06,5.0,6.0,0.0,1.0
2020-03-07,5.0,6.0,0.0,1.0
2020-03-08,6.0,7.0,0.0,1.0
2020-03-09,6.0,7.0,0.0,1.0
2020-03-10,3.0,7.0,0.0,4.0
2020-03-11,4.0,8.0,0.0,4.0
2020-03-12,8.0,12.0,0.0,4.0
2020-03-13,22.0,26.0,0.0,4.0
2020-03-14,37.0,41.0,0.0,4.0
2020-03-15,49.0,53.0,0.0,4.0
2020-03-16,78.0,82.0,0.0,4.0
2020-03-17,89.0,93.0,0.0,4.0
2020-03-18,114.0,118.0,0.0,4.0
2020-03-19,159.0,164.0,1.0,4.0
2020-03-20,197.0,203.0,2.0,4.0
2020-03-21,245.0,251.0,2.0,4.0
2020-03-22,309.0,316.0,3.0,4.0
2020-03-23,359.0,367.0,4.0,4.0
2020-03-24,396.0,405.0,5.0,4.0
2020-03-25,465.0,475.0,6.0,4.0
2020-03-26,573.0,585.0,8.0,4.0
2020-03-27,701.0,717.0,12.0,4.0
2020-03-28,828.0,848.0,16.0,4.0
2020-03-29,969.0,993.0,20.0,4.0
2020-03-30,1031.0,1094.0,28.0,35.0
2020-03-31,1151.0,1215.0,29.0,35.0
2020-04-01,1306.0,1378.0,37.0,35.0
2020-04-02,1425.0,1510.0,50.0,35.0
2020-04-03,995.0,1688.0,60.0,633.0
2020-04-04,1178.0,1890.0,79.0,633.0
2020-04-05,1416.0,2143.0,94.0,633.0
2020-04-06,1681.0,2439.0,125.0,633.0
2020-04-07,2011.0,2785.0,141.0,633.0
2020-04-08,2374.0,3181.0,174.0,633.0
2020-04-09,2614.0,3441.0,194.0,633.0
2020-04-10,2978.0,3844.0,233.0,633.0
2020-04-11,3313.0,4219.0,273.0,633.0
2020-04-12,2593.0,4661.0,296.0,1772.0
2020-04-13,2839.0,5014.0,332.0,1843.0
2020-04-14,3029.0,5399.0,406.0,1964.0
2020-04-15,3273.0,5847.0,449.0,2125.0
2020-04-16,3686.0,6297.0,486.0,2125.0
2020-04-17,4204.0,6875.0,546.0,2125.0
2020-04-18,4722.0,7497.0,650.0,2125.0
2020-04-19,4948.0,8261.0,686.0,2627.0
2020-04-20,5433.0,8772.0,712.0,2627.0
2020-04-21,6017.0,9501.0,857.0,2627.0
2020-04-22,6947.0,10544.0,970.0,2627.0
2020-04-23,7937.0,11633.0,1069.0,2627.0
2020-04-24,9024.0,12872.0,1221.0,2627.0
2020-04-25,5388.0,13842.0,1305.0,7149.0
2020-04-26,4972.0,14677.0,1351.0,8354.0
2020-04-27,5009.0,15529.0,1434.0,9086.0
2020-04-28,3760.0,16752.0,1569.0,11423.0
2020-04-29,4644.0,17799.0,1732.0,11423.0
2020-04-30,5942.0,19224.0,1859.0,11423.0
2020-05-01,6390.0,20739.0,1972.0,12377.0
2020-05-02,7650.0,22088.0,2061.0,12377.0
2020-05-03,7870.0,23471.0,2154.0,13447.0
2020-05-04,9187.0,24905.0,2271.0,13447.0
2020-05-05,6708.0,26025.0,2507.0,16810.0
2020-05-06,7149.0,27634.0,2704.0,17781.0
2020-05-07,8874.0,29616.0,2961.0,17781.0
2020-05-08,8048.0,31522.0,3160.0,20314.0
2020-05-09,8283.0,33460.0,3353.0,21824.0
2020-05-10,9733.0,35022.0,3465.0,21824.0
2020-05-11,9654.0,36327.0,3573.0,23100.0
2020-05-12,8463.0,38324.0,3926.0,25935.0
2020-05-13,8976.0,40186.0,4220.0,26990.0
2020-05-14,9643.0,42595.0,4477.0,28475.0
2020-05-15,9814.0,45032.0,4767.0,30451.0
2020-05-16,10251.0,47144.0,5045.0,31848.0
2020-05-17,10713.0,49219.0,5177.0,33329.0
2020-05-18,10913.0,51633.0,5332.0,35388.0
2020-05-19,11355.0,54346.0,5666.0,37325.0
2020-05-20,12085.0,56594.0,6090.0,38419.0
2020-05-21,12905.0,59567.0,6510.0,40152.0
2020-05-22,13347.0,62527.0,6989.0,42191.0
2020-05-23,14253.0,65856.0,7179.0,44424.0
2020-05-24,14247.0,68620.0,7394.0,46979.0
2020-05-25,14020.0,71105.0,7633.0,49452.0
2020-05-26,14718.0,74560.0,8134.0,51708.0
2020-05-27,15592.0,78023.0,8597.0,53834.0
2020-05-28,16315.0,81400.0,9044.0,56041.0
2020-05-29,16209.0,84627.0,9415.0,59003.0
2020-05-30,16486.0,87512.0,9779.0,61247.0
2020-05-31,16962.0,90664.0,9930.0,63772.0
2020-06-01,16303.0,93435.0,10167.0,66965.0
2020-06-02,16940.0,97326.0,10637.0,69749.0
2020-06-03,16829.0,101238.0,11729.0,72680.0
2020-06-04,18377.0,105680.0,12545.0,74758.0
2020-06-05,19015.0,110026.0,13170.0,77841.0
2020-06-06,19278.0,113619.0,13511.0,80830.0
2020-06-07,19629.0,117103.0,13699.0,83775.0
2020-06-08,18416.0,120102.0,14053.0,87633.0
2020-06-09,18904.0,124301.0,14649.0,90748.0
2020-06-10,19897.0,129184.0,15357.0,93930.0
2020-06-11,20832.0,133974.0,15944.0,97198.0
2020-06-12,21872.0,139196.0,16448.0,100876.0
2020-06-13,21740.0,142690.0,16872.0,104078.0
