Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0
2020-03-10,3.0,3.0,0.0,0.0
2020-03-11,3.0,3.0,0.0,0.0
2020-03-12,3.0,3.0,0.0,0.0
2020-03-13,6.0,6.0,0.0,0.0
2020-03-14,12.0,12.0,0.0,0.0
2020-03-15,23.0,23.0,0.0,0.0
2020-03-16,23.0,23.0,0.0,0.0
2020-03-17,29.0,30.0,0.0,1.0
2020-03-18,28.0,30.0,1.0,1.0
2020-03-19,47.0,49.0,1.0,1.0
2020-03-20,64.0,66.0,1.0,1.0
2020-03-21,78.0,80.0,1.0,1.0
2020-03-22,92.0,94.0,1.0,1.0
2020-03-23,107.0,109.0,1.0,1.0
2020-03-24,122.0,125.0,1.0,2.0
2020-03-25,146.0,149.0,1.0,2.0
2020-03-26,174.0,177.0,1.0,2.0
2020-03-27,195.0,199.0,2.0,2.0
2020-03-28,227.0,231.0,2.0,2.0
2020-03-29,259.0,263.0,2.0,2.0
2020-03-30,281.0,298.0,2.0,15.0
2020-03-31,331.0,353.0,4.0,18.0
2020-04-01,395.0,423.0,5.0,23.0
2020-04-02,476.0,505.0,6.0,23.0
2020-04-03,557.0,591.0,8.0,26.0
2020-04-04,711.0,752.0,12.0,29.0
2020-04-05,819.0,864.0,15.0,30.0
2020-04-06,909.0,965.0,19.0,37.0
2020-04-07,994.0,1056.0,22.0,40.0
2020-04-08,1107.0,1174.0,27.0,40.0
2020-04-09,1210.0,1289.0,29.0,50.0
2020-04-10,1353.0,1438.0,29.0,56.0
2020-04-11,1455.0,1560.0,30.0,75.0
2020-04-12,1537.0,1662.0,31.0,94.0
2020-04-13,1570.0,1712.0,35.0,107.0
2020-04-14,1760.0,1934.0,40.0,134.0
2020-04-15,1832.0,2049.0,46.0,171.0
2020-04-16,1865.0,2154.0,54.0,235.0
2020-04-17,1932.0,2264.0,56.0,276.0
2020-04-18,1930.0,2378.0,57.0,391.0
2020-04-19,1948.0,2472.0,67.0,457.0
2020-04-20,2021.0,2548.0,70.0,457.0
2020-04-21,2037.0,2614.0,72.0,505.0
2020-04-22,2143.0,2778.0,75.0,560.0
2020-04-23,2185.0,2926.0,80.0,661.0
2020-04-24,2271.0,3110.0,84.0,755.0
2020-04-25,2385.0,3304.0,94.0,825.0
2020-04-26,2417.0,3408.0,96.0,895.0
2020-04-27,2454.0,3481.0,102.0,925.0
2020-04-28,2560.0,3638.0,103.0,975.0
2020-04-29,2546.0,3771.0,111.0,1114.0
2020-04-30,2599.0,3897.0,116.0,1182.0
2020-05-01,2586.0,3980.0,122.0,1272.0
2020-05-02,2594.0,4052.0,124.0,1334.0
2020-05-03,2614.0,4121.0,125.0,1382.0
2020-05-04,2693.0,4248.0,132.0,1423.0
2020-05-05,2683.0,4363.0,136.0,1544.0
2020-05-06,2675.0,4476.0,143.0,1658.0
2020-05-07,2713.0,4605.0,145.0,1747.0
2020-05-08,2752.0,4728.0,150.0,1826.0
2020-05-09,2781.0,4867.0,161.0,1925.0
2020-05-10,2800.0,4927.0,169.0,1958.0
2020-05-11,2840.0,4995.0,175.0,1980.0
2020-05-12,2903.0,5154.0,182.0,2069.0
2020-05-13,3045.0,5406.0,185.0,2176.0
2020-05-14,3131.0,5553.0,194.0,2228.0
2020-05-15,3315.0,5745.0,202.0,2228.0
2020-05-16,3383.0,5934.0,207.0,2344.0
2020-05-17,3505.0,6060.0,211.0,2344.0
2020-05-18,3496.0,6138.0,217.0,2425.0
2020-05-19,3611.0,6340.0,221.0,2508.0
2020-05-20,3372.0,6553.0,228.0,2953.0
2020-05-21,3518.0,6704.0,233.0,2953.0
2020-05-22,3241.0,6847.0,237.0,3369.0
2020-05-23,3300.0,6994.0,242.0,3452.0
2020-05-24,3130.0,7093.0,250.0,3713.0
2020-05-25,3084.0,7147.0,261.0,3802.0
2020-05-26,3154.0,7305.0,267.0,3884.0
2020-05-27,3379.0,7537.0,274.0,3884.0
2020-05-28,3320.0,7725.0,282.0,4123.0
2020-05-29,3330.0,7896.0,288.0,4278.0
2020-05-30,3352.0,8098.0,291.0,4455.0
2020-05-31,3375.0,8251.0,295.0,4581.0
2020-06-01,3433.0,8360.0,305.0,4622.0
2020-06-02,3503.0,8548.0,307.0,4738.0
2020-06-03,3622.0,8795.0,310.0,4863.0
2020-06-04,3694.0,9018.0,315.0,5009.0
2020-06-05,3684.0,9247.0,323.0,5240.0
2020-06-06,3730.0,9511.0,331.0,5450.0
2020-06-07,3721.0,9700.0,341.0,5638.0
2020-06-08,3716.0,9807.0,353.0,5738.0
2020-06-09,3863.0,10025.0,365.0,5797.0
2020-06-10,4020.0,10321.0,371.0,5930.0
2020-06-11,4280.0,10727.0,375.0,6072.0
2020-06-12,4479.0,11093.0,385.0,6229.0
2020-06-13,4640.0,11459.0,398.0,6421.0
2020-06-14,4711.0,11740.0,406.0,6623.0
2020-06-15,4674.0,11879.0,411.0,6794.0
2020-06-16,4930.0,12254.0,423.0,6901.0
