Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,1.0,1.0,0.0,0.0
2020-01-26,1.0,1.0,0.0,0.0
2020-01-27,1.0,1.0,0.0,0.0
2020-01-28,1.0,1.0,0.0,0.0
2020-01-29,1.0,1.0,0.0,0.0
2020-01-30,1.0,1.0,0.0,0.0
2020-01-31,1.0,1.0,0.0,0.0
2020-02-01,1.0,1.0,0.0,0.0
2020-02-02,1.0,1.0,0.0,0.0
2020-02-03,1.0,1.0,0.0,0.0
2020-02-04,1.0,1.0,0.0,0.0
2020-02-05,1.0,1.0,0.0,0.0
2020-02-06,1.0,1.0,0.0,0.0
2020-02-07,1.0,1.0,0.0,0.0
2020-02-08,1.0,1.0,0.0,0.0
2020-02-09,1.0,1.0,0.0,0.0
2020-02-10,1.0,1.0,0.0,0.0
2020-02-11,1.0,1.0,0.0,0.0
2020-02-12,0.0,1.0,0.0,1.0
2020-02-13,0.0,1.0,0.0,1.0
2020-02-14,0.0,1.0,0.0,1.0
2020-02-15,0.0,1.0,0.0,1.0
2020-02-16,0.0,1.0,0.0,1.0
2020-02-17,0.0,1.0,0.0,1.0
2020-02-18,0.0,1.0,0.0,1.0
2020-02-19,0.0,1.0,0.0,1.0
2020-02-20,0.0,1.0,0.0,1.0
2020-02-21,0.0,1.0,0.0,1.0
2020-02-22,0.0,1.0,0.0,1.0
2020-02-23,0.0,1.0,0.0,1.0
2020-02-24,0.0,1.0,0.0,1.0
2020-02-25,0.0,1.0,0.0,1.0
2020-02-26,0.0,1.0,0.0,1.0
2020-02-27,0.0,1.0,0.0,1.0
2020-02-28,0.0,1.0,0.0,1.0
2020-02-29,0.0,1.0,0.0,1.0
2020-03-01,0.0,1.0,0.0,1.0
2020-03-02,0.0,1.0,0.0,1.0
2020-03-03,0.0,1.0,0.0,1.0
2020-03-04,0.0,1.0,0.0,1.0
2020-03-05,0.0,1.0,0.0,1.0
2020-03-06,0.0,1.0,0.0,1.0
2020-03-07,0.0,1.0,0.0,1.0
2020-03-08,0.0,1.0,0.0,1.0
2020-03-09,0.0,1.0,0.0,1.0
2020-03-10,0.0,1.0,0.0,1.0
2020-03-11,0.0,1.0,0.0,1.0
2020-03-12,0.0,1.0,0.0,1.0
2020-03-13,0.0,1.0,0.0,1.0
2020-03-14,0.0,1.0,0.0,1.0
2020-03-15,0.0,1.0,0.0,1.0
2020-03-16,0.0,1.0,0.0,1.0
2020-03-17,0.0,1.0,0.0,1.0
2020-03-18,0.0,1.0,0.0,1.0
2020-03-19,0.0,1.0,0.0,1.0
2020-03-20,0.0,1.0,0.0,1.0
2020-03-21,0.0,1.0,0.0,1.0
2020-03-22,0.0,1.0,0.0,1.0
2020-03-23,1.0,2.0,0.0,1.0
2020-03-24,1.0,2.0,0.0,1.0
2020-03-25,2.0,3.0,0.0,1.0
2020-03-26,2.0,3.0,0.0,1.0
2020-03-27,3.0,4.0,0.0,1.0
2020-03-28,4.0,5.0,0.0,1.0
2020-03-29,4.0,5.0,0.0,1.0
2020-03-30,4.0,5.0,0.0,1.0
2020-03-31,4.0,5.0,0.0,1.0
2020-04-01,4.0,5.0,0.0,1.0
2020-04-02,5.0,6.0,0.0,1.0
2020-04-03,5.0,6.0,0.0,1.0
2020-04-04,8.0,9.0,0.0,1.0
2020-04-05,8.0,9.0,0.0,1.0
2020-04-06,8.0,9.0,0.0,1.0
2020-04-07,8.0,9.0,0.0,1.0
2020-04-08,8.0,9.0,0.0,1.0
2020-04-09,8.0,9.0,0.0,1.0
2020-04-10,8.0,9.0,0.0,1.0
2020-04-11,8.0,9.0,0.0,1.0
2020-04-12,11.0,12.0,0.0,1.0
2020-04-13,13.0,14.0,0.0,1.0
2020-04-14,15.0,16.0,0.0,1.0
2020-04-15,15.0,16.0,0.0,1.0
2020-04-16,14.0,16.0,0.0,2.0
2020-04-17,28.0,30.0,0.0,2.0
2020-04-18,29.0,31.0,0.0,2.0
2020-04-19,27.0,31.0,0.0,4.0
2020-04-20,27.0,31.0,0.0,4.0
2020-04-21,39.0,43.0,0.0,4.0
2020-04-22,38.0,45.0,0.0,7.0
2020-04-23,38.0,48.0,0.0,10.0
2020-04-24,38.0,49.0,0.0,11.0
2020-04-25,37.0,49.0,0.0,12.0
2020-04-26,36.0,52.0,0.0,16.0
2020-04-27,36.0,52.0,0.0,16.0
2020-04-28,38.0,54.0,0.0,16.0
2020-04-29,41.0,57.0,0.0,16.0
2020-04-30,41.0,57.0,0.0,16.0
2020-05-01,43.0,59.0,0.0,16.0
2020-05-02,43.0,59.0,0.0,16.0
2020-05-03,59.0,75.0,0.0,16.0
2020-05-04,59.0,75.0,0.0,16.0
2020-05-05,66.0,82.0,0.0,16.0
2020-05-06,77.0,99.0,0.0,22.0
2020-05-07,79.0,101.0,0.0,22.0
2020-05-08,71.0,102.0,0.0,31.0
2020-05-09,79.0,110.0,0.0,31.0
2020-05-10,79.0,110.0,0.0,31.0
2020-05-11,101.0,134.0,0.0,33.0
2020-05-12,184.0,217.0,0.0,33.0
2020-05-13,215.0,250.0,0.0,35.0
2020-05-14,214.0,249.0,0.0,35.0
2020-05-15,231.0,267.0,0.0,36.0
2020-05-16,254.0,291.0,1.0,36.0
2020-05-17,257.0,295.0,2.0,36.0
2020-05-18,337.0,375.0,2.0,36.0
2020-05-19,363.0,402.0,2.0,37.0
2020-05-20,380.0,427.0,2.0,45.0
2020-05-21,405.0,457.0,3.0,49.0
2020-05-22,443.0,516.0,3.0,70.0
2020-05-23,511.0,584.0,3.0,70.0
2020-05-24,513.0,603.0,3.0,87.0
2020-05-25,566.0,682.0,4.0,112.0
2020-05-26,613.0,772.0,4.0,155.0
2020-05-27,699.0,886.0,4.0,183.0
2020-05-28,850.0,1042.0,5.0,187.0
2020-05-29,1000.0,1212.0,6.0,206.0
2020-05-30,1176.0,1401.0,6.0,219.0
2020-05-31,1344.0,1572.0,8.0,220.0
2020-06-01,1582.0,1811.0,8.0,221.0
2020-06-02,1825.0,2099.0,8.0,266.0
2020-06-03,2013.0,2300.0,9.0,278.0
2020-06-04,2334.0,2634.0,10.0,290.0
2020-06-05,2568.0,2912.0,11.0,333.0
2020-06-06,2857.0,3235.0,13.0,365.0
2020-06-07,2968.0,3448.0,13.0,467.0
2020-06-08,3260.0,3762.0,14.0,488.0
2020-06-09,3487.0,4086.0,15.0,584.0
2020-06-10,3675.0,4364.0,15.0,674.0
2020-06-11,3738.0,4614.0,15.0,861.0
2020-06-12,4169.0,5062.0,16.0,877.0
2020-06-13,4404.0,5335.0,18.0,913.0
2020-06-14,4767.0,5760.0,19.0,974.0
2020-06-15,5151.0,6211.0,19.0,1041.0
2020-06-16,5414.0,6591.0,19.0,1158.0
2020-06-17,5990.0,7177.0,20.0,1167.0
2020-06-18,6640.0,7848.0,22.0,1186.0
2020-06-19,6850.0,8274.0,22.0,1402.0
2020-06-20,7005.0,8605.0,22.0,1578.0
2020-06-21,7231.0,9026.0,23.0,1772.0
2020-06-22,7390.0,9561.0,23.0,2148.0
