Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0
2020-03-11,7.0,8.0,1.0,0.0
2020-03-12,10.0,11.0,1.0,0.0
2020-03-13,26.0,27.0,1.0,0.0
2020-03-14,35.0,36.0,1.0,0.0
2020-03-15,42.0,43.0,1.0,0.0
2020-03-16,54.0,55.0,1.0,0.0
2020-03-17,68.0,69.0,1.0,0.0
2020-03-18,85.0,86.0,1.0,0.0
2020-03-19,108.0,109.0,1.0,0.0
2020-03-20,136.0,137.0,1.0,0.0
2020-03-21,199.0,200.0,1.0,0.0
2020-03-22,310.0,313.0,3.0,0.0
2020-03-23,339.0,345.0,6.0,0.0
2020-03-24,338.0,345.0,6.0,1.0
2020-03-25,434.0,443.0,8.0,1.0
2020-03-26,548.0,558.0,8.0,2.0
2020-03-27,663.0,674.0,9.0,2.0
2020-03-28,770.0,786.0,14.0,2.0
2020-03-29,880.0,901.0,17.0,4.0
2020-03-30,961.0,989.0,24.0,4.0
2020-03-31,1142.0,1181.0,30.0,9.0
2020-04-01,1142.0,1181.0,30.0,9.0
2020-04-02,1276.0,1317.0,32.0,9.0
2020-04-03,1428.0,1475.0,37.0,10.0
2020-04-04,1619.0,1673.0,41.0,13.0
2020-04-05,1742.0,1801.0,46.0,13.0
2020-04-06,1921.0,1988.0,54.0,13.0
2020-04-07,2031.0,2100.0,55.0,14.0
2020-04-08,2174.0,2249.0,59.0,16.0
2020-04-09,2449.0,2528.0,63.0,16.0
2020-04-10,2670.0,2752.0,66.0,16.0
2020-04-11,2883.0,2974.0,74.0,17.0
2020-04-12,3132.0,3234.0,79.0,23.0
2020-04-13,3284.0,3400.0,87.0,29.0
2020-04-14,3317.0,3472.0,94.0,61.0
2020-04-15,3407.0,3574.0,95.0,72.0
2020-04-16,3573.0,3751.0,103.0,75.0
2020-04-17,3809.0,4016.0,109.0,98.0
2020-04-18,3972.0,4210.0,116.0,122.0
2020-04-19,4013.0,4273.0,120.0,140.0
2020-04-20,4176.0,4467.0,126.0,165.0
2020-04-21,4318.0,4658.0,136.0,204.0
2020-04-22,4449.0,4821.0,141.0,231.0
2020-04-23,4749.0,5166.0,146.0,271.0
2020-04-24,4865.0,5338.0,154.0,319.0
2020-04-25,5041.0,5538.0,159.0,338.0
2020-04-26,5276.0,5779.0,165.0,338.0
2020-04-27,5399.0,6021.0,167.0,455.0
2020-04-28,5399.0,6021.0,167.0,455.0
2020-04-29,5673.0,6378.0,178.0,527.0
2020-04-30,5768.0,6532.0,188.0,576.0
2020-05-01,5906.0,6720.0,192.0,622.0
2020-05-02,6252.0,7090.0,197.0,641.0
2020-05-03,6252.0,7090.0,197.0,641.0
2020-05-04,6356.0,7197.0,200.0,641.0
2020-05-05,6490.0,7523.0,210.0,823.0
2020-05-06,6654.0,7731.0,218.0,859.0
2020-05-07,6757.0,7868.0,225.0,886.0
2020-05-08,6953.0,8070.0,231.0,886.0
2020-05-09,3544.0,8282.0,237.0,4501.0
2020-05-10,3517.0,8448.0,244.0,4687.0
2020-05-11,3680.0,8616.0,249.0,4687.0
2020-05-12,2510.0,8783.0,252.0,6021.0
2020-05-13,2621.0,8944.0,256.0,6067.0
2020-05-14,2778.0,9118.0,260.0,6080.0
2020-05-15,2922.0,9268.0,266.0,6080.0
2020-05-16,3100.0,9449.0,269.0,6080.0
2020-05-17,3250.0,9606.0,275.0,6081.0
2020-05-18,3366.0,9726.0,279.0,6081.0
2020-05-19,3392.0,9867.0,281.0,6194.0
2020-05-20,3496.0,9977.0,287.0,6194.0
2020-05-21,3580.0,10116.0,291.0,6245.0
2020-05-22,3697.0,10267.0,295.0,6275.0
2020-05-23,3999.0,10577.0,299.0,6279.0
2020-05-24,4341.0,10926.0,306.0,6279.0
2020-05-25,4594.0,11183.0,310.0,6279.0
2020-05-26,4755.0,11447.0,313.0,6379.0
2020-05-27,4034.0,11728.0,315.0,7379.0
2020-05-28,4432.0,12131.0,320.0,7379.0
2020-05-29,4665.0,12531.0,326.0,7540.0
2020-05-30,3274.0,13018.0,330.0,9414.0
2020-05-31,3613.0,13463.0,336.0,9514.0
2020-06-01,3979.0,13837.0,344.0,9514.0
2020-06-02,4229.0,14095.0,352.0,9514.0
2020-06-03,4733.0,14609.0,357.0,9519.0
2020-06-04,5062.0,15044.0,363.0,9619.0
2020-06-05,5374.0,15463.0,370.0,9719.0
2020-06-06,5500.0,16004.0,386.0,10118.0
2020-06-07,5814.0,16425.0,393.0,10218.0
2020-06-08,6055.0,16854.0,398.0,10401.0
2020-06-09,6269.0,17233.0,403.0,10561.0
2020-06-10,6499.0,17889.0,413.0,10977.0
2020-06-11,7191.0,18586.0,418.0,10977.0
2020-06-12,5031.0,19211.0,421.0,13759.0
2020-06-13,5871.0,20059.0,429.0,13759.0
2020-06-14,7215.0,21418.0,437.0,13766.0
2020-06-15,7208.0,21422.0,448.0,13766.0
2020-06-16,7731.0,21962.0,457.0,13774.0
