Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,6.0,6.0,0.0,0.0
2020-03-09,7.0,7.0,0.0,0.0
2020-03-10,11.0,11.0,0.0,0.0
2020-03-11,11.0,11.0,0.0,0.0
2020-03-12,15.0,15.0,0.0,0.0
2020-03-13,28.0,28.0,0.0,0.0
2020-03-14,38.0,38.0,0.0,0.0
2020-03-15,43.0,43.0,0.0,0.0
2020-03-16,86.0,86.0,0.0,0.0
2020-03-17,116.0,117.0,0.0,1.0
2020-03-18,144.0,145.0,0.0,1.0
2020-03-19,233.0,234.0,0.0,1.0
2020-03-20,230.0,234.0,3.0,1.0
2020-03-21,312.0,318.0,5.0,1.0
2020-03-22,357.0,363.0,5.0,1.0
2020-03-23,389.0,395.0,5.0,1.0
2020-03-24,408.0,416.0,7.0,1.0
2020-03-25,470.0,480.0,9.0,1.0
2020-03-26,557.0,580.0,9.0,14.0
2020-03-27,608.0,635.0,11.0,16.0
2020-03-28,639.0,671.0,16.0,16.0
2020-03-29,818.0,852.0,18.0,16.0
2020-03-30,873.0,950.0,24.0,53.0
2020-03-31,641.0,1065.0,30.0,394.0
2020-04-01,891.0,1323.0,38.0,394.0
2020-04-02,822.0,1414.0,55.0,537.0
2020-04-03,997.0,1595.0,61.0,537.0
2020-04-04,759.0,1746.0,73.0,914.0
2020-04-05,1209.0,2281.0,83.0,989.0
2020-04-06,1472.0,2561.0,92.0,997.0
2020-04-07,1546.0,2954.0,107.0,1301.0
2020-04-08,2888.0,4342.0,121.0,1333.0
2020-04-09,3680.0,5256.0,138.0,1438.0
2020-04-10,4159.0,5897.0,169.0,1569.0
2020-04-11,4928.0,6848.0,181.0,1739.0
2020-04-12,5528.0,7519.0,193.0,1798.0
2020-04-13,6926.0,9784.0,216.0,2642.0
2020-04-14,7204.0,10303.0,230.0,2869.0
2020-04-15,8113.0,11475.0,254.0,3108.0
2020-04-16,6097.0,12491.0,274.0,6120.0
2020-04-17,6648.0,13489.0,300.0,6541.0
2020-04-18,7388.0,14420.0,348.0,6684.0
2020-04-19,8417.0,15628.0,400.0,6811.0
2020-04-20,8912.0,16325.0,445.0,6968.0
2020-04-21,10371.0,17837.0,484.0,6982.0
2020-04-22,11693.0,19250.0,530.0,7027.0
2020-04-23,12920.0,20914.0,572.0,7422.0
2020-04-24,13518.0,21648.0,634.0,7496.0
2020-04-25,16834.0,25331.0,700.0,7797.0
2020-04-26,18701.0,27517.0,728.0,8088.0
2020-04-27,19492.0,28699.0,782.0,8425.0
2020-04-28,21157.0,31190.0,854.0,9179.0
2020-04-29,22951.0,33931.0,943.0,10037.0
2020-04-30,25520.0,36976.0,1051.0,10405.0
2020-05-01,28206.0,40459.0,1124.0,11129.0
2020-05-02,28900.0,42534.0,1200.0,12434.0
2020-05-03,31092.0,45928.0,1286.0,13550.0
2020-05-04,31601.0,47372.0,1344.0,14427.0
2020-05-05,34332.0,51189.0,1444.0,15413.0
2020-05-06,35757.0,54817.0,1533.0,17527.0
2020-05-07,38511.0,58526.0,1627.0,18388.0
2020-05-08,41121.0,61847.0,1714.0,19012.0
2020-05-09,42955.0,65015.0,1814.0,20246.0
2020-05-10,44069.0,67307.0,1889.0,21349.0
2020-05-11,44455.0,68822.0,1961.0,22406.0
2020-05-12,46678.0,72059.0,2057.0,23324.0
2020-05-13,49813.0,76306.0,2169.0,24324.0
2020-05-14,53186.0,80604.0,2267.0,25151.0
2020-05-15,54956.0,84495.0,2392.0,27147.0
2020-05-16,57746.0,88541.0,2523.0,28272.0
2020-05-17,61004.0,92273.0,2648.0,28621.0
2020-05-18,61838.0,94933.0,2789.0,30306.0
2020-05-19,60045.0,99483.0,2914.0,36524.0
2020-05-20,59028.0,104020.0,3024.0,41968.0
2020-05-21,62034.0,108769.0,3148.0,43587.0
2020-05-22,63606.0,111698.0,3244.0,44848.0
2020-05-23,64466.0,115754.0,3373.0,47915.0
2020-05-24,66708.0,119959.0,3456.0,49795.0
2020-05-25,69401.0,123979.0,3629.0,50949.0
2020-05-26,73057.0,129751.0,3788.0,52906.0
2020-05-27,75753.0,135905.0,3983.0,56169.0
2020-05-28,78238.0,141779.0,4099.0,59442.0
2020-05-29,81264.0,148285.0,4230.0,62791.0
2020-05-30,84853.0,155671.0,4371.0,66447.0
2020-05-31,92762.0,164476.0,4506.0,67208.0
2020-06-01,96898.0,170039.0,4634.0,68507.0
2020-06-02,104141.0,178165.0,4767.0,69257.0
2020-06-03,101701.0,178914.0,4894.0,72319.0
2020-06-04,101939.0,183198.0,5031.0,76228.0
2020-06-05,103024.0,187400.0,5162.0,79214.0
2020-06-06,103726.0,191758.0,5301.0,82731.0
2020-06-07,104831.0,196515.0,5465.0,86219.0
2020-06-08,104569.0,199696.0,5571.0,89556.0
2020-06-09,105069.0,203736.0,5738.0,92929.0
2020-06-10,104889.0,208823.0,5903.0,98031.0
2020-06-11,106271.0,214788.0,6088.0,102429.0
2020-06-12,101567.0,214788.0,6088.0,107133.0
2020-06-13,102717.0,220749.0,6308.0,111724.0
