Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,2.0,2.0,0.0,0.0
2020-03-03,2.0,2.0,0.0,0.0
2020-03-04,5.0,5.0,0.0,0.0
2020-03-05,8.0,8.0,0.0,0.0
2020-03-06,13.0,13.0,0.0,0.0
2020-03-07,20.0,20.0,0.0,0.0
2020-03-08,30.0,30.0,0.0,0.0
2020-03-09,30.0,30.0,0.0,0.0
2020-03-10,41.0,41.0,0.0,0.0
2020-03-11,59.0,59.0,0.0,0.0
2020-03-12,59.0,59.0,0.0,0.0
2020-03-13,111.0,112.0,0.0,1.0
2020-03-14,167.0,169.0,0.0,2.0
2020-03-15,243.0,245.0,0.0,2.0
2020-03-16,328.0,331.0,0.0,3.0
2020-03-17,444.0,448.0,1.0,3.0
2020-03-18,443.0,448.0,2.0,3.0
2020-03-19,779.0,785.0,3.0,3.0
2020-03-20,1009.0,1020.0,6.0,5.0
2020-03-21,1263.0,1280.0,12.0,5.0
2020-03-22,1581.0,1600.0,14.0,5.0
2020-03-23,2032.0,2060.0,23.0,5.0
2020-03-24,2307.0,2362.0,33.0,22.0
2020-03-25,2930.0,2995.0,43.0,22.0
2020-03-26,3441.0,3544.0,60.0,43.0
2020-03-27,4149.0,4268.0,76.0,43.0
2020-03-28,5027.0,5170.0,100.0,43.0
2020-03-29,5800.0,5962.0,119.0,43.0
2020-03-30,6225.0,6408.0,140.0,43.0
2020-03-31,7240.0,7443.0,160.0,43.0
2020-04-01,8021.0,8251.0,187.0,43.0
2020-04-02,8757.0,9034.0,209.0,68.0
2020-04-03,9572.0,9886.0,246.0,68.0
2020-04-04,10183.0,10524.0,266.0,75.0
2020-04-05,10908.0,11278.0,295.0,75.0
2020-04-06,11279.0,11730.0,311.0,140.0
2020-04-07,11913.0,12442.0,345.0,184.0
2020-04-08,12565.0,13141.0,380.0,196.0
2020-04-09,13342.0,13956.0,409.0,205.0
2020-04-10,14804.0,15472.0,435.0,233.0
2020-04-11,15251.0,15987.0,470.0,266.0
2020-04-12,15804.0,16585.0,504.0,277.0
2020-04-13,16122.0,16934.0,535.0,277.0
2020-04-14,16534.0,17448.0,567.0,347.0
2020-04-15,17109.0,18091.0,599.0,383.0
2020-04-16,17719.0,18841.0,629.0,493.0
2020-04-17,17846.0,19022.0,657.0,519.0
2020-04-18,18388.0,19685.0,687.0,610.0
2020-04-19,18882.0,20206.0,714.0,610.0
2020-04-20,19518.0,20863.0,735.0,610.0
2020-04-21,19700.0,21379.0,762.0,917.0
2020-04-22,20054.0,21982.0,785.0,1143.0
2020-04-23,20332.0,22353.0,820.0,1201.0
2020-04-24,20715.0,22797.0,854.0,1228.0
2020-04-25,21235.0,23392.0,880.0,1277.0
2020-04-26,21632.0,23864.0,903.0,1329.0
2020-04-27,21742.0,24027.0,928.0,1357.0
2020-04-28,21985.0,24322.0,948.0,1389.0
2020-04-29,22062.0,24505.0,973.0,1470.0
2020-04-30,22537.0,25045.0,989.0,1519.0
2020-05-01,22697.0,25351.0,1007.0,1647.0
2020-05-02,22496.0,25190.0,1023.0,1671.0
2020-05-03,22550.0,25282.0,1043.0,1689.0
2020-05-04,22749.0,25524.0,1063.0,1712.0
2020-05-05,22885.0,25702.0,1074.0,1743.0
2020-05-06,23017.0,26182.0,1089.0,2076.0
2020-05-07,23352.0,26715.0,1105.0,2258.0
2020-05-08,23732.0,27268.0,1114.0,2422.0
2020-05-09,23781.0,27406.0,1126.0,2499.0
2020-05-10,23897.0,27581.0,1135.0,2549.0
2020-05-11,23986.0,27679.0,1144.0,2549.0
2020-05-12,23737.0,27913.0,1163.0,3013.0
2020-05-13,23775.0,28132.0,1175.0,3182.0
2020-05-14,23937.0,28319.0,1184.0,3198.0
2020-05-15,24065.0,28583.0,1190.0,3328.0
2020-05-16,23785.0,28810.0,1203.0,3822.0
2020-05-17,23182.0,29036.0,1218.0,4636.0
2020-05-18,21548.0,29209.0,1231.0,6430.0
2020-05-19,21754.0,29432.0,1247.0,6431.0
2020-05-20,21945.0,29660.0,1263.0,6452.0
2020-05-21,22183.0,29912.0,1277.0,6452.0
2020-05-22,21321.0,30200.0,1289.0,7590.0
2020-05-23,21464.0,30471.0,1302.0,7705.0
2020-05-24,11758.0,30623.0,1316.0,17549.0
2020-05-25,11636.0,30788.0,1330.0,17822.0
2020-05-26,11569.0,31007.0,1342.0,18096.0
2020-05-27,11587.0,31292.0,1356.0,18349.0
2020-05-28,11590.0,31596.0,1369.0,18637.0
2020-05-29,11652.0,31946.0,1383.0,18911.0
2020-05-30,11621.0,32203.0,1396.0,19186.0
2020-05-31,11681.0,32500.0,1410.0,19409.0
2020-06-01,11724.0,32700.0,1424.0,19552.0
2020-06-02,11590.0,32895.0,1436.0,19869.0
2020-06-03,11735.0,33261.0,1447.0,20079.0
2020-06-04,11814.0,33592.0,1455.0,20323.0
2020-06-05,11978.0,33969.0,1465.0,20526.0
2020-06-06,12070.0,34351.0,1474.0,20807.0
2020-06-07,12219.0,34693.0,1479.0,20995.0
2020-06-08,12244.0,34885.0,1485.0,21156.0
2020-06-09,12475.0,35306.0,1492.0,21339.0
2020-06-10,12361.0,35600.0,1497.0,21742.0
2020-06-11,12404.0,35910.0,1504.0,22002.0
2020-06-12,12475.0,36180.0,1505.0,22200.0
2020-06-13,12513.0,36463.0,1512.0,22438.0
