Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,1.0,1.0,0.0,0.0
2020-02-27,1.0,1.0,0.0,0.0
2020-02-28,3.0,3.0,0.0,0.0
2020-02-29,3.0,3.0,0.0,0.0
2020-03-01,3.0,3.0,0.0,0.0
2020-03-02,3.0,3.0,0.0,0.0
2020-03-03,3.0,3.0,0.0,0.0
2020-03-04,3.0,4.0,0.0,1.0
2020-03-05,5.0,6.0,0.0,1.0
2020-03-06,8.0,9.0,0.0,1.0
2020-03-07,6.0,9.0,0.0,3.0
2020-03-08,12.0,15.0,0.0,3.0
2020-03-09,12.0,15.0,0.0,3.0
2020-03-10,22.0,25.0,0.0,3.0
2020-03-11,39.0,45.0,0.0,6.0
2020-03-12,43.0,49.0,0.0,6.0
2020-03-13,82.0,89.0,0.0,7.0
2020-03-14,114.0,123.0,0.0,9.0
2020-03-15,122.0,131.0,0.0,9.0
2020-03-16,149.0,158.0,0.0,9.0
2020-03-17,168.0,184.0,0.0,16.0
2020-03-18,241.0,260.0,0.0,19.0
2020-03-19,252.0,277.0,0.0,25.0
2020-03-20,283.0,308.0,0.0,25.0
2020-03-21,315.0,367.0,0.0,52.0
2020-03-22,366.0,433.0,3.0,64.0
2020-03-23,505.0,576.0,7.0,64.0
2020-03-24,704.0,794.0,11.0,79.0
2020-03-25,803.0,906.0,17.0,86.0
2020-03-26,912.0,1029.0,23.0,94.0
2020-03-27,1151.0,1292.0,26.0,115.0
2020-03-28,1276.0,1452.0,37.0,139.0
2020-03-29,1566.0,1815.0,43.0,206.0
2020-03-30,1835.0,2109.0,65.0,209.0
2020-03-31,1943.0,2245.0,82.0,220.0
2020-04-01,2116.0,2460.0,92.0,252.0
2020-04-02,2356.0,2738.0,115.0,267.0
2020-04-03,2767.0,3183.0,133.0,283.0
2020-04-04,3138.0,3613.0,146.0,329.0
2020-04-05,3339.0,3864.0,151.0,374.0
2020-04-06,3475.0,4057.0,176.0,406.0
2020-04-07,3760.0,4417.0,197.0,460.0
2020-04-08,4013.0,4761.0,220.0,528.0
2020-04-09,4307.0,5202.0,248.0,647.0
2020-04-10,4468.0,5467.0,270.0,729.0
2020-04-11,4941.0,5990.0,291.0,758.0
2020-04-12,5132.0,6300.0,316.0,852.0
2020-04-13,5388.0,6633.0,331.0,914.0
2020-04-14,5477.0,6879.0,351.0,1051.0
2020-04-15,5627.0,7216.0,372.0,1217.0
2020-04-16,5958.0,7707.0,392.0,1357.0
2020-04-17,6148.0,8067.0,411.0,1508.0
2020-04-18,6267.0,8418.0,421.0,1730.0
2020-04-19,6403.0,8746.0,451.0,1892.0
2020-04-20,6441.0,8936.0,478.0,2017.0
2020-04-21,6591.0,9242.0,498.0,2153.0
2020-04-22,6780.0,9710.0,524.0,2406.0
2020-04-23,7073.0,10096.0,545.0,2478.0
2020-04-24,7033.0,10417.0,567.0,2817.0
2020-04-25,7144.0,10635.0,601.0,2890.0
2020-04-26,7363.0,11036.0,619.0,3054.0
2020-04-27,7557.0,11339.0,641.0,3141.0
2020-04-28,7549.0,11616.0,663.0,3404.0
2020-04-29,7716.0,11978.0,693.0,3569.0
2020-04-30,7506.0,12240.0,717.0,4017.0
2020-05-01,7495.0,12567.0,744.0,4328.0
2020-05-02,7414.0,12732.0,771.0,4547.0
2020-05-03,7504.0,13163.0,790.0,4869.0
2020-05-04,7425.0,13512.0,818.0,5269.0
2020-05-05,7542.0,13837.0,841.0,5454.0
2020-05-06,7455.0,14107.0,864.0,5788.0
2020-05-07,7467.0,14499.0,888.0,6144.0
2020-05-08,7465.0,14811.0,923.0,6423.0
2020-05-09,7280.0,15131.0,939.0,6912.0
2020-05-10,7350.0,15362.0,961.0,7051.0
2020-05-11,7361.0,15588.0,982.0,7245.0
2020-05-12,7091.0,15778.0,1002.0,7685.0
2020-05-13,7005.0,16002.0,1036.0,7961.0
2020-05-14,6141.0,16247.0,1053.0,9053.0
2020-05-15,5997.0,16437.0,1070.0,9370.0
2020-05-16,6036.0,16704.0,1094.0,9574.0
2020-05-17,5874.0,16871.0,1107.0,9890.0
2020-05-18,5986.0,17036.0,1120.0,9930.0
2020-05-19,5888.0,17191.0,1137.0,10166.0
2020-05-20,5884.0,17387.0,1147.0,10356.0
2020-05-21,5848.0,17585.0,1156.0,10581.0
2020-05-22,5769.0,17712.0,1166.0,10777.0
2020-05-23,5494.0,17857.0,1176.0,11187.0
2020-05-24,5486.0,18070.0,1185.0,11399.0
2020-05-25,5448.0,18283.0,1205.0,11630.0
2020-05-26,5339.0,18429.0,1216.0,11874.0
2020-05-27,5205.0,18594.0,1227.0,12162.0
2020-05-28,4927.0,18791.0,1235.0,12629.0
2020-05-29,4905.0,18982.0,1248.0,12829.0
2020-05-30,4828.0,19133.0,1259.0,13046.0
2020-05-31,4735.0,19257.0,1266.0,13256.0
2020-06-01,4696.0,19398.0,1276.0,13426.0
2020-06-02,4703.0,19517.0,1288.0,13526.0
2020-06-03,4573.0,19669.0,1296.0,13800.0
2020-06-04,4683.0,19907.0,1305.0,13919.0
2020-06-05,4642.0,20103.0,1316.0,14145.0
2020-06-06,4549.0,20290.0,1322.0,14419.0
2020-06-07,4508.0,20479.0,1333.0,14638.0
2020-06-08,4439.0,20604.0,1339.0,14826.0
2020-06-09,4485.0,20749.0,1354.0,14910.0
2020-06-10,4482.0,20945.0,1360.0,15103.0
2020-06-11,4530.0,21182.0,1369.0,15283.0
2020-06-12,4579.0,21404.0,1380.0,15445.0
2020-06-13,4650.0,21679.0,1394.0,15635.0
