Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,2.0,2.0,0.0,0.0
2020-02-01,2.0,2.0,0.0,0.0
2020-02-02,2.0,2.0,0.0,0.0
2020-02-03,2.0,2.0,0.0,0.0
2020-02-04,2.0,2.0,0.0,0.0
2020-02-05,2.0,2.0,0.0,0.0
2020-02-06,2.0,2.0,0.0,0.0
2020-02-07,2.0,2.0,0.0,0.0
2020-02-08,2.0,2.0,0.0,0.0
2020-02-09,2.0,2.0,0.0,0.0
2020-02-10,2.0,2.0,0.0,0.0
2020-02-11,2.0,2.0,0.0,0.0
2020-02-12,0.0,2.0,0.0,2.0
2020-02-13,0.0,2.0,0.0,2.0
2020-02-14,0.0,2.0,0.0,2.0
2020-02-15,0.0,2.0,0.0,2.0
2020-02-16,0.0,2.0,0.0,2.0
2020-02-17,0.0,2.0,0.0,2.0
2020-02-18,0.0,2.0,0.0,2.0
2020-02-19,0.0,2.0,0.0,2.0
2020-02-20,0.0,2.0,0.0,2.0
2020-02-21,0.0,2.0,0.0,2.0
2020-02-22,0.0,2.0,0.0,2.0
2020-02-23,0.0,2.0,0.0,2.0
2020-02-24,0.0,2.0,0.0,2.0
2020-02-25,0.0,2.0,0.0,2.0
2020-02-26,0.0,2.0,0.0,2.0
2020-02-27,0.0,2.0,0.0,2.0
2020-02-28,0.0,2.0,0.0,2.0
2020-02-29,0.0,2.0,0.0,2.0
2020-03-01,0.0,2.0,0.0,2.0
2020-03-02,1.0,3.0,0.0,2.0
2020-03-03,1.0,3.0,0.0,2.0
2020-03-04,1.0,3.0,0.0,2.0
2020-03-05,2.0,4.0,0.0,2.0
2020-03-06,11.0,13.0,0.0,2.0
2020-03-07,11.0,13.0,0.0,2.0
2020-03-08,14.0,17.0,0.0,3.0
2020-03-09,14.0,17.0,0.0,3.0
2020-03-10,17.0,20.0,0.0,3.0
2020-03-11,17.0,20.0,0.0,3.0
2020-03-12,25.0,28.0,0.0,3.0
2020-03-13,42.0,45.0,0.0,3.0
2020-03-14,51.0,59.0,0.0,8.0
2020-03-15,55.0,63.0,0.0,8.0
2020-03-16,82.0,90.0,0.0,8.0
2020-03-17,106.0,114.0,0.0,8.0
2020-03-18,139.0,147.0,0.0,8.0
2020-03-19,189.0,199.0,1.0,9.0
2020-03-20,243.0,253.0,1.0,9.0
2020-03-21,293.0,306.0,1.0,12.0
2020-03-22,350.0,367.0,1.0,16.0
2020-03-23,421.0,438.0,1.0,16.0
2020-03-24,472.0,495.0,1.0,22.0
2020-03-25,626.0,658.0,3.0,29.0
2020-03-26,799.0,840.0,3.0,38.0
2020-03-27,987.0,1036.0,4.0,45.0
2020-03-28,1211.0,1264.0,4.0,49.0
2020-03-29,1462.0,1534.0,8.0,64.0
2020-03-30,1761.0,1836.0,9.0,66.0
2020-03-31,2199.0,2337.0,17.0,121.0
2020-04-01,2563.0,2777.0,24.0,190.0
2020-04-02,3283.0,3548.0,30.0,235.0
2020-04-03,3834.0,4149.0,34.0,281.0
2020-04-04,4355.0,4731.0,43.0,333.0
2020-04-05,4989.0,5389.0,45.0,355.0
2020-04-06,5890.0,6343.0,47.0,406.0
2020-04-07,6945.0,7497.0,58.0,494.0
2020-04-08,8029.0,8672.0,63.0,580.0
2020-04-09,9357.0,10131.0,76.0,698.0
2020-04-10,11028.0,11917.0,94.0,795.0
2020-04-11,12433.0,13584.0,106.0,1045.0
2020-04-12,14349.0,15770.0,130.0,1291.0
2020-04-13,16710.0,18328.0,148.0,1470.0
2020-04-14,19238.0,21102.0,170.0,1694.0
2020-04-15,22306.0,24490.0,198.0,1986.0
2020-04-16,25402.0,27938.0,232.0,2304.0
2020-04-17,29145.0,32008.0,273.0,2590.0
2020-04-18,33423.0,36793.0,313.0,3057.0
2020-04-19,39201.0,42853.0,361.0,3291.0
2020-04-20,43270.0,47121.0,405.0,3446.0
2020-04-21,48434.0,52763.0,456.0,3873.0
2020-04-22,53066.0,57999.0,513.0,4420.0
2020-04-23,57327.0,62773.0,555.0,4891.0
2020-04-24,62439.0,68622.0,615.0,5568.0
2020-04-25,67657.0,74588.0,681.0,6250.0
2020-04-26,73435.0,80949.0,747.0,6767.0
2020-04-27,79007.0,87147.0,794.0,7346.0
2020-04-28,84235.0,93558.0,867.0,8456.0
2020-04-29,88141.0,99399.0,972.0,10286.0
2020-04-30,93806.0,106498.0,1073.0,11619.0
2020-05-01,100042.0,114431.0,1169.0,13220.0
2020-05-02,107819.0,124054.0,1222.0,15013.0
2020-05-03,116768.0,134687.0,1280.0,16639.0
2020-05-04,125817.0,145268.0,1356.0,18095.0
2020-05-05,134054.0,155370.0,1451.0,19865.0
2020-05-06,143065.0,165929.0,1537.0,21327.0
2020-05-07,151732.0,177160.0,1625.0,23803.0
2020-05-08,159528.0,187859.0,1723.0,26608.0
2020-05-09,164933.0,198676.0,1827.0,31916.0
2020-05-10,173467.0,209688.0,1915.0,34306.0
2020-05-11,179534.0,221344.0,2009.0,39801.0
2020-05-12,186615.0,232243.0,2116.0,43512.0
2020-05-13,192056.0,242271.0,2212.0,48003.0
2020-05-14,196410.0,252245.0,2305.0,53530.0
2020-05-15,202199.0,262843.0,2418.0,58226.0
2020-05-16,206340.0,272043.0,2537.0,63166.0
2020-05-17,211748.0,281752.0,2631.0,67373.0
2020-05-18,217747.0,290678.0,2722.0,70209.0
2020-05-19,220974.0,299941.0,2837.0,76130.0
2020-05-20,220341.0,308705.0,2972.0,85392.0
2020-05-21,221774.0,317554.0,3099.0,92681.0
2020-05-22,223374.0,326448.0,3249.0,99825.0
2020-05-23,224558.0,335882.0,3388.0,107936.0
2020-05-24,227641.0,344481.0,3541.0,113299.0
2020-05-25,230996.0,353427.0,3633.0,118798.0
2020-05-26,227406.0,362342.0,3807.0,131129.0
2020-05-27,224504.0,370680.0,3968.0,142208.0
2020-05-28,223916.0,379051.0,4142.0,150993.0
2020-05-29,223992.0,387623.0,4374.0,159257.0
2020-05-30,224551.0,396575.0,4555.0,167469.0
2020-05-31,229267.0,405843.0,4693.0,171883.0
2020-06-01,233965.0,414328.0,4849.0,175514.0
2020-06-02,231553.0,423186.0,5031.0,186602.0
2020-06-03,230948.0,431715.0,5208.0,195559.0
2020-06-04,230965.0,440538.0,5376.0,204197.0
2020-06-05,231499.0,449256.0,5520.0,212237.0
2020-06-06,231450.0,458102.0,5717.0,220935.0
2020-06-07,234950.0,467073.0,5851.0,226272.0
2020-06-08,239854.0,476043.0,5963.0,230226.0
2020-06-09,236579.0,484630.0,6134.0,241917.0
2020-06-10,234378.0,493023.0,6350.0,252295.0
2020-06-11,234629.0,501800.0,6522.0,260649.0
2020-06-12,235194.0,510761.0,6705.0,268862.0
2020-06-13,238511.0,519458.0,6819.0,274128.0
