Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0
2020-03-10,5.0,5.0,0.0,0.0
2020-03-11,12.0,12.0,0.0,0.0
2020-03-12,19.0,19.0,0.0,0.0
2020-03-13,35.0,35.0,0.0,0.0
2020-03-14,46.0,46.0,0.0,0.0
2020-03-15,48.0,48.0,0.0,0.0
2020-03-16,54.0,55.0,0.0,1.0
2020-03-17,64.0,65.0,0.0,1.0
2020-03-18,82.0,83.0,0.0,1.0
2020-03-19,102.0,103.0,0.0,1.0
2020-03-20,133.0,135.0,1.0,1.0
2020-03-21,169.0,171.0,1.0,1.0
2020-03-22,219.0,222.0,2.0,1.0
2020-03-23,245.0,249.0,3.0,1.0
2020-03-24,285.0,303.0,3.0,15.0
2020-03-25,365.0,384.0,4.0,15.0
2020-03-26,383.0,384.0,1.0,0.0
2020-03-27,456.0,457.0,1.0,0.0
2020-03-28,649.0,659.0,10.0,0.0
2020-03-29,728.0,741.0,13.0,0.0
2020-03-30,769.0,785.0,16.0,0.0
2020-03-31,884.0,900.0,16.0,0.0
2020-04-01,1032.0,1060.0,28.0,0.0
2020-04-02,1140.0,1171.0,31.0,0.0
2020-04-03,1437.0,1476.0,39.0,0.0
2020-04-04,1580.0,1624.0,44.0,0.0
2020-04-05,1857.0,1908.0,51.0,0.0
2020-04-06,2142.0,2200.0,58.0,0.0
2020-04-07,2386.0,2447.0,61.0,0.0
2020-04-08,2601.0,2666.0,65.0,0.0
2020-04-09,2801.0,2867.0,66.0,0.0
2020-04-10,3034.0,3105.0,71.0,0.0
2020-04-11,3306.0,3380.0,74.0,0.0
2020-04-12,3550.0,3630.0,80.0,0.0
2020-04-13,3969.0,4054.0,85.0,0.0
2020-04-14,4371.0,4465.0,94.0,0.0
2020-04-15,4774.0,4873.0,99.0,0.0
2020-04-16,5215.0,5318.0,103.0,0.0
2020-04-17,5046.0,5690.0,110.0,534.0
2020-04-18,5240.0,5994.0,117.0,637.0
2020-04-19,5443.0,6318.0,122.0,753.0
2020-04-20,5635.0,6630.0,125.0,870.0
2020-04-21,5783.0,6890.0,130.0,977.0
2020-04-22,5985.0,7144.0,134.0,1025.0
2020-04-23,6070.0,7276.0,139.0,1067.0
2020-04-24,6245.0,7483.0,144.0,1094.0
2020-04-25,6476.0,7779.0,151.0,1152.0
2020-04-26,6704.0,8042.0,156.0,1182.0
2020-04-27,6904.0,8275.0,162.0,1209.0
2020-04-28,7069.0,8497.0,168.0,1260.0
2020-04-29,7259.0,8724.0,173.0,1292.0
2020-04-30,7487.0,9009.0,179.0,1343.0
2020-05-01,7487.0,9009.0,179.0,1343.0
2020-05-02,7747.0,9362.0,189.0,1426.0
2020-05-03,7720.0,9464.0,193.0,1551.0
2020-05-04,7786.0,9557.0,197.0,1574.0
2020-05-05,7754.0,9677.0,200.0,1723.0
2020-05-06,7617.0,9791.0,203.0,1971.0
2020-05-07,7482.0,9848.0,206.0,2160.0
2020-05-08,7281.0,9943.0,209.0,2453.0
2020-05-09,7085.0,10032.0,215.0,2732.0
2020-05-10,7085.0,10032.0,215.0,2732.0
2020-05-11,6668.0,10176.0,218.0,3290.0
2020-05-12,6423.0,10243.0,220.0,3600.0
2020-05-13,6249.0,10295.0,222.0,3824.0
2020-05-14,6066.0,10374.0,224.0,4084.0
2020-05-15,5912.0,10438.0,225.0,4301.0
2020-05-16,5789.0,10496.0,228.0,4479.0
2020-05-17,5667.0,10610.0,230.0,4713.0
2020-05-18,5669.0,10699.0,231.0,4799.0
2020-05-19,5595.0,10733.0,234.0,4904.0
2020-05-20,5531.0,10833.0,235.0,5067.0
2020-05-21,5312.0,10919.0,237.0,5370.0
2020-05-22,5246.0,11024.0,237.0,5541.0
2020-05-23,5155.0,11092.0,238.0,5699.0
2020-05-24,5064.0,11159.0,238.0,5857.0
2020-05-25,5034.0,11193.0,239.0,5920.0
2020-05-26,4921.0,11227.0,239.0,6067.0
2020-05-27,4758.0,11275.0,240.0,6277.0
2020-05-28,4621.0,11300.0,241.0,6438.0
2020-05-29,4588.0,11354.0,242.0,6524.0
2020-05-30,4533.0,11381.0,242.0,6606.0
2020-05-31,4471.0,11412.0,243.0,6698.0
2020-06-01,4460.0,11430.0,244.0,6726.0
2020-06-02,4443.0,11454.0,245.0,6766.0
2020-06-03,4426.0,11523.0,245.0,6852.0
2020-06-04,4415.0,11571.0,246.0,6910.0
2020-06-05,4489.0,11667.0,247.0,6931.0
2020-06-06,437.0,11741.0,248.0,11056.0
2020-06-07,226.0,11823.0,249.0,11348.0
2020-06-08,457.0,11896.0,250.0,11189.0
2020-06-09,447.0,11965.0,250.0,11268.0
2020-06-10,432.0,12031.0,251.0,11348.0
2020-06-11,488.0,12102.0,252.0,11362.0
2020-06-12,512.0,12175.0,252.0,11411.0
2020-06-13,533.0,12251.0,253.0,11465.0
2020-06-14,545.0,12310.0,254.0,11511.0
2020-06-15,551.0,12367.0,255.0,11561.0
2020-06-16,546.0,12426.0,256.0,11624.0
