Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,1.0,1.0,0.0,0.0
2020-01-24,3.0,3.0,0.0,0.0
2020-01-25,3.0,3.0,0.0,0.0
2020-01-26,4.0,4.0,0.0,0.0
2020-01-27,5.0,5.0,0.0,0.0
2020-01-28,7.0,7.0,0.0,0.0
2020-01-29,7.0,7.0,0.0,0.0
2020-01-30,10.0,10.0,0.0,0.0
2020-01-31,13.0,13.0,0.0,0.0
2020-02-01,16.0,16.0,0.0,0.0
2020-02-02,18.0,18.0,0.0,0.0
2020-02-03,18.0,18.0,0.0,0.0
2020-02-04,24.0,24.0,0.0,0.0
2020-02-05,28.0,28.0,0.0,0.0
2020-02-06,28.0,28.0,0.0,0.0
2020-02-07,30.0,30.0,0.0,0.0
2020-02-08,31.0,33.0,0.0,2.0
2020-02-09,38.0,40.0,0.0,2.0
2020-02-10,43.0,45.0,0.0,2.0
2020-02-11,38.0,47.0,0.0,9.0
2020-02-12,35.0,50.0,0.0,15.0
2020-02-13,43.0,58.0,0.0,15.0
2020-02-14,50.0,67.0,0.0,17.0
2020-02-15,54.0,72.0,0.0,18.0
2020-02-16,57.0,75.0,0.0,18.0
2020-02-17,53.0,77.0,0.0,24.0
2020-02-18,52.0,81.0,0.0,29.0
2020-02-19,50.0,84.0,0.0,34.0
2020-02-20,50.0,84.0,0.0,34.0
2020-02-21,48.0,85.0,0.0,37.0
2020-02-22,48.0,85.0,0.0,37.0
2020-02-23,38.0,89.0,0.0,51.0
2020-02-24,38.0,89.0,0.0,51.0
2020-02-25,38.0,91.0,0.0,53.0
2020-02-26,31.0,93.0,0.0,62.0
2020-02-27,31.0,93.0,0.0,62.0
2020-02-28,31.0,93.0,0.0,62.0
2020-02-29,30.0,102.0,0.0,72.0
2020-03-01,34.0,106.0,0.0,72.0
2020-03-02,30.0,108.0,0.0,78.0
2020-03-03,32.0,110.0,0.0,78.0
2020-03-04,32.0,110.0,0.0,78.0
2020-03-05,39.0,117.0,0.0,78.0
2020-03-06,52.0,130.0,0.0,78.0
2020-03-07,60.0,138.0,0.0,78.0
2020-03-08,72.0,150.0,0.0,78.0
2020-03-09,72.0,150.0,0.0,78.0
2020-03-10,82.0,160.0,0.0,78.0
2020-03-11,82.0,178.0,0.0,96.0
2020-03-12,82.0,178.0,0.0,96.0
2020-03-13,103.0,200.0,0.0,97.0
2020-03-14,107.0,212.0,0.0,105.0
2020-03-15,121.0,226.0,0.0,105.0
2020-03-16,134.0,243.0,0.0,109.0
2020-03-17,152.0,266.0,0.0,114.0
2020-03-18,199.0,313.0,0.0,114.0
2020-03-19,231.0,345.0,0.0,114.0
2020-03-20,261.0,385.0,0.0,124.0
2020-03-21,290.0,432.0,2.0,140.0
2020-03-22,309.0,455.0,2.0,144.0
2020-03-23,363.0,509.0,2.0,144.0
2020-03-24,400.0,558.0,2.0,156.0
2020-03-25,469.0,631.0,2.0,160.0
2020-03-26,509.0,683.0,2.0,172.0
2020-03-27,547.0,732.0,2.0,183.0
2020-03-28,602.0,802.0,2.0,198.0
2020-03-29,629.0,844.0,3.0,212.0
2020-03-30,648.0,879.0,3.0,228.0
2020-03-31,683.0,926.0,3.0,240.0
2020-04-01,752.0,1000.0,3.0,245.0
2020-04-02,779.0,1049.0,4.0,266.0
2020-04-03,827.0,1114.0,5.0,282.0
2020-04-04,886.0,1189.0,6.0,297.0
2020-04-05,983.0,1309.0,6.0,320.0
2020-04-06,1025.0,1375.0,6.0,344.0
2020-04-07,1098.0,1481.0,6.0,377.0
2020-04-08,1211.0,1623.0,6.0,406.0
2020-04-09,1444.0,1910.0,6.0,460.0
2020-04-10,1609.0,2108.0,7.0,492.0
2020-04-11,1763.0,2299.0,8.0,528.0
2020-04-12,1964.0,2532.0,8.0,560.0
2020-04-13,2323.0,2918.0,9.0,586.0
2020-04-14,2631.0,3252.0,10.0,611.0
2020-04-15,3037.0,3699.0,10.0,652.0
2020-04-16,3734.0,4427.0,10.0,683.0
2020-04-17,4331.0,5050.0,11.0,708.0
2020-04-18,5241.0,5992.0,11.0,740.0
2020-04-19,5809.0,6588.0,11.0,768.0
2020-04-20,7202.0,8014.0,11.0,801.0
2020-04-21,8275.0,9125.0,11.0,839.0
2020-04-22,9233.0,10141.0,12.0,896.0
2020-04-23,10242.0,11178.0,12.0,924.0
2020-04-24,11107.0,12075.0,12.0,956.0
2020-04-25,11679.0,12693.0,12.0,1002.0
2020-04-26,12552.0,13624.0,12.0,1060.0
2020-04-27,13314.0,14423.0,14.0,1095.0
2020-04-28,13809.0,14951.0,14.0,1128.0
2020-04-29,14439.0,15641.0,14.0,1188.0
2020-04-30,14910.0,16169.0,15.0,1244.0
2020-05-01,15817.0,17101.0,16.0,1268.0
2020-05-02,16184.0,17548.0,17.0,1347.0
2020-05-03,16779.0,18205.0,18.0,1408.0
2020-05-04,17303.0,18778.0,18.0,1457.0
2020-05-05,17873.0,19410.0,18.0,1519.0
2020-05-06,18544.0,20198.0,20.0,1634.0
2020-05-07,19207.0,20939.0,20.0,1712.0
2020-05-08,19647.0,21707.0,20.0,2040.0
2020-05-09,20144.0,22460.0,20.0,2296.0
2020-05-10,20595.0,23336.0,20.0,2721.0
2020-05-11,20576.0,23822.0,21.0,3225.0
2020-05-12,20799.0,24671.0,21.0,3851.0
2020-05-13,20516.0,25346.0,21.0,4809.0
2020-05-14,20104.0,26098.0,21.0,5973.0
2020-05-15,19622.0,26891.0,21.0,7248.0
2020-05-16,18992.0,27356.0,22.0,8342.0
2020-05-17,18676.0,28038.0,22.0,9340.0
2020-05-18,18486.0,28343.0,22.0,9835.0
2020-05-19,18407.0,28794.0,22.0,10365.0
2020-05-20,18135.0,29364.0,22.0,11207.0
2020-05-21,17672.0,29812.0,23.0,12117.0
2020-05-22,17408.0,30426.0,23.0,12995.0
2020-05-23,17163.0,31068.0,23.0,13882.0
2020-05-24,16717.0,31616.0,23.0,14876.0
2020-05-25,16199.0,31960.0,23.0,15738.0
2020-05-26,15876.0,32343.0,23.0,16444.0
2020-05-27,15577.0,32876.0,23.0,17276.0
2020-05-28,14932.0,33249.0,23.0,18294.0
2020-05-29,14206.0,33860.0,23.0,19631.0
2020-05-30,13616.0,34366.0,23.0,20727.0
2020-05-31,13162.0,34884.0,23.0,21699.0
2020-06-01,12802.0,35292.0,24.0,22466.0
2020-06-02,12637.0,35836.0,24.0,23175.0
2020-06-03,12799.0,36405.0,24.0,23582.0
2020-06-04,12994.0,36922.0,24.0,23904.0
2020-06-05,12950.0,37183.0,24.0,24209.0
