Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,3.0,3.0,0.0,0.0
2020-03-09,3.0,3.0,0.0,0.0
2020-03-10,7.0,7.0,0.0,0.0
2020-03-11,10.0,10.0,0.0,0.0
2020-03-12,16.0,16.0,0.0,0.0
2020-03-13,32.0,32.0,0.0,0.0
2020-03-14,44.0,44.0,0.0,0.0
2020-03-15,54.0,54.0,0.0,0.0
2020-03-16,63.0,63.0,0.0,0.0
2020-03-17,72.0,72.0,0.0,0.0
2020-03-18,104.0,105.0,1.0,0.0
2020-03-19,122.0,123.0,1.0,0.0
2020-03-20,136.0,137.0,1.0,0.0
2020-03-21,177.0,178.0,1.0,0.0
2020-03-22,178.0,185.0,0.0,7.0
2020-03-23,179.0,186.0,0.0,7.0
2020-03-24,197.0,204.0,0.0,7.0
2020-03-25,209.0,216.0,0.0,7.0
2020-03-26,224.0,226.0,0.0,2.0
2020-03-27,267.0,269.0,0.0,2.0
2020-03-28,290.0,292.0,0.0,2.0
2020-03-29,312.0,314.0,0.0,2.0
2020-03-30,329.0,336.0,0.0,7.0
2020-03-31,360.0,363.0,0.0,3.0
2020-04-01,396.0,400.0,1.0,3.0
2020-04-02,420.0,426.0,1.0,5.0
2020-04-03,439.0,450.0,1.0,10.0
2020-04-04,460.0,471.0,1.0,10.0
2020-04-05,474.0,485.0,1.0,10.0
2020-04-06,524.0,534.0,2.0,8.0
2020-04-07,566.0,581.0,2.0,13.0
2020-04-08,664.0,682.0,2.0,16.0
2020-04-09,676.0,701.0,2.0,23.0
2020-04-10,690.0,715.0,2.0,23.0
2020-04-11,703.0,728.0,2.0,23.0
2020-04-12,717.0,742.0,2.0,23.0
2020-04-13,660.0,769.0,2.0,107.0
2020-04-14,720.0,835.0,2.0,113.0
2020-04-15,706.0,863.0,6.0,151.0
2020-04-16,802.0,977.0,8.0,167.0
2020-04-17,865.0,1049.0,9.0,175.0
2020-04-18,865.0,1089.0,11.0,213.0
2020-04-19,920.0,1161.0,12.0,229.0
2020-04-20,909.0,1173.0,13.0,251.0
2020-04-21,927.0,1199.0,14.0,258.0
2020-04-22,946.0,1244.0,14.0,284.0
2020-04-23,1022.0,1325.0,15.0,288.0
2020-04-24,988.0,1360.0,17.0,355.0
2020-04-25,970.0,1373.0,17.0,386.0
2020-04-26,967.0,1379.0,18.0,394.0
2020-04-27,960.0,1381.0,18.0,403.0
2020-04-28,941.0,1384.0,20.0,423.0
2020-04-29,885.0,1391.0,22.0,484.0
2020-04-30,849.0,1396.0,23.0,524.0
2020-05-01,822.0,1403.0,23.0,558.0
2020-05-02,775.0,1407.0,24.0,608.0
2020-05-03,765.0,1408.0,24.0,619.0
2020-05-04,745.0,1413.0,25.0,643.0
2020-05-05,655.0,1421.0,25.0,741.0
2020-05-06,642.0,1429.0,25.0,762.0
2020-05-07,613.0,1445.0,26.0,806.0
2020-05-08,524.0,1455.0,26.0,905.0
2020-05-09,510.0,1455.0,26.0,919.0
2020-05-10,490.0,1457.0,26.0,941.0
2020-05-11,472.0,1457.0,26.0,959.0
2020-05-12,455.0,1465.0,27.0,983.0
2020-05-13,382.0,1469.0,27.0,1060.0
2020-05-14,338.0,1477.0,27.0,1112.0
2020-05-15,322.0,1480.0,27.0,1131.0
2020-05-16,315.3926963105469,1493.0,26.607303689453115,1151.0
2020-05-17,304.3748749416993,1494.0,26.625125058300707,1163.0
2020-05-18,283.3570535728517,1495.0,26.642946427148296,1185.0
2020-05-19,276.3570535728517,1495.0,26.642946427148296,1192.0
2020-05-20,238.3392322040041,1496.0,26.660767795995888,1231.0
2020-05-21,230.23230399091858,1502.0,26.767696009081433,1245.0
2020-05-22,220.214482622071,1503.0,26.785517377929022,1256.0
2020-05-23,197.1966612532234,1504.0,26.803338746776614,1280.0
2020-05-24,181.10755440898544,1509.0,26.892445591014567,1301.0
2020-05-25,177.07191167129025,1511.0,26.92808832870975,1307.0
2020-05-26,164.03626893359507,1513.0,26.963731066404932,1322.0
2020-05-27,161.00062619589988,1515.0,26.999373804100113,1327.0
2020-05-28,160.91151935166192,1520.0,27.088480648338066,1332.0
2020-05-29,154.91151935166192,1520.0,27.088480648338066,1338.0
2020-05-30,137.89369798281433,1521.0,27.10630201718566,1356.0
2020-05-31,127.89369798281434,1521.0,27.10630201718566,1366.0
2020-06-01,126.87587661396675,1522.0,27.12412338603325,1368.0
2020-06-02,122.87587661396675,1522.0,27.12412338603325,1372.0
2020-06-03,122.82241250742398,1525.0,27.177587492576023,1375.0
2020-06-04,122.80459113857638,1526.0,27.195408861423612,1376.0
2020-06-05,119.80459113857638,1526.0,27.195408861423612,1379.0
2020-06-06,121.76894840088121,1528.0,27.231051599118793,1379.0
2020-06-07,111.76894840088121,1528.0,27.231051599118793,1389.0
2020-06-08,106.73330566318603,1530.0,27.266694336813977,1396.0
2020-06-09,101.71548429433844,1531.0,27.284515705661565,1402.0
2020-06-10,101.67984155664325,1533.0,27.32015844335675,1404.0
2020-06-11,104.53727060586252,1541.0,27.462729394137476,1409.0
