Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,3.0,3.0,0.0,0.0
2020-03-09,3.0,3.0,0.0,0.0
2020-03-10,7.0,7.0,0.0,0.0
2020-03-11,13.0,13.0,0.0,0.0
2020-03-12,17.0,17.0,0.0,0.0
2020-03-13,24.0,24.0,0.0,0.0
2020-03-14,38.0,38.0,0.0,0.0
2020-03-15,51.0,51.0,0.0,0.0
2020-03-16,62.0,62.0,0.0,0.0
2020-03-17,62.0,62.0,0.0,0.0
2020-03-18,116.0,116.0,0.0,0.0
2020-03-19,150.0,150.0,0.0,0.0
2020-03-20,202.0,202.0,0.0,0.0
2020-03-21,240.0,240.0,0.0,0.0
2020-03-22,274.0,274.0,0.0,0.0
2020-03-23,402.0,402.0,0.0,0.0
2020-03-24,550.0,554.0,0.0,4.0
2020-03-25,697.0,709.0,0.0,12.0
2020-03-26,915.0,927.0,0.0,12.0
2020-03-27,1138.0,1170.0,1.0,31.0
2020-03-28,1155.0,1187.0,1.0,31.0
2020-03-29,1247.0,1280.0,2.0,31.0
2020-03-30,1292.0,1326.0,3.0,31.0
2020-03-31,1317.0,1353.0,5.0,31.0
2020-04-01,1325.0,1380.0,5.0,50.0
2020-04-02,1407.0,1462.0,5.0,50.0
2020-04-03,1401.0,1505.0,9.0,95.0
2020-04-04,1481.0,1585.0,9.0,95.0
2020-04-05,1549.0,1655.0,11.0,95.0
2020-04-06,1579.0,1686.0,12.0,95.0
2020-04-07,1641.0,1749.0,13.0,95.0
2020-04-08,1732.0,1845.0,18.0,95.0
2020-04-09,1821.0,1934.0,18.0,95.0
2020-04-10,1569.0,2003.0,24.0,410.0
2020-04-11,1593.0,2028.0,25.0,410.0
2020-04-12,1738.0,2173.0,25.0,410.0
2020-04-13,1835.0,2272.0,27.0,410.0
2020-04-14,1978.0,2415.0,27.0,410.0
2020-04-15,2062.0,2506.0,34.0,410.0
2020-04-16,1654.0,2605.0,48.0,903.0
2020-04-17,1830.0,2783.0,50.0,903.0
2020-04-18,2079.0,3034.0,52.0,903.0
2020-04-19,2201.0,3158.0,54.0,903.0
2020-04-20,2187.0,3300.0,58.0,1055.0
2020-04-21,2352.0,3465.0,58.0,1055.0
2020-04-22,2515.0,3635.0,65.0,1055.0
2020-04-23,2405.0,3953.0,75.0,1473.0
2020-04-24,2668.0,4220.0,79.0,1473.0
2020-04-25,2802.0,4361.0,86.0,1473.0
2020-04-26,2986.0,4546.0,87.0,1473.0
2020-04-27,3230.0,4793.0,90.0,1473.0
2020-04-28,2830.0,4996.0,93.0,2073.0
2020-04-29,3174.0,5350.0,103.0,2073.0
2020-04-30,3471.0,5647.0,103.0,2073.0
2020-05-01,3453.0,5951.0,116.0,2382.0
2020-05-02,3664.0,6336.0,123.0,2549.0
2020-05-03,4103.0,6783.0,131.0,2549.0
2020-05-04,4336.0,7220.0,138.0,2746.0
2020-05-05,4678.0,7572.0,148.0,2746.0
2020-05-06,4502.0,7808.0,153.0,3153.0
2020-05-07,4918.0,8232.0,161.0,3153.0
2020-05-08,5564.0,8895.0,178.0,3153.0
2020-05-09,5251.0,9420.0,186.0,3983.0
2020-05-10,5648.0,10015.0,194.0,4173.0
2020-05-11,6089.0,10652.0,206.0,4357.0
2020-05-12,6787.0,11350.0,206.0,4357.0
2020-05-13,7110.0,12074.0,219.0,4745.0
2020-05-14,6825.0,12739.0,238.0,5676.0
2020-05-15,7194.0,13524.0,247.0,6083.0
2020-05-16,7616.0,14355.0,261.0,6478.0
2020-05-17,8245.0,15515.0,264.0,7006.0
2020-05-18,8849.0,16433.0,286.0,7298.0
2020-05-19,8928.0,17200.0,312.0,7960.0
2020-05-20,8714.0,18003.0,339.0,8950.0
2020-05-21,9818.0,19137.0,369.0,8950.0
2020-05-22,9624.0,20125.0,397.0,10104.0
2020-05-23,10832.0,21343.0,407.0,10104.0
2020-05-24,11054.0,22583.0,429.0,11100.0
2020-05-25,11217.0,23615.0,481.0,11917.0
2020-05-26,10999.0,24264.0,524.0,12741.0
2020-05-27,11934.0,25937.0,552.0,13451.0
2020-05-28,12456.0,27403.0,577.0,14370.0
2020-05-29,13536.0,29240.0,611.0,15093.0
2020-05-30,14208.0,30967.0,643.0,16116.0
2020-05-31,15191.0,32683.0,683.0,16809.0
2020-06-01,16361.0,34357.0,705.0,17291.0
2020-06-02,16744.0,35812.0,755.0,18313.0
2020-06-03,17051.0,37525.0,792.0,19682.0
2020-06-04,18633.0,40792.0,848.0,21311.0
2020-06-05,19438.0,43434.0,908.0,23088.0
2020-06-06,20763.0,45973.0,952.0,24258.0
2020-06-07,22923.0,48285.0,998.0,24364.0
2020-06-08,23700.0,50879.0,1080.0,26099.0
2020-06-09,22823.0,52991.0,1162.0,29006.0
2020-06-10,22706.0,55421.0,1210.0,31505.0
2020-06-11,24032.0,58568.0,1284.0,33252.0
2020-06-12,25567.0,61927.0,1354.0,35006.0
2020-06-13,27463.0,65736.0,1423.0,36850.0
2020-06-14,30027.0,70038.0,1480.0,38531.0
2020-06-15,32098.0,73533.0,1568.0,39867.0
