Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,1.0,1.0,0.0,0.0
2020-02-02,1.0,1.0,0.0,0.0
2020-02-03,1.0,1.0,0.0,0.0
2020-02-04,1.0,1.0,0.0,0.0
2020-02-05,1.0,1.0,0.0,0.0
2020-02-06,1.0,1.0,0.0,0.0
2020-02-07,1.0,1.0,0.0,0.0
2020-02-08,1.0,1.0,0.0,0.0
2020-02-09,2.0,2.0,0.0,0.0
2020-02-10,2.0,2.0,0.0,0.0
2020-02-11,2.0,2.0,0.0,0.0
2020-02-12,2.0,2.0,0.0,0.0
2020-02-13,2.0,2.0,0.0,0.0
2020-02-14,2.0,2.0,0.0,0.0
2020-02-15,0.0,2.0,0.0,2.0
2020-02-16,0.0,2.0,0.0,2.0
2020-02-17,0.0,2.0,0.0,2.0
2020-02-18,0.0,2.0,0.0,2.0
2020-02-19,0.0,2.0,0.0,2.0
2020-02-20,0.0,2.0,0.0,2.0
2020-02-21,0.0,2.0,0.0,2.0
2020-02-22,0.0,2.0,0.0,2.0
2020-02-23,0.0,2.0,0.0,2.0
2020-02-24,0.0,2.0,0.0,2.0
2020-02-25,4.0,6.0,0.0,2.0
2020-02-26,11.0,13.0,0.0,2.0
2020-02-27,13.0,15.0,0.0,2.0
2020-02-28,30.0,32.0,0.0,2.0
2020-02-29,43.0,45.0,0.0,2.0
2020-03-01,82.0,84.0,0.0,2.0
2020-03-02,118.0,120.0,0.0,2.0
2020-03-03,162.0,165.0,1.0,2.0
2020-03-04,218.0,222.0,2.0,2.0
2020-03-05,254.0,259.0,3.0,2.0
2020-03-06,393.0,400.0,5.0,2.0
2020-03-07,460.0,500.0,10.0,30.0
2020-03-08,626.0,673.0,17.0,30.0
2020-03-09,1013.0,1073.0,28.0,32.0
2020-03-10,1628.0,1695.0,35.0,32.0
2020-03-11,2040.0,2277.0,54.0,183.0
2020-03-12,2039.0,2277.0,55.0,183.0
2020-03-13,4906.0,5232.0,133.0,193.0
2020-03-14,5679.0,6391.0,195.0,517.0
2020-03-15,6992.0,7798.0,289.0,517.0
2020-03-16,9070.0,9942.0,342.0,530.0
2020-03-17,10187.0,11748.0,533.0,1028.0
2020-03-18,12206.0,13910.0,623.0,1081.0
2020-03-19,16026.0,17963.0,830.0,1107.0
2020-03-20,17779.0,20410.0,1043.0,1588.0
2020-03-21,21874.0,25374.0,1375.0,2125.0
2020-03-22,24421.0,28768.0,1772.0,2575.0
2020-03-23,30250.0,35136.0,2311.0,2575.0
2020-03-24,33283.0,39885.0,2808.0,3794.0
2020-03-25,40501.0,49515.0,3647.0,5367.0
2020-03-26,46406.0,57786.0,4365.0,7015.0
2020-03-27,51224.0,65719.0,5138.0,9357.0
2020-03-28,54968.0,73235.0,5982.0,12285.0
2020-03-29,58598.0,80110.0,6803.0,14709.0
2020-03-30,63460.0,87956.0,7716.0,16780.0
2020-03-31,68200.0,95923.0,8464.0,19259.0
2020-04-01,72084.0,104118.0,9387.0,22647.0
2020-04-02,74974.0,112065.0,10348.0,26743.0
2020-04-03,77488.0,119199.0,11198.0,30513.0
2020-04-04,80002.0,126168.0,11947.0,34219.0
2020-04-05,80925.0,131646.0,12641.0,38080.0
2020-04-06,82897.0,136675.0,13341.0,40437.0
2020-04-07,84689.0,141942.0,14045.0,43208.0
2020-04-08,85407.0,148220.0,14792.0,48021.0
2020-04-09,85610.0,153222.0,15447.0,52165.0
2020-04-10,86524.0,158273.0,16081.0,55668.0
2020-04-11,87312.0,163027.0,16606.0,59109.0
2020-04-12,87231.0,166831.0,17209.0,62391.0
2020-04-13,87616.0,170099.0,17756.0,64727.0
2020-04-14,86981.0,172541.0,18056.0,67504.0
2020-04-15,88083.0,177644.0,18708.0,70853.0
2020-04-16,90836.0,184948.0,19315.0,74797.0
2020-04-17,96040.0,190839.0,20002.0,74797.0
2020-04-18,96886.0,191726.0,20043.0,74797.0
2020-04-19,100864.0,198674.0,20453.0,77357.0
2020-04-20,98771.0,200210.0,20852.0,80587.0
2020-04-21,100382.0,204178.0,21282.0,82514.0
2020-04-22,100757.0,208389.0,21717.0,85915.0
2020-04-23,101617.0,213024.0,22157.0,89250.0
2020-04-24,88111.0,202990.0,22524.0,92355.0
2020-04-25,87295.0,205905.0,22902.0,95708.0
2020-04-26,86072.0,207634.0,23190.0,98372.0
2020-04-27,85069.0,209465.0,23521.0,100875.0
2020-04-28,84403.0,210773.0,23822.0,102548.0
2020-04-29,79695.0,212917.0,24275.0,108947.0
2020-04-30,76842.0,213435.0,24543.0,112050.0
2020-05-01,78623.0,215216.0,24543.0,112050.0
2020-05-02,74234.0,216582.0,25100.0,117248.0
2020-05-03,73300.0,217466.0,25264.0,118902.0
2020-05-04,71240.0,218011.0,25428.0,121343.0
2020-05-05,70230.0,219329.0,25613.0,123486.0
2020-05-06,68466.0,220325.0,25857.0,126002.0
2020-05-07,66866.0,221447.0,26070.0,128511.0
2020-05-08,65410.0,222857.0,26299.0,131148.0
2020-05-09,63148.0,223578.0,26478.0,133952.0
2020-05-10,61563.0,224350.0,26621.0,136166.0
2020-05-11,63553.0,227436.0,26744.0,137139.0
2020-05-12,62130.0,228030.0,26920.0,138980.0
2020-05-13,60764.0,228691.0,27104.0,140823.0
2020-05-14,58845.0,229540.0,27321.0,143374.0
2020-05-15,57941.0,230183.0,27459.0,144783.0
2020-05-16,56689.0,230698.0,27563.0,146446.0
2020-05-17,56689.0,230698.0,27563.0,146446.0
2020-05-18,59588.09593779876,231606.0,27709.0,144308.90406220124
2020-05-19,59681.548760045116,232037.0,27778.0,144577.45123995488
2020-05-20,59766.793683301774,232555.0,27888.0,144900.20631669823
2020-05-21,59896.46946131278,233037.0,27940.0,145200.53053868722
2020-05-22,59882.02675447811,234824.0,28628.0,146313.9732455219
2020-05-23,60007.67180126885,235290.0,28678.0,146604.32819873115
2020-05-24,60115.347579279856,235772.0,28752.0,146904.65242072014
2020-05-25,61893.13307840828,235400.0,26834.0,146672.86692159172
2020-05-26,61933.907960797194,236259.0,27117.0,147208.0920392028
2020-05-27,61933.907960797194,236259.0,27117.0,147208.0920392028
2020-05-28,62552.69635578504,237906.0,27119.0,148234.30364421496
2020-05-29,62798.71017721918,238564.0,27121.0,148644.28982278082
2020-05-30,63044.985522860894,239228.0,27125.0,149058.0144771391
2020-05-31,63137.592618879076,239479.0,27127.0,149214.40738112092
2020-06-01,63197.52301038065,239638.0,27127.0,149313.47698961935
2020-06-02,63308.33769655335,239932.0,27127.0,149496.66230344665
2020-06-03,63455.84445285279,240326.0,27128.0,149742.1555471472
2020-06-04,63576.73596707621,240660.0,27133.0,149950.2640329238
2020-06-05,63695.596750079305,240978.0,27134.0,150148.4032499207
