Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,1.0,1.0,0.0,0.0
2020-02-26,1.0,1.0,0.0,0.0
2020-02-27,8.0,8.0,0.0,0.0
2020-02-28,8.0,8.0,0.0,0.0
2020-02-29,18.0,18.0,0.0,0.0
2020-03-01,27.0,27.0,0.0,0.0
2020-03-02,42.0,42.0,0.0,0.0
2020-03-03,54.0,56.0,0.0,2.0
2020-03-04,87.0,90.0,0.0,3.0
2020-03-05,110.0,114.0,1.0,3.0
2020-03-06,210.0,214.0,1.0,3.0
2020-03-07,264.0,268.0,1.0,3.0
2020-03-08,332.0,337.0,2.0,3.0
2020-03-09,369.0,374.0,2.0,3.0
2020-03-10,485.0,491.0,3.0,3.0
2020-03-11,644.0,652.0,4.0,4.0
2020-03-12,644.0,652.0,4.0,4.0
2020-03-13,1124.0,1139.0,11.0,4.0
2020-03-14,1342.0,1359.0,13.0,4.0
2020-03-15,2182.0,2200.0,14.0,4.0
2020-03-16,2182.0,2200.0,14.0,4.0
2020-03-17,2669.0,2700.0,27.0,4.0
2020-03-18,2985.0,3028.0,28.0,15.0
2020-03-19,4019.0,4075.0,41.0,15.0
2020-03-20,5225.0,5294.0,54.0,15.0
2020-03-21,6485.0,6575.0,75.0,15.0
2020-03-22,7245.0,7474.0,98.0,131.0
2020-03-23,8544.0,8795.0,120.0,131.0
2020-03-24,9624.0,9877.0,122.0,131.0
2020-03-25,10613.0,10897.0,153.0,131.0
2020-03-26,11489.0,11811.0,191.0,131.0
2020-03-27,11167.0,12928.0,231.0,1530.0
2020-03-28,12282.0,14076.0,264.0,1530.0
2020-03-29,12934.0,14829.0,300.0,1595.0
2020-03-30,13740.0,15922.0,359.0,1823.0
2020-03-31,14349.0,16605.0,433.0,1823.0
2020-04-01,14313.0,17768.0,488.0,2967.0
2020-04-02,14278.0,18827.0,536.0,4013.0
2020-04-03,14169.0,19606.0,591.0,4846.0
2020-04-04,13424.0,20505.0,666.0,6415.0
2020-04-05,13970.0,21100.0,715.0,6415.0
2020-04-06,12836.0,21657.0,765.0,8056.0
2020-04-07,12728.0,22253.0,821.0,8704.0
2020-04-08,12585.0,23280.0,895.0,9800.0
2020-04-09,12503.0,24051.0,948.0,10600.0
2020-04-10,12449.0,24551.0,1002.0,11100.0
2020-04-11,11971.0,25107.0,1036.0,12100.0
2020-04-12,11609.0,25415.0,1106.0,12700.0
2020-04-13,10850.0,25688.0,1138.0,13700.0
2020-04-14,11062.0,25936.0,1174.0,13700.0
2020-04-15,9697.0,26336.0,1239.0,15400.0
2020-04-16,9551.0,26732.0,1281.0,15900.0
2020-04-17,9351.0,27078.0,1327.0,16400.0
2020-04-18,8936.0,27404.0,1368.0,17100.0
2020-04-19,8547.0,27740.0,1393.0,17800.0
2020-04-20,7915.0,27944.0,1429.0,18600.0
2020-04-21,7185.0,28063.0,1478.0,19400.0
2020-04-22,6859.0,28268.0,1509.0,19900.0
2020-04-23,6347.0,28496.0,1549.0,20600.0
2020-04-24,6088.0,28677.0,1589.0,21000.0
2020-04-25,5995.0,28894.0,1599.0,21300.0
2020-04-26,5651.0,29061.0,1610.0,21800.0
2020-04-27,5299.0,29164.0,1665.0,22200.0
2020-04-28,4965.0,29264.0,1699.0,22600.0
2020-04-29,5091.0,29407.0,1716.0,22600.0
2020-04-30,4449.0,29586.0,1737.0,23400.0
2020-05-01,4051.0,29705.0,1754.0,23900.0
2020-05-02,3855.0,29817.0,1762.0,24200.0
2020-05-03,3643.0,29905.0,1762.0,24500.0
2020-05-04,2997.0,29981.0,1784.0,25200.0
2020-05-05,2814.0,30009.0,1795.0,25400.0
2020-05-06,2555.0,30060.0,1805.0,25700.0
2020-05-07,2416.0,30126.0,1810.0,25900.0
2020-05-08,2284.0,30207.0,1823.0,26100.0
2020-05-09,2021.0,30251.0,1830.0,26400.0
2020-05-10,1872.0,30305.0,1833.0,26600.0
2020-05-11,1699.0,30344.0,1845.0,26800.0
2020-05-12,1713.0,30380.0,1867.0,26800.0
2020-05-13,1443.0,30413.0,1870.0,27100.0
2020-05-14,1491.0,30463.0,1872.0,27100.0
2020-05-15,1536.0,30514.0,1878.0,27100.0
2020-05-16,1293.0,30572.0,1879.0,27400.0
2020-05-17,1206.0,30587.0,1881.0,27500.0
2020-05-18,1111.0,30597.0,1886.0,27600.0
2020-05-19,1027.0,30618.0,1891.0,27700.0
2020-05-20,966.0,30658.0,1892.0,27800.0
2020-05-21,896.0,30694.0,1898.0,27900.0
2020-05-22,904.0,30707.0,1903.0,27900.0
2020-05-23,820.0,30725.0,1905.0,28000.0
2020-05-24,730.0,30736.0,1906.0,28100.0
2020-05-25,633.0,30746.0,1913.0,28200.0
2020-05-26,646.0,30761.0,1915.0,28200.0
2020-05-27,559.0,30776.0,1917.0,28300.0
2020-05-28,577.0,30796.0,1919.0,28300.0
2020-05-29,609.0,30828.0,1919.0,28300.0
2020-05-30,526.0,30845.0,1919.0,28400.0
2020-05-31,442.0,30862.0,1920.0,28500.0
2020-06-01,451.0,30871.0,1920.0,28500.0
2020-06-02,454.0,30874.0,1920.0,28500.0
2020-06-03,372.0,30893.0,1921.0,28600.0
2020-06-04,392.0,30913.0,1921.0,28600.0
2020-06-05,415.0,30936.0,1921.0,28600.0
2020-06-06,335.0,30956.0,1921.0,28700.0
2020-06-07,344.0,30965.0,1921.0,28700.0
2020-06-08,349.0,30972.0,1923.0,28700.0
2020-06-09,354.0,30988.0,1934.0,28700.0
2020-06-10,375.0,31011.0,1936.0,28700.0
2020-06-11,307.0,31044.0,1937.0,28800.0
