Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,1.0,1.0,0.0,0.0
2020-03-23,1.0,1.0,0.0,0.0
2020-03-24,1.0,1.0,0.0,0.0
2020-03-25,5.0,5.0,0.0,0.0
2020-03-26,5.0,5.0,0.0,0.0
2020-03-27,5.0,5.0,0.0,0.0
2020-03-28,5.0,5.0,0.0,0.0
2020-03-29,8.0,9.0,1.0,0.0
2020-03-30,8.0,10.0,2.0,0.0
2020-03-31,8.0,10.0,2.0,0.0
2020-04-01,8.0,10.0,2.0,0.0
2020-04-02,14.0,16.0,2.0,0.0
2020-04-03,14.0,16.0,2.0,0.0
2020-04-04,12.0,16.0,2.0,2.0
2020-04-05,15.0,19.0,2.0,2.0
2020-04-06,15.0,19.0,2.0,2.0
2020-04-07,14.0,19.0,2.0,3.0
2020-04-08,13.0,19.0,2.0,4.0
2020-04-09,13.0,19.0,2.0,4.0
2020-04-10,13.0,19.0,2.0,4.0
2020-04-11,18.0,25.0,2.0,5.0
2020-04-12,18.0,25.0,2.0,5.0
2020-04-13,18.0,25.0,2.0,5.0
2020-04-14,22.0,29.0,2.0,5.0
2020-04-15,26.0,33.0,2.0,5.0
2020-04-16,26.0,33.0,2.0,5.0
2020-04-17,31.0,38.0,2.0,5.0
2020-04-18,31.0,38.0,2.0,5.0
2020-04-19,31.0,39.0,3.0,5.0
2020-04-20,31.0,39.0,3.0,5.0
2020-04-21,33.0,42.0,3.0,6.0
2020-04-22,33.0,42.0,3.0,6.0
2020-04-23,33.0,42.0,3.0,6.0
2020-04-24,33.0,42.0,3.0,6.0
2020-04-25,28.0,42.0,3.0,11.0
2020-04-26,26.0,43.0,3.0,14.0
2020-04-27,21.0,43.0,3.0,19.0
2020-04-28,19.0,43.0,3.0,21.0
2020-04-29,19.0,43.0,3.0,21.0
2020-04-30,19.0,43.0,3.0,21.0
2020-05-01,14.0,44.0,3.0,27.0
2020-05-02,14.0,44.0,3.0,27.0
2020-05-03,14.0,44.0,3.0,27.0
2020-05-04,14.0,44.0,3.0,27.0
2020-05-05,14.0,44.0,3.0,27.0
2020-05-06,15.0,45.0,3.0,27.0
2020-05-07,15.0,45.0,3.0,27.0
2020-05-08,15.0,47.0,3.0,29.0
2020-05-09,15.0,47.0,3.0,29.0
2020-05-10,15.0,47.0,3.0,29.0
2020-05-11,15.0,47.0,3.0,29.0
2020-05-12,15.0,47.0,3.0,29.0
2020-05-13,16.0,48.0,3.0,29.0
2020-05-14,16.0,48.0,3.0,29.0
2020-05-15,11.0,50.0,3.0,36.0
2020-05-16,12.0,51.0,3.0,36.0
2020-05-17,19.0,58.0,3.0,36.0
2020-05-18,19.0,58.0,3.0,36.0
2020-05-19,19.0,58.0,3.0,36.0
2020-05-20,19.0,58.0,3.0,36.0
2020-05-21,19.0,58.0,3.0,36.0
2020-05-22,18.0,59.0,4.0,37.0
2020-05-23,29.0,70.0,4.0,37.0
2020-05-24,41.0,86.0,4.0,41.0
2020-05-25,61.0,106.0,4.0,41.0
2020-05-26,76.0,121.0,4.0,41.0
2020-05-27,74.0,121.0,4.0,43.0
2020-05-28,75.0,122.0,4.0,43.0
2020-05-29,75.0,122.0,4.0,43.0
2020-05-30,75.0,122.0,4.0,43.0
2020-05-31,71.0,122.0,5.0,46.0
2020-06-01,72.0,123.0,5.0,46.0
2020-06-02,65.2207032858437,123.0,7.779296714156305,50.0
2020-06-03,62.2207032858437,123.0,7.779296714156305,53.0
2020-06-04,63.157456971094454,124.0,7.842543028905544,53.0
2020-06-05,63.157456971094454,124.0,7.842543028905544,53.0
2020-06-06,59.09421065634522,125.0,7.9057893436547815,58.0
2020-06-07,74.08226962035741,141.0,8.917730379642594,58.0
2020-06-08,72.89253067610969,144.0,9.107469323890308,62.0
2020-06-09,74.76603804661121,146.0,9.233961953388786,62.0
2020-06-10,74.38656015811578,152.0,9.613439841884215,68.0
2020-06-11,85.62760438112493,164.0,10.372395618875073,68.0
2020-06-12,85.62760438112493,164.0,10.372395618875073,68.0
2020-06-13,88.2481264926295,170.0,10.751873507370503,71.0
2020-06-14,91.80540228938483,177.0,11.19459771061517,74.0
2020-06-15,87.80540228938483,177.0,11.19459771061517,78.0
2020-06-16,87.80540228938483,177.0,11.19459771061517,78.0
2020-06-17,88.7421559746356,178.0,11.25784402536441,78.0
2020-06-18,97.17293914189244,187.0,11.827060858107554,78.0
