Time,Active,Confirmed,Deaths,Recovered
2020-01-22,2.0,4.0,0.0,2.0
2020-01-23,2.0,4.0,0.0,2.0
2020-01-24,2.0,5.0,0.0,3.0
2020-01-25,3.0,6.0,0.0,3.0
2020-01-26,2.0,8.0,0.0,6.0
2020-01-27,2.0,8.0,0.0,6.0
2020-01-28,8.0,14.0,0.0,6.0
2020-01-29,8.0,14.0,0.0,6.0
2020-01-30,7.0,14.0,0.0,7.0
2020-01-31,11.0,19.0,0.0,8.0
2020-02-01,11.0,19.0,0.0,8.0
2020-02-02,10.0,19.0,0.0,9.0
2020-02-03,10.0,19.0,0.0,9.0
2020-02-04,15.0,25.0,0.0,10.0
2020-02-05,15.0,25.0,0.0,10.0
2020-02-06,15.0,25.0,0.0,10.0
2020-02-07,15.0,25.0,0.0,10.0
2020-02-08,22.0,32.0,0.0,10.0
2020-02-09,21.0,32.0,0.0,11.0
2020-02-10,21.0,32.0,0.0,11.0
2020-02-11,22.0,33.0,0.0,11.0
2020-02-12,22.0,33.0,0.0,11.0
2020-02-13,22.0,33.0,0.0,11.0
2020-02-14,22.0,33.0,0.0,11.0
2020-02-15,21.0,34.0,0.0,13.0
2020-02-16,19.0,34.0,0.0,15.0
2020-02-17,20.0,35.0,0.0,15.0
2020-02-18,20.0,35.0,0.0,15.0
2020-02-19,20.0,35.0,0.0,15.0
2020-02-20,18.0,35.0,0.0,17.0
2020-02-21,16.0,35.0,0.0,19.0
2020-02-22,15.0,35.0,0.0,20.0
2020-02-23,14.0,35.0,0.0,21.0
2020-02-24,14.0,35.0,0.0,21.0
2020-02-25,15.0,37.0,0.0,22.0
2020-02-26,16.0,40.0,0.0,24.0
2020-02-27,16.0,40.0,0.0,24.0
2020-02-28,13.0,41.0,0.0,28.0
2020-02-29,14.0,42.0,0.0,28.0
2020-03-01,11.0,42.0,1.0,30.0
2020-03-02,11.0,43.0,1.0,31.0
2020-03-03,11.0,43.0,1.0,31.0
2020-03-04,11.0,43.0,1.0,31.0
2020-03-05,15.0,47.0,1.0,31.0
2020-03-06,16.0,48.0,1.0,31.0
2020-03-07,18.0,50.0,1.0,31.0
2020-03-08,16.0,50.0,1.0,33.0
2020-03-09,16.0,50.0,1.0,33.0
2020-03-10,19.0,53.0,1.0,33.0
2020-03-11,24.0,59.0,1.0,34.0
2020-03-12,34.0,70.0,1.0,35.0
2020-03-13,39.0,75.0,1.0,35.0
2020-03-14,46.0,82.0,1.0,35.0
2020-03-15,76.0,114.0,1.0,37.0
2020-03-16,108.0,147.0,1.0,38.0
2020-03-17,135.0,177.0,1.0,41.0
2020-03-18,169.0,212.0,1.0,42.0
2020-03-19,229.0,272.0,1.0,42.0
2020-03-20,278.0,322.0,1.0,43.0
2020-03-21,366.0,411.0,1.0,44.0
2020-03-22,553.0,599.0,1.0,45.0
2020-03-23,676.0,721.0,1.0,44.0
2020-03-24,766.0,827.0,4.0,57.0
2020-03-25,860.0,934.0,4.0,70.0
2020-03-26,953.0,1045.0,4.0,88.0
2020-03-27,1034.0,1136.0,5.0,97.0
2020-03-28,1139.0,1245.0,6.0,100.0
2020-03-29,1270.0,1388.0,7.0,111.0
2020-03-30,1388.0,1524.0,9.0,127.0
2020-03-31,1299.0,1651.0,10.0,342.0
2020-04-01,1343.0,1771.0,12.0,416.0
2020-04-02,1355.0,1875.0,15.0,505.0
2020-04-03,1378.0,1978.0,19.0,581.0
2020-04-04,1435.0,2067.0,20.0,612.0
2020-04-05,1472.0,2169.0,23.0,674.0
2020-04-06,1401.0,2220.0,26.0,793.0
2020-04-07,1407.0,2258.0,27.0,824.0
2020-04-08,1451.0,2369.0,30.0,888.0
2020-04-09,1451.0,2423.0,32.0,940.0
2020-04-10,1427.0,2473.0,33.0,1013.0
2020-04-11,1348.0,2518.0,35.0,1135.0
2020-04-12,1295.0,2551.0,38.0,1218.0
2020-04-13,1251.0,2579.0,40.0,1288.0
2020-04-14,1167.0,2613.0,41.0,1405.0
2020-04-15,1103.0,2643.0,43.0,1497.0
2020-04-16,1033.0,2672.0,46.0,1593.0
2020-04-17,964.0,2700.0,47.0,1689.0
2020-04-18,899.0,2733.0,47.0,1787.0
2020-04-19,790.0,2765.0,47.0,1928.0
2020-04-20,746.0,2792.0,47.0,1999.0
2020-04-21,655.0,2811.0,48.0,2108.0
2020-04-22,425.0,2826.0,49.0,2352.0
2020-04-23,359.0,2839.0,50.0,2430.0
2020-04-24,314.0,2854.0,50.0,2490.0
2020-04-25,309.0,2907.0,51.0,2547.0
2020-04-26,277.0,2922.0,51.0,2594.0
2020-04-27,270.0,2931.0,52.0,2609.0
2020-04-28,232.0,2938.0,54.0,2652.0
2020-04-29,228.0,2947.0,54.0,2665.0
2020-04-30,213.0,2954.0,54.0,2687.0
2020-05-01,187.0,2960.0,54.0,2719.0
2020-05-02,180.0,2966.0,54.0,2732.0
2020-05-03,176.0,2969.0,54.0,2739.0
2020-05-04,193.0,2987.0,54.0,2740.0
2020-05-05,187.0,2988.0,54.0,2747.0
2020-05-06,173.0,2989.0,55.0,2761.0
2020-05-07,165.0,2992.0,55.0,2772.0
2020-05-08,161.0,3000.0,55.0,2784.0
2020-05-09,162.59421039377833,3004.0,54.405789606221674,2787.0
2020-05-10,160.50365481853495,3009.0,54.496345181465045,2794.0
2020-05-11,164.39498812824291,3015.0,54.6050118717571,2796.0
2020-05-12,164.35876589814555,3017.0,54.64123410185445,2798.0
2020-05-13,118.35876589814555,3017.0,54.64123410185445,2844.0
2020-05-14,113.34065478309688,3018.0,54.65934521690313,2850.0
2020-05-15,116.21387697775614,3025.0,54.786123022243856,2854.0
2020-05-16,115.21387697775614,3025.0,54.786123022243856,2855.0
2020-05-17,117.15954363261011,3028.0,54.84045636738988,2856.0
2020-05-18,119.10521028746409,3031.0,54.89478971253591,2857.0
2020-05-19,121.06898805736674,3033.0,54.93101194263326,2857.0
2020-05-20,91.05087694231807,3034.0,54.94912305768194,2888.0
2020-05-21,84.99654359717204,3037.0,55.003456402827965,2897.0
2020-05-22,71.99654359717204,3037.0,55.003456402827965,2910.0
2020-05-23,68.942210252026,3040.0,55.05778974797399,2916.0
2020-05-24,63.94221025202601,3040.0,55.05778974797399,2921.0
2020-05-25,58.90598802192866,3042.0,55.09401197807134,2928.0
2020-05-26,60.85165467678263,3045.0,55.14834532321737,2929.0
2020-05-27,67.68865464134456,3054.0,55.31134535865545,2931.0
2020-05-28,64.48943237580912,3065.0,55.510567624190884,2945.0
2020-05-29,75.29021011027368,3076.0,55.709789889726316,2945.0
2020-05-30,60.27209899522501,3077.0,55.72790100477499,2961.0
2020-05-31,62.199654535030305,3081.0,55.800345464969695,2963.0
2020-06-01,61.18154341998163,3082.0,55.81845658001837,2965.0
2020-06-02,61.01814518890192,3083.0,55.98185481109808,2966.0
2020-06-03,59.99998694861288,3084.0,56.00001305138712,2968.0
2020-06-04,76.69129686369928,3101.0,56.30870313630073,2968.0
2020-06-05,74.67313862341024,3102.0,56.32686137658977,2971.0
2020-06-06,76.63682214283216,3104.0,56.36317785716784,2971.0
2020-06-07,83.49155622051987,3112.0,56.508443779480125,2972.0
2020-06-08,89.36444853849662,3119.0,56.635551461503375,2973.0
2020-06-09,91.32813205791855,3121.0,56.67186794208145,2973.0
2020-06-10,87.2554990967624,3125.0,56.74450090323759,2981.0
2020-06-11,81.2554990967624,3125.0,56.74450090323759,2987.0
2020-06-12,85.18286613560626,3129.0,56.81713386439374,2987.0
2020-06-13,90.09207493416108,3134.0,56.90792506583892,2987.0
2020-06-14,91.07391669387204,3135.0,56.92608330612796,2987.0
2020-06-15,91.07391669387204,3135.0,56.92608330612796,2987.0
2020-06-16,85.07391669387204,3135.0,56.92608330612796,2993.0
2020-06-17,82.07391669387204,3135.0,56.92608330612796,2996.0
2020-06-18,86.96496725213782,3141.0,57.035032747862175,2997.0
2020-06-19,80.87417605069265,3146.0,57.12582394930735,3008.0
2020-06-20,71.85601781040361,3147.0,57.143982189596386,3018.0
2020-06-21,72.83785957011457,3148.0,57.162140429885426,3018.0
2020-06-22,71.78338484924747,3151.0,57.21661515075253,3022.0
2020-06-23,75.69259364780228,3156.0,57.30740635219771,3023.0
2020-06-24,73.67443540751324,3157.0,57.32556459248675,3026.0
