Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,2.0,2.0,0.0,0.0
2020-02-01,2.0,2.0,0.0,0.0
2020-02-02,2.0,2.0,0.0,0.0
2020-02-03,8.0,8.0,0.0,0.0
2020-02-04,8.0,8.0,0.0,0.0
2020-02-05,9.0,9.0,0.0,0.0
2020-02-06,9.0,9.0,0.0,0.0
2020-02-07,9.0,9.0,0.0,0.0
2020-02-08,13.0,13.0,0.0,0.0
2020-02-09,14.0,14.0,0.0,0.0
2020-02-10,14.0,14.0,0.0,0.0
2020-02-11,15.0,15.0,0.0,0.0
2020-02-12,118.35179703443211,16.0,0.0,134.3517970344321
2020-02-13,117.35179703443211,17.0,0.0,134.3517970344321
2020-02-14,116.35179703443211,18.0,0.0,134.3517970344321
2020-02-15,116.35179703443211,18.0,0.0,134.3517970344321
2020-02-16,1056.8143762754569,18.0,0.0,1074.8143762754569
2020-02-17,1055.8143762754569,19.0,0.0,1074.8143762754569
2020-02-18,1055.8143762754569,19.0,0.0,1074.8143762754569
2020-02-19,1054.8143762754569,20.0,0.0,1074.8143762754569
2020-02-20,1052.8143762754569,22.0,0.0,1074.8143762754569
2020-02-21,1051.8143762754569,23.0,0.0,1074.8143762754569
2020-02-22,1051.8143762754569,23.0,0.0,1074.8143762754569
2020-02-23,1046.8143762754569,28.0,0.0,1074.8143762754569
2020-02-24,1044.8143762754569,30.0,0.0,1074.8143762754569
2020-02-25,1040.8143762754569,34.0,0.0,1074.8143762754569
2020-02-26,1037.8143762754569,37.0,0.0,1074.8143762754569
2020-02-27,1030.8143762754569,44.0,0.0,1074.8143762754569
2020-02-28,1018.8143762754569,56.0,0.0,1074.8143762754569
2020-02-29,1013.8143762754569,61.0,0.0,1074.8143762754569
2020-03-01,980.8143762754569,94.0,0.0,1074.8143762754569
2020-03-02,940.8143762754569,134.0,0.0,1074.8143762754569
2020-03-03,885.8143762754569,189.0,0.0,1074.8143762754569
2020-03-04,828.8143762754569,246.0,0.0,1074.8143762754569
2020-03-05,779.8143762754569,295.0,0.0,1074.8143762754569
2020-03-06,701.8143762754569,374.0,1.0,1074.8143762754569
2020-03-07,1991.332346619778,429.0,2.0,2418.332346619778
2020-03-08,1937.332346619778,483.0,2.0,2418.332346619778
2020-03-09,1791.332346619778,630.0,3.0,2418.332346619778
2020-03-10,1670.68414365421,889.0,7.0,2552.68414365421
2020-03-11,1258.68414365421,1301.0,7.0,2552.68414365421
2020-03-12,771.68414365421,1790.0,9.0,2552.68414365421
2020-03-13,292.68414365420995,2270.0,10.0,2552.68414365421
2020-03-14,52.31585634579005,2634.0,29.0,2552.68414365421
2020-03-15,481.31585634579005,3077.0,43.0,2552.68414365421
2020-03-16,804.6122622769258,3692.0,66.0,2821.387737723074
2020-03-17,2741.645242824902,4462.0,83.0,7120.645242824902
2020-03-18,3785.9221983413827,5468.0,118.0,9135.922198341383
2020-03-19,2765.9221983413827,6534.0,164.0,9135.922198341383
2020-03-20,1539.9221983413827,7792.0,196.0,9135.922198341383
2020-03-21,382.9221983413827,9007.0,254.0,9135.922198341383
2020-03-22,1104.4295986930483,10395.0,289.0,9001.570401306952
2020-03-23,3377.4295986930483,12744.0,365.0,9001.570401306952
2020-03-24,4196.251584820497,15126.0,513.0,18809.251584820497
2020-03-25,1670.2515848204966,17843.0,704.0,18809.251584820497
2020-03-26,68.76955516481758,20970.0,886.0,20152.769555164818
2020-03-27,2757.8786478007496,24219.0,1174.0,20287.12135219925
2020-03-28,5308.87864780075,27062.0,1466.0,20287.12135219925
2020-03-29,7987.87864780075,29954.0,1679.0,20287.12135219925
2020-03-30,9253.842707112108,34281.0,2053.0,22974.157292887892
2020-03-31,12309.028330836652,38815.0,2457.0,24048.971669163348
2020-04-01,16610.028330836652,43789.0,3130.0,24048.971669163348
2020-04-02,19135.454969389037,48718.0,3787.0,25795.545030610963
2020-04-03,21229.826216838122,53699.0,4524.0,27945.173783161878
2020-04-04,23605.363637597096,57772.0,5281.0,28885.636362402904
2020-04-05,24773.438479115048,61422.0,5882.0,30766.561520884952
2020-04-06,21727.034251117984,66738.0,6452.0,38558.965748882016
2020-04-07,21002.665963809566,72224.0,7557.0,43664.334036190434
2020-04-08,22446.630023120924,77387.0,8589.0,46351.369976879076
2020-04-09,24354.704864638872,82293.0,9706.0,48232.29513536113
2020-04-10,3167.8566562460765,86660.0,10829.0,78998.85665624608
2020-04-11,4966.817755416778,90273.0,11673.0,83566.81775541678
2020-04-12,2622.2249435544945,93812.0,12330.0,84104.2249435545
2020-04-13,44119.05370153264,98017.0,13055.0,40842.94629846736
2020-04-14,44834.36955787843,102365.0,14135.0,43395.63044212157
2020-04-15,43004.538691328984,107465.0,15019.0,49441.461308671016
2020-04-16,46367.07611208796,112808.0,16059.0,50381.92388791204
2020-04-17,47890.391968433745,117798.0,16973.0,52934.608031566255
2020-04-18,48831.3560277451,122534.0,18081.0,55621.6439722549
2020-04-19,49302.61649298761,126394.0,18514.0,58577.3835070124
2020-04-20,52249.09852264328,131260.0,19090.0,59920.90147735672
2020-04-21,30004.55349203231,136035.0,20314.0,85716.44650796769
2020-04-22,28606.72262548287,141540.0,21171.0,91762.27737451713
2020-04-23,29194.52051148434,146708.0,21855.0,95658.47948851566
2020-04-24,31545.298947071147,151689.0,22873.0,97270.70105292885
2020-04-25,27775.70909534955,155453.0,23689.0,103988.29090465045
2020-04-26,30347.30190721182,158926.0,24053.0,104525.69809278818
2020-04-27,30832.09979321329,163630.0,24376.0,108421.90020678671
2020-04-28,33781.98901100669,168357.0,25347.0,109228.01098899331
2020-04-29,32549.509941491677,173807.0,26118.0,115139.49005850832
2020-04-30,36608.80634742281,178771.0,26754.0,115408.19365257719
2020-05-01,36205.197045286564,183501.0,27454.0,119841.80295471344
2020-05-02,38312.78985714883,186731.0,28039.0,120379.21014285117
2020-05-03,40365.03087197666,189708.0,28292.0,121050.96912802334
2020-05-04,42265.86469866677,193091.0,28565.0,122260.13530133323
2020-05-05,43080.23594611586,196780.0,29290.0,124409.76405388414
2020-05-06,45194.421569840415,200616.0,29937.0,125484.57843015958
2020-05-07,43670.75687660085,204387.0,30395.0,130321.24312339915
2020-05-08,42515.2583566712,207439.0,30975.0,133948.7416433288
2020-05-09,43852.85116853347,209589.0,31250.0,134486.14883146653
2020-05-10,45823.49937149903,211911.0,31467.0,134620.50062850097
2020-05-11,47477.92601005142,215500.0,31655.0,136367.07398994858
2020-05-12,49183.11163377596,218895.0,32270.0,137441.88836622404
2020-05-13,50825.94546046606,222195.0,32718.0,138651.05453953394
2020-05-14,51613.0756930873,224813.0,33071.0,140128.9243069127
2020-05-15,53245.66850494957,227334.0,33422.0,140666.33149505043
