Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,4.0,4.0,0.0,0.0
2020-03-06,7.0,7.0,0.0,0.0
2020-03-07,16.0,16.0,0.0,0.0
2020-03-08,16.0,16.0,0.0,0.0
2020-03-09,19.0,19.0,0.0,0.0
2020-03-10,26.0,26.0,0.0,0.0
2020-03-11,30.0,30.0,0.0,0.0
2020-03-12,30.0,30.0,0.0,0.0
2020-03-13,31.0,31.0,0.0,0.0
2020-03-14,35.0,35.0,0.0,0.0
2020-03-15,38.0,38.0,0.0,0.0
2020-03-16,38.0,38.0,0.0,0.0
2020-03-17,39.0,39.0,0.0,0.0
2020-03-18,41.0,41.0,0.0,0.0
2020-03-19,44.0,44.0,0.0,0.0
2020-03-20,30.0,47.0,0.0,17.0
2020-03-21,31.0,48.0,0.0,17.0
2020-03-22,35.0,52.0,0.0,17.0
2020-03-23,42.0,59.0,0.0,17.0
2020-03-24,42.0,59.0,0.0,17.0
2020-03-25,42.0,59.0,0.0,17.0
2020-03-26,66.0,84.0,1.0,17.0
2020-03-27,73.0,91.0,1.0,17.0
2020-03-28,79.0,98.0,1.0,18.0
2020-03-29,90.0,109.0,1.0,18.0
2020-03-30,97.0,116.0,1.0,18.0
2020-03-31,100.0,119.0,1.0,18.0
2020-04-01,115.0,134.0,1.0,18.0
2020-04-02,142.0,161.0,1.0,18.0
2020-04-03,172.0,194.0,1.0,21.0
2020-04-04,195.0,217.0,1.0,21.0
2020-04-05,211.0,237.0,1.0,25.0
2020-04-06,229.0,254.0,1.0,24.0
2020-04-07,218.0,261.0,1.0,42.0
2020-04-08,218.0,263.0,1.0,44.0
2020-04-09,218.0,263.0,1.0,44.0
2020-04-10,220.0,267.0,2.0,45.0
2020-04-11,209.0,268.0,2.0,57.0
2020-04-12,211.0,271.0,2.0,58.0
2020-04-13,213.0,273.0,2.0,58.0
2020-04-14,220.0,284.0,2.0,62.0
2020-04-15,226.0,291.0,2.0,63.0
2020-04-16,229.0,294.0,2.0,63.0
2020-04-17,236.0,307.0,2.0,69.0
2020-04-18,242.0,313.0,2.0,69.0
2020-04-19,246.0,319.0,2.0,71.0
2020-04-20,256.0,329.0,2.0,71.0
2020-04-21,256.0,329.0,2.0,71.0
2020-04-22,262.0,335.0,2.0,71.0
2020-04-23,260.0,336.0,2.0,74.0
2020-04-24,257.0,340.0,2.0,81.0
2020-04-25,257.0,342.0,2.0,83.0
2020-04-26,257.0,342.0,2.0,83.0
2020-04-27,257.0,342.0,2.0,83.0
2020-04-28,270.0,343.0,2.0,71.0
2020-04-29,271.0,344.0,2.0,71.0
2020-04-30,266.0,344.0,2.0,76.0
2020-05-01,275.0,353.0,2.0,76.0
2020-05-02,275.0,353.0,2.0,76.0
2020-05-03,274.0,353.0,2.0,77.0
2020-05-04,258.0,362.0,2.0,102.0
2020-05-05,242.0,371.0,2.0,127.0
2020-05-06,198.0,374.0,2.0,174.0
2020-05-07,197.0,375.0,2.0,176.0
2020-05-08,145.0,375.0,2.0,228.0
2020-05-09,145.0,375.0,2.0,228.0
2020-05-10,110.0,375.0,2.0,263.0
2020-05-11,72.0,375.0,2.0,301.0
2020-05-12,65.0,375.0,2.0,308.0
2020-05-13,63.0,375.0,2.0,310.0
2020-05-14,63.0,375.0,2.0,310.0
2020-05-15,58.0,375.0,2.0,315.0
2020-05-16,45.0,376.0,2.0,329.0
2020-05-17,44.0,381.0,2.0,335.0
2020-05-18,49.0,388.0,2.0,337.0
2020-05-19,43.0,391.0,2.0,346.0
2020-05-20,50.0,398.0,2.0,346.0
2020-05-21,75.0,423.0,2.0,346.0
2020-05-22,75.0,423.0,2.0,346.0
2020-05-23,72.0,423.0,3.0,348.0
2020-05-24,63.0,423.0,3.0,357.0
2020-05-25,63.0,423.0,3.0,357.0
2020-05-26,61.0,429.0,3.0,365.0
2020-05-27,66.0,434.0,3.0,365.0
2020-05-28,75.0,446.0,3.0,368.0
2020-05-29,75.0,446.0,3.0,368.0
2020-05-30,76.0,447.0,3.0,368.0
2020-05-31,73.0,448.0,3.0,372.0
2020-06-01,74.0,449.0,3.0,372.0
2020-06-02,76.0,451.0,3.0,372.0
2020-06-03,82.0,457.0,3.0,372.0
2020-06-04,84.0,464.0,3.0,377.0
2020-06-05,84.0,464.0,3.0,377.0
2020-06-06,61.0,464.0,3.0,400.0
2020-06-07,66.0,472.0,3.0,403.0
2020-06-08,66.0,473.0,3.0,404.0
2020-06-09,74.0,481.0,3.0,404.0
2020-06-10,72.0,485.0,3.0,410.0
2020-06-11,74.0,487.0,3.0,410.0
2020-06-12,72.0,489.0,3.0,414.0
2020-06-13,71.0,489.0,3.0,415.0
2020-06-14,74.0,492.0,3.0,415.0
2020-06-15,87.0,505.0,3.0,415.0
2020-06-16,96.0,514.0,3.0,415.0
2020-06-17,137.0,555.0,3.0,415.0
2020-06-18,182.0,600.0,3.0,415.0
2020-06-19,235.0,675.0,3.0,437.0
2020-06-20,344.0,784.0,3.0,437.0
2020-06-21,391.0,833.0,3.0,439.0
2020-06-22,556.0,1001.0,3.0,442.0
2020-06-23,724.0,1169.0,3.0,442.0
2020-06-24,883.0,1328.0,3.0,442.0
