,Country,Population,Code,Continent,Lat,Lon,Alt
0,Afghanistan,37172386,'AFG','Asia',33.93911,67.709953,3732.4
1,Albania,2866376,'ALB','Europe',41.1533,20.1683,281.4
2,Algeria,42228429,'DZA','Africa',28.0339,1.6596,1449.6046511627908
3,Angola,30809762,'AGO','Africa',-11.2027,17.8739,2408.25
4,Antigua and Barbuda,96286,'ATG','North America',17.0608,-61.7964,38.5
5,Argentina,44494502,'ARG','South America',-38.4161,-63.6167,1099.6170212765958
6,Armenia,2951776,'ARM','Europe',40.0691,45.0382,3124.4
7,Australia,24982688,'AUS','Oceania',-31.9505,115.8605,484.5878378378378
8,Austria,8840521,'AUT','Europe',47.5162,14.5501,1505.2105263157894
9,Azerbaijan,9939771,'AZE','Europe',40.1431,47.5769,1171.5714285714287
10,Bahamas,385640,'BHS','North America',25.025885,-78.035889,10.303030303030303
11,Bahrain,1569439,'BHR','Asia',26.0275,50.55,71.0
12,Bangladesh,161356039,'BGD','Asia',23.685,90.3563,40.5
13,Barbados,286641,'BRB','North America',13.1939,-59.5432,169.0
14,Belarus,9483499,'BLR','Europe',53.7098,27.9534,462.2
15,Belgium,11427054,'BEL','Europe',50.8333,4.469936,430.25
16,Belize,383071,'BLZ','North America',17.1899,-88.4976,49.0
17,Benin,11485048,'BEN','Africa',9.3077,2.3158,19.0
18,Bhutan,754394,'BTN','Asia',27.5142,90.4336,5599.0
19,Bolivia,11353142,'BOL','South America',-16.2902,-63.5887,4340.04347826087
20,Bosnia and Herzegovina,3323929,'BIH','Europe',43.9159,17.6791,762.0
21,Botswana,2254126,'BWA','Africa',-22.3285,24.6849,3147.153846153846
22,Brazil,209469333,'BRA','South America',-14.235,-51.9253,1144.08547008547
23,Brunei,428962,'BRN','Asia',4.5353,114.7277,40.0
24,Bulgaria,7025037,'BGR','Europe',42.7339,25.4858,501.1818181818182
25,Burkina Faso,19751535,'BFA','Africa',12.2383,-1.5616,1274.0
26,Burma,53708395,'MMR','Asia',21.9162,95.956,907.3720930232558
27,Burundi,11175378,'BDI','Africa',-3.3731,29.9189,2582.0
28,Cambodia,16249798,'KHM','Asia',11.55,104.9167,55.55555555555556
29,Cameroon,25216237,'CMR','Africa',3.848,11.5021,2314.0
30,Canada,37057765,'CAN','North America',64.2823,-135.0,854.884892086331
31,Central African Republic,4666377,'CAF','Africa',6.6111,20.9394,1568.5
32,Chad,15477751,'TCD','Africa',15.4542,18.7322,1258.6666666666667
33,Chile,18729160,'CHL','South America',-35.6751,-71.543,1156.2954545454545
34,China,1392730000,'CHN','Asia',29.1832,120.0934,1789.2055555555555
35,Colombia,49661056,'COL','South America',4.5709,-74.2973,1733.5135135135135
36,Comoros,832322,'COM','Africa',-11.6455,43.3333,58.5
37,Congo (Brazzaville),5244363,'COG','Africa',-228.0,15.8277,727.3333333333334
38,Congo (Kinshasa),84068091,'COD','Africa',-4.0383,21.7587,1936.840909090909
