Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-25,0.0,576.0,0.0
2021-01-26,854.0,0.0,0.0
2021-01-27,854.0,0.0,0.0
2021-01-28,854.0,0.0,0.0
2021-01-29,854.0,0.0,0.0
2021-01-30,854.0,0.0,0.0
2021-01-31,854.0,0.0,0.0
2021-02-01,854.0,1036.0,0.0
2021-02-02,777.0,0.0,0.0
2021-02-03,712.0,0.0,0.0
2021-02-04,647.0,0.0,0.0
2021-02-05,569.0,0.0,0.0
2021-02-06,505.0,0.0,0.0
2021-02-07,440.0,0.0,0.0
2021-02-08,362.0,0.0,0.0
2021-02-09,362.0,0.0,0.0
2021-02-10,362.0,1291.0,0.0
2021-02-11,621.0,0.0,0.0
2021-02-12,880.0,1622.0,0.0
2021-02-13,958.0,0.0,0.0
2021-02-14,1048.0,0.0,0.0
2021-02-15,1126.0,0.0,0.0
2021-02-16,1217.0,0.0,0.0
2021-02-17,1294.0,0.0,0.0
2021-02-18,1126.0,0.0,0.0
2021-02-19,958.0,2141.0,0.0
2021-02-20,919.0,0.0,0.0
2021-02-21,867.0,0.0,0.0
2021-02-22,828.0,0.0,0.0
2021-02-23,777.0,0.0,0.0
2021-02-24,738.0,2390.0,0.0
2021-02-25,725.0,0.0,0.0
2021-02-26,712.0,0.0,0.0
2021-02-27,815.0,0.0,0.0
2021-02-28,932.0,0.0,0.0
2021-03-01,1035.0,0.0,0.0
2021-03-02,1152.0,0.0,0.0
2021-03-03,1255.0,0.0,0.0
2021-03-04,1333.0,0.0,0.0
2021-03-05,1398.0,0.0,0.0
2021-03-06,1398.0,0.0,0.0
2021-03-07,1398.0,0.0,0.0
2021-03-08,1398.0,2439.0,1172.0
2021-03-09,2407.0,0.0,0.0
2021-03-10,3417.0,3650.0,1264.0
2021-03-11,4491.0,0.0,0.0
2021-03-12,5565.0,0.0,0.0
2021-03-13,6639.0,0.0,0.0
2021-03-14,7714.0,0.0,0.0
2021-03-15,8788.0,7098.0,1265.0
2021-03-16,8011.0,0.0,0.0
2021-03-17,7235.0,0.0,0.0
2021-03-18,6381.0,0.0,0.0
2021-03-19,5539.0,0.0,0.0
2021-03-20,4620.0,0.0,0.0
2021-03-21,3714.0,0.0,0.0
2021-03-22,2809.0,0.0,0.0
2021-03-23,2744.0,0.0,0.0
2021-03-24,2679.0,0.0,0.0
2021-03-25,2614.0,0.0,0.0
2021-03-26,2550.0,0.0,0.0
2021-03-27,2550.0,0.0,0.0
2021-03-28,2550.0,0.0,0.0
2021-03-29,2550.0,0.0,0.0
2021-03-30,2550.0,0.0,0.0
2021-03-31,2550.0,0.0,0.0
2021-04-01,2550.0,0.0,0.0
2021-04-02,2550.0,0.0,0.0
2021-04-03,2550.0,0.0,0.0
2021-04-04,2550.0,0.0,0.0
2021-04-05,7416.0,9781.0,4484.0
2021-04-06,7610.0,0.0,0.0
2021-04-07,7804.0,0.0,0.0
2021-04-08,8011.0,0.0,0.0
2021-04-09,8206.0,0.0,0.0
2021-04-10,8400.0,0.0,0.0
2021-04-11,8594.0,0.0,0.0
2021-04-12,7015.0,0.0,0.0
2021-04-13,8400.0,0.0,0.0
2021-04-14,9772.0,0.0,0.0
2021-04-15,11156.0,0.0,0.0
2021-04-16,12541.0,0.0,0.0
2021-04-17,13913.0,0.0,0.0
2021-04-18,15298.0,0.0,0.0
2021-04-19,13590.0,21733.0,4681.0
2021-04-20,12205.0,0.0,0.0
2021-04-21,10807.0,0.0,0.0
2021-04-22,9422.0,0.0,0.0
2021-04-23,8037.0,0.0,0.0
2021-04-24,6639.0,0.0,0.0
2021-04-25,5255.0,0.0,0.0
2021-04-26,3857.0,23822.0,4681.0
2021-04-27,3417.0,0.0,0.0
2021-04-28,2964.0,0.0,0.0
2021-04-29,2511.0,0.0,0.0
2021-04-30,2058.0,0.0,0.0
2021-05-01,1605.0,0.0,0.0
2021-05-02,1152.0,0.0,0.0
2021-05-03,699.0,24182.0,4699.0
2021-05-04,1320.0,0.0,0.0
2021-05-05,1954.0,0.0,0.0
2021-05-06,2576.0,0.0,0.0
2021-05-07,3210.0,0.0,0.0
2021-05-08,3831.0,0.0,0.0
2021-05-09,4465.0,0.0,0.0
2021-05-10,5086.0,26931.0,4702.0
2021-05-11,4543.0,0.0,0.0
2021-05-12,3999.0,0.0,0.0
2021-05-13,3456.0,0.0,0.0
2021-05-14,2899.0,0.0,0.0
2021-05-15,2356.0,0.0,0.0
2021-05-16,1812.0,0.0,0.0
2021-05-17,1268.0,27613.0,4704.0
