Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-01,0.0,0.0,0.0
2021-03-02,27.0,0.0,0.0
2021-03-03,27.0,0.0,0.0
2021-03-04,27.0,0.0,0.0
2021-03-05,27.0,0.0,0.0
2021-03-06,27.0,0.0,0.0
2021-03-07,27.0,0.0,0.0
2021-03-08,27.0,6169.0,0.0
2021-03-09,42.0,0.0,0.0
2021-03-10,56.0,0.0,0.0
2021-03-11,71.0,0.0,0.0
2021-03-12,86.0,0.0,0.0
2021-03-13,101.0,0.0,0.0
2021-03-14,116.0,0.0,0.0
2021-03-15,130.0,0.0,0.0
2021-03-16,130.0,0.0,0.0
2021-03-17,130.0,0.0,0.0
2021-03-18,130.0,49000.0,0.0
2021-03-19,139.0,0.0,0.0
2021-03-20,148.0,0.0,0.0
2021-03-21,157.0,0.0,0.0
2021-03-22,166.0,0.0,0.0
2021-03-23,175.0,0.0,0.0
2021-03-24,184.0,87022.0,0.0
2021-03-25,203.0,0.0,0.0
2021-03-26,214.0,0.0,0.0
2021-03-27,224.0,0.0,0.0
2021-03-28,235.0,0.0,0.0
2021-03-29,245.0,130750.0,0.0
2021-03-30,245.0,0.0,0.0
2021-03-31,245.0,0.0,0.0
2021-04-01,235.0,0.0,0.0
2021-04-02,225.0,0.0,0.0
2021-04-03,214.0,0.0,0.0
2021-04-04,204.0,0.0,0.0
2021-04-05,193.0,0.0,0.0
2021-04-06,193.0,181578.0,0.0
2021-04-07,221.0,0.0,0.0
2021-04-08,249.0,0.0,0.0
2021-04-09,277.0,0.0,0.0
2021-04-10,305.0,0.0,0.0
2021-04-11,333.0,245442.0,0.0
2021-04-12,387.0,0.0,0.0
2021-04-13,441.0,0.0,0.0
2021-04-14,467.0,0.0,0.0
2021-04-15,493.0,0.0,0.0
2021-04-16,519.0,0.0,0.0
2021-04-17,545.0,0.0,0.0
2021-04-18,571.0,0.0,0.0
2021-04-19,571.0,395447.0,0.0
2021-04-20,555.0,0.0,0.0
2021-04-21,540.0,0.0,0.0
2021-04-22,525.0,0.0,0.0
2021-04-23,509.0,456349.0,0.0
2021-04-24,467.0,0.0,0.0
2021-04-25,424.0,0.0,0.0
2021-04-26,382.0,0.0,0.0
2021-04-27,354.0,0.0,0.0
2021-04-28,327.0,0.0,0.0
2021-04-29,300.0,0.0,0.0
2021-04-30,273.0,0.0,0.0
2021-05-01,273.0,0.0,0.0
2021-05-02,273.0,0.0,0.0
2021-05-03,273.0,0.0,0.0
2021-05-04,273.0,0.0,0.0
2021-05-05,273.0,0.0,0.0
2021-05-06,273.0,0.0,0.0
2021-05-07,273.0,0.0,0.0
2021-05-08,273.0,0.0,0.0
2021-05-09,273.0,0.0,0.0
2021-05-10,273.0,0.0,0.0
2021-05-11,273.0,0.0,0.0
2021-05-12,273.0,586377.0,40195.0
2021-05-13,273.0,0.0,0.0
2021-05-14,274.0,0.0,0.0
2021-05-15,275.0,0.0,0.0
2021-05-16,276.0,0.0,0.0
2021-05-17,277.0,0.0,0.0
2021-05-18,278.0,606287.0,75215.0
2021-05-19,349.0,0.0,0.0
2021-05-20,419.0,0.0,0.0
2021-05-21,490.0,630984.0,126551.0
2021-05-22,539.0,0.0,0.0
2021-05-23,588.0,0.0,0.0
2021-05-24,637.0,0.0,0.0
2021-05-25,687.0,0.0,0.0
2021-05-26,666.0,663049.0,196930.0
2021-05-27,598.0,0.0,0.0
2021-05-28,531.0,0.0,0.0
2021-05-29,485.0,0.0,0.0
2021-05-30,438.0,0.0,0.0
2021-05-31,392.0,679034.0,230181.0
