Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-16,0.0,0.0,0.0
2021-02-17,9139.0,0.0,0.0
2021-02-18,9139.0,0.0,0.0
2021-02-19,9139.0,0.0,0.0
2021-02-20,9139.0,0.0,0.0
2021-02-21,9139.0,0.0,0.0
2021-02-22,9139.0,0.0,0.0
2021-02-23,9139.0,0.0,0.0
2021-02-24,9139.0,0.0,0.0
2021-02-25,9139.0,0.0,0.0
2021-02-26,9139.0,0.0,0.0
2021-02-27,9139.0,0.0,0.0
2021-02-28,9139.0,0.0,0.0
2021-03-01,9139.0,0.0,0.0
2021-03-02,9139.0,0.0,0.0
2021-03-03,9139.0,0.0,0.0
2021-03-04,9139.0,0.0,0.0
2021-03-05,9139.0,0.0,0.0
2021-03-06,9139.0,0.0,0.0
2021-03-07,9139.0,0.0,0.0
2021-03-08,9139.0,0.0,0.0
2021-03-09,9139.0,0.0,0.0
2021-03-10,9139.0,0.0,0.0
2021-03-11,9139.0,0.0,0.0
2021-03-12,9139.0,0.0,0.0
2021-03-13,9139.0,0.0,0.0
2021-03-14,9139.0,0.0,0.0
2021-03-15,9139.0,24164.0,0.0
2021-03-16,8384.0,0.0,0.0
2021-03-17,7628.0,0.0,0.0
2021-03-18,6883.0,0.0,0.0
2021-03-19,6127.0,25677.0,0.0
2021-03-20,5004.0,0.0,0.0
2021-03-21,3880.0,0.0,0.0
2021-03-22,2757.0,0.0,0.0
2021-03-23,2379.0,0.0,0.0
2021-03-24,2012.0,0.0,0.0
2021-03-25,1644.0,26424.0,0.0
2021-03-26,1195.0,0.0,0.0
2021-03-27,1113.0,0.0,0.0
2021-03-28,1031.0,0.0,0.0
2021-03-29,950.0,0.0,0.0
2021-03-30,868.0,0.0,0.0
2021-03-31,786.0,26836.0,0.0
2021-04-01,694.0,0.0,0.0
2021-04-02,694.0,0.0,0.0
2021-04-03,684.0,27032.0,0.0
2021-04-04,664.0,0.0,0.0
2021-04-05,633.0,0.0,0.0
2021-04-06,613.0,0.0,0.0
2021-04-07,582.0,0.0,0.0
2021-04-08,562.0,0.0,0.0
2021-04-09,541.0,0.0,0.0
2021-04-10,521.0,0.0,0.0
2021-04-11,521.0,0.0,0.0
2021-04-12,521.0,0.0,0.0
2021-04-13,521.0,0.0,0.0
2021-04-14,521.0,27592.0,0.0
2021-04-15,1042.0,0.0,0.0
2021-04-16,1573.0,28414.0,0.0
2021-04-17,1828.0,28639.0,0.0
2021-04-18,2073.0,0.0,0.0
2021-04-19,2328.0,0.0,0.0
2021-04-20,2573.0,0.0,0.0
2021-04-21,2829.0,0.0,0.0
2021-04-22,2553.0,29754.0,0.0
2021-04-23,2083.0,0.0,0.0
2021-04-24,1889.0,0.0,0.0
2021-04-25,1685.0,0.0,0.0
2021-04-26,1491.0,0.0,0.0
2021-04-27,1297.0,0.0,0.0
2021-04-28,1103.0,0.0,0.0
2021-04-29,909.0,0.0,0.0
2021-04-30,909.0,0.0,0.0
2021-05-01,909.0,0.0,0.0
2021-05-02,909.0,0.0,0.0
2021-05-03,909.0,0.0,0.0
2021-05-04,909.0,0.0,0.0
2021-05-05,909.0,0.0,0.0
2021-05-06,909.0,0.0,0.0
2021-05-07,909.0,31085.0,0.0
2021-05-08,837.0,0.0,0.0
2021-05-09,776.0,0.0,0.0
2021-05-10,715.0,0.0,0.0
2021-05-11,643.0,31262.0,0.0
2021-05-12,1287.0,0.0,0.0
2021-05-13,1930.0,0.0,0.0
2021-05-14,2573.0,0.0,0.0
2021-05-15,3288.0,0.0,0.0
2021-05-16,3993.0,0.0,0.0
2021-05-17,4697.0,31860.0,2581.0
2021-05-18,6495.0,0.0,0.0
2021-05-19,7567.0,0.0,0.0
2021-05-20,8649.0,0.0,0.0
2021-05-21,9721.0,32469.0,7050.0
2021-05-22,9864.0,0.0,0.0
2021-05-23,9997.0,0.0,0.0
2021-05-24,10130.0,0.0,0.0
2021-05-25,9190.0,32759.0,9250.0
2021-05-26,10579.0,32876.0,11354.0
2021-05-27,11212.0,33024.0,12915.0
2021-05-28,11120.0,0.0,0.0
2021-05-29,11968.0,33214.0,15133.0
