Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-27,0.0,732.0,0.0
2020-12-28,145.0,2036.0,0.0
2020-12-29,163.0,3659.0,0.0
2020-12-30,159.0,5018.0,0.0
2020-12-31,119.0,5027.0,0.0
2021-01-01,95.0,5033.0,0.0
2021-01-02,80.0,5041.0,0.0
2021-01-03,68.0,5043.0,0.0
2021-01-04,50.0,5164.0,0.0
2021-01-05,53.0,6968.0,0.0
2021-01-06,44.0,7813.0,0.0
2021-01-07,95.0,11050.0,0.0
2021-01-08,303.0,24111.0,0.0
2021-01-09,373.0,28554.0,0.0
2021-01-10,408.0,30793.0,0.0
2021-01-11,496.0,36458.0,0.0
2021-01-12,704.0,51329.0,0.0
2021-01-13,941.0,67136.0,0.0
2021-01-14,1157.0,83994.0,0.0
2021-01-15,1242.0,102429.0,1.0
2021-01-16,1280.0,109269.0,11.0
2021-01-17,1335.0,114603.0,371.0
2021-01-18,1427.0,125190.0,1254.0
2021-01-19,1606.0,149842.0,2710.0
2021-01-20,1730.0,172206.0,4016.0
2021-01-21,1778.0,191933.0,4181.0
2021-01-22,1671.0,202995.0,4763.0
2021-01-23,1612.0,206131.0,4764.0
2021-01-24,1541.0,207382.0,4768.0
2021-01-25,1383.0,208775.0,4878.0
2021-01-26,1107.0,216590.0,5778.0
2021-01-27,860.0,224133.0,6301.0
2021-01-28,702.0,231417.0,8944.0
2021-01-29,756.0,236787.0,18639.0
2021-01-30,765.0,238126.0,21009.0
2021-01-31,767.0,238486.0,22012.0
2021-02-01,818.0,240072.0,25126.0
2021-02-02,957.0,243205.0,39480.0
2021-02-03,1118.0,246443.0,54459.0
2021-02-04,1287.0,249518.0,71983.0
2021-02-05,1386.0,253672.0,89118.0
2021-02-06,1472.0,256444.0,95489.0
2021-02-07,1530.0,257071.0,99907.0
2021-02-08,1610.0,259130.0,107597.0
2021-02-09,1643.0,261996.0,124254.0
2021-02-10,1702.0,265606.0,142574.0
2021-02-11,1767.0,271007.0,161893.0
2021-02-12,1855.0,279559.0,180211.0
2021-02-13,1876.0,284908.0,185320.0
2021-02-14,1829.0,285370.0,186889.0
2021-02-15,1787.0,289303.0,190094.0
2021-02-16,1711.0,296357.0,197741.0
2021-02-17,1676.0,306525.0,207347.0
2021-02-18,1602.0,318431.0,215449.0
2021-02-19,1516.0,331431.0,223901.0
2021-02-20,1557.0,342779.0,225601.0
2021-02-21,1620.0,348398.0,225970.0
2021-02-22,1617.0,353520.0,227806.0
2021-02-23,1621.0,364032.0,232257.0
2021-02-24,1622.0,380443.0,235715.0
2021-02-25,1624.0,396896.0,239338.0
2021-02-26,1749.0,421399.0,244201.0
2021-02-27,1940.0,444532.0,246161.0
2021-02-28,2006.0,454222.0,246605.0
2021-03-01,2036.0,462231.0,247471.0
2021-03-02,2204.0,485407.0,249860.0
2021-03-03,2333.0,511015.0,252220.0
2021-03-04,2450.0,535711.0,254990.0
2021-03-05,2574.0,569886.0,257997.0
2021-03-06,2622.0,595474.0,260495.0
2021-03-07,2650.0,606724.0,261149.0
2021-03-08,2694.0,616975.0,262537.0
2021-03-09,2740.0,641915.0,266075.0
2021-03-10,2755.0,666330.0,270582.0
2021-03-11,3029.0,705670.0,275987.0
2021-03-12,3367.0,758792.0,281378.0
2021-03-13,3751.0,805350.0,287130.0
2021-03-14,4037.0,831014.0,291354.0
2021-03-15,4186.0,849754.0,293679.0
2021-03-16,4187.0,871878.0,300103.0
2021-03-17,4273.0,898046.0,308244.0
2021-03-18,4116.0,924750.0,316394.0
2021-03-19,4043.0,970060.0,325013.0
2021-03-20,3962.0,1007695.0,334603.0
2021-03-21,3734.0,1019327.0,338482.0
2021-03-22,3653.0,1032699.0,341053.0
2021-03-23,3766.0,1051769.0,357629.0
2021-03-24,3848.0,1073379.0,375526.0
2021-03-25,4025.0,1102864.0,392027.0
2021-03-26,3975.0,1135020.0,410628.0
2021-03-27,3881.0,1161740.0,425249.0
2021-03-28,3866.0,1171590.0,429931.0
2021-03-29,4034.0,1192641.0,435459.0
2021-03-30,4124.0,1222178.0,447190.0
2021-03-31,4056.0,1244351.0,460246.0
2021-04-01,3990.0,1267142.0,479333.0
2021-04-02,3882.0,1291857.0,498553.0
2021-04-03,3572.0,1304602.0,507588.0
2021-04-04,3501.0,1312893.0,509348.0
2021-04-05,3278.0,1320661.0,514115.0
2021-04-06,3228.0,1346828.0,526052.0
2021-04-07,3551.0,1386354.0,542151.0
2021-04-08,4038.0,1433233.0,567858.0
2021-04-09,4584.0,1478422.0,601012.0
2021-04-10,5274.0,1514878.0,629792.0
2021-04-11,5525.0,1525166.0,645406.0
2021-04-12,5880.0,1553064.0,652416.0
2021-04-13,5990.0,1586506.0,663987.0
2021-04-14,6173.0,1640237.0,677436.0
2021-04-15,6196.0,1695351.0,696377.0
2021-04-16,6066.0,1747078.0,714774.0
2021-04-17,5939.0,1782999.0,736127.0
2021-04-18,5833.0,1797870.0,740410.0
2021-04-19,5781.0,1823818.0,746144.0
2021-04-20,5783.0,1856381.0,758716.0
2021-04-21,5716.0,1908614.0,769404.0
2021-04-22,5659.0,1968617.0,779911.0
2021-04-23,5625.0,2025254.0,791228.0
2021-04-24,5350.0,2059413.0,797014.0
2021-04-25,5485.0,2085266.0,798812.0
2021-04-26,5468.0,2112385.0,802307.0
2021-04-27,5510.0,2148984.0,813516.0
2021-04-28,5430.0,2192482.0,827884.0
2021-04-29,5514.0,2253240.0,842965.0
2021-04-30,5708.0,2319823.0,856559.0
2021-05-01,5735.0,2353601.0,864598.0
2021-05-02,5560.0,2368821.0,865972.0
2021-05-03,5537.0,2386684.0,878124.0
2021-05-04,5746.0,2427604.0,899826.0
2021-05-05,6053.0,2487635.0,917645.0
2021-05-06,6381.0,2564831.0,938046.0
2021-05-07,6821.0,2650530.0,961126.0
2021-05-08,6984.0,2684053.0,980475.0
2021-05-09,7015.0,2696539.0,986525.0
2021-05-10,7233.0,2729388.0,997592.0
2021-05-11,7307.0,2778173.0,1015374.0
2021-05-12,7665.0,2855587.0,1039208.0
2021-05-13,6666.0,2881667.0,1047382.0
2021-05-14,6375.0,2948149.0,1071385.0
2021-05-15,6495.0,2992080.0,1088021.0
2021-05-16,6581.0,3009637.0,1095090.0
