Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-13,0.0,0.0,0.0
2021-03-14,280.0,100.0,0.0
2021-03-15,392.0,0.0,0.0
2021-03-16,430.0,0.0,0.0
2021-03-17,448.0,0.0,0.0
2021-03-18,460.0,0.0,0.0
2021-03-19,468.0,0.0,0.0
2021-03-20,473.0,0.0,0.0
2021-03-21,506.0,1500.0,0.0
2021-03-22,717.0,0.0,0.0
2021-03-23,931.0,0.0,0.0
2021-03-24,1144.0,0.0,0.0
2021-03-25,1358.0,0.0,0.0
2021-03-26,1572.0,0.0,0.0
2021-03-27,1785.0,0.0,0.0
2021-03-28,1999.0,7000.0,0.0
2021-03-29,1821.0,0.0,0.0
2021-03-30,1645.0,0.0,0.0
2021-03-31,1470.0,0.0,0.0
2021-04-01,1292.0,0.0,0.0
2021-04-02,1116.0,0.0,0.0
2021-04-03,938.0,0.0,0.0
2021-04-04,763.0,0.0,0.0
2021-04-05,763.0,0.0,0.0
2021-04-06,763.0,0.0,0.0
2021-04-07,763.0,10000.0,0.0
2021-04-08,1109.0,0.0,0.0
2021-04-09,1452.0,0.0,0.0
2021-04-10,1798.0,0.0,0.0
2021-04-11,2144.0,15000.0,0.0
2021-04-12,2314.0,0.0,0.0
2021-04-13,2482.0,0.0,0.0
2021-04-14,2652.0,0.0,0.0
2021-04-15,2477.0,0.0,0.0
2021-04-16,2301.0,0.0,0.0
2021-04-17,2126.0,0.0,0.0
2021-04-18,1950.0,0.0,0.0
2021-04-19,1950.0,0.0,0.0
2021-04-20,1950.0,21907.0,0.0
2021-04-21,1869.0,0.0,0.0
2021-04-22,1788.0,0.0,0.0
2021-04-23,1704.0,0.0,0.0
2021-04-24,1622.0,0.0,0.0
2021-04-25,1538.0,0.0,0.0
2021-04-26,1457.0,0.0,0.0
2021-04-27,1376.0,25692.0,0.0
2021-04-28,1490.0,0.0,0.0
2021-04-29,1607.0,0.0,0.0
2021-04-30,1722.0,0.0,0.0
2021-05-01,1839.0,0.0,0.0
2021-05-02,1953.0,0.0,0.0
2021-05-03,2070.0,0.0,0.0
2021-05-04,2184.0,0.0,0.0
2021-05-05,2184.0,0.0,0.0
2021-05-06,2184.0,0.0,0.0
2021-05-07,2184.0,0.0,0.0
2021-05-08,2184.0,0.0,0.0
2021-05-09,2184.0,36000.0,0.0
2021-05-10,2304.0,0.0,0.0
2021-05-11,2423.0,0.0,0.0
2021-05-12,2543.0,0.0,0.0
2021-05-13,2660.0,0.0,0.0
2021-05-14,2779.0,0.0,0.0
2021-05-15,2899.0,0.0,0.0
2021-05-16,3018.0,0.0,0.0
2021-05-17,3018.0,0.0,0.0
2021-05-18,3018.0,0.0,0.0
2021-05-19,3018.0,0.0,0.0
2021-05-20,3018.0,0.0,0.0
2021-05-21,3018.0,44226.0,6016.0
2021-05-22,2805.0,0.0,0.0
2021-05-23,2591.0,0.0,0.0
2021-05-24,2378.0,0.0,0.0
2021-05-25,2164.0,0.0,0.0
2021-05-26,1950.0,0.0,0.0
2021-05-27,1737.0,0.0,0.0
2021-05-28,1523.0,0.0,0.0
2021-05-29,1523.0,46378.0,8659.0
