Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-26,0.0,0.0,0.0
2021-03-27,111389.0,85949.0,0.0
2021-03-28,118759.0,183271.0,0.0
2021-03-29,118671.0,274703.0,0.0
2021-03-30,110456.0,340917.0,0.0
2021-03-31,102322.0,394765.0,0.0
2021-04-01,93924.0,434837.0,0.0
2021-04-02,83979.0,453595.0,0.0
2021-04-03,69206.0,459752.0,0.0
2021-04-04,52495.0,466811.0,0.0
2021-04-05,35842.0,468297.0,0.0
2021-04-06,23836.0,469664.0,0.0
2021-04-07,14109.0,470976.0,0.0
2021-04-08,6906.0,472139.0,0.0
2021-04-09,3665.0,473393.0,0.0
2021-04-10,2670.0,474175.0,0.0
2021-04-11,1387.0,474303.0,0.0
2021-04-12,1362.0,475651.0,0.0
2021-04-13,1310.0,476740.0,0.0
2021-04-14,1126.0,477060.0,0.0
2021-04-15,1017.0,477631.0,0.0
2021-04-16,893.0,478219.0,0.0
2021-04-17,800.0,478495.0,0.0
2021-04-18,783.0,478533.0,0.0
2021-04-19,597.0,478879.0,0.0
2021-04-20,424.0,479032.0,0.0
2021-04-21,421.0,479333.0,0.0
2021-04-22,319.0,479354.0,0.0
2021-04-23,236.0,479495.0,0.0
2021-04-24,219.0,479679.0,0.0
2021-04-25,214.0,479686.0,0.0
2021-04-26,214.0,480035.0,0.0
2021-04-27,213.0,480181.0,0.0
2021-04-28,167.0,480237.0,0.0
2021-04-29,180.0,480330.0,0.0
2021-04-30,171.0,480422.0,0.0
2021-05-01,152.0,480498.0,0.0
2021-05-02,150.0,480498.0,0.0
2021-05-03,115.0,0.0,0.0
2021-05-04,118.0,480818.0,0.0
2021-05-05,136.0,480971.0,0.0
2021-05-06,144.0,481107.0,0.0
2021-05-07,181.0,481400.0,0.0
2021-05-08,184.0,481491.0,0.0
2021-05-09,196.0,0.0,0.0
2021-05-10,178.0,481617.0,0.0
2021-05-11,176.0,481768.0,0.0
2021-05-12,168.0,481880.0,0.0
2021-05-13,150.0,0.0,0.0
2021-05-14,102.0,481953.0,0.0
2021-05-15,101.0,482038.0,0.0
2021-05-16,89.0,482039.0,0.0
2021-05-17,95.0,482128.0,0.0
2021-05-18,79.0,482192.0,0.0
2021-05-19,62.0,482214.0,0.0
2021-05-20,73.0,482308.0,0.0
2021-05-21,92.0,482449.0,0.0
2021-05-22,88.0,482512.0,0.0
2021-05-23,93.0,0.0,0.0
2021-05-24,83.0,482578.0,0.0
2021-05-25,84.0,482645.0,0.0
2021-05-26,86.0,482673.0,0.0
2021-05-27,75.0,482716.0,0.0
