Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-11,0.0,0.0,0.0
2021-02-12,80.0,0.0,0.0
2021-02-13,80.0,0.0,0.0
2021-02-14,80.0,0.0,0.0
2021-02-15,80.0,0.0,0.0
2021-02-16,80.0,0.0,0.0
2021-02-17,80.0,0.0,0.0
2021-02-18,80.0,0.0,0.0
2021-02-19,80.0,0.0,0.0
2021-02-20,80.0,0.0,0.0
2021-02-21,80.0,0.0,0.0
2021-02-22,80.0,0.0,0.0
2021-02-23,80.0,0.0,0.0
2021-02-24,80.0,0.0,0.0
2021-02-25,80.0,0.0,0.0
2021-02-26,80.0,0.0,0.0
2021-02-27,80.0,0.0,0.0
2021-02-28,80.0,0.0,0.0
2021-03-01,80.0,0.0,0.0
2021-03-02,80.0,0.0,0.0
2021-03-03,80.0,0.0,0.0
2021-03-04,80.0,0.0,0.0
2021-03-05,80.0,0.0,0.0
2021-03-06,80.0,0.0,0.0
2021-03-07,80.0,0.0,0.0
2021-03-08,80.0,0.0,0.0
2021-03-09,80.0,0.0,0.0
2021-03-10,80.0,0.0,0.0
2021-03-11,80.0,0.0,0.0
2021-03-12,80.0,0.0,0.0
2021-03-13,80.0,0.0,0.0
2021-03-14,80.0,0.0,0.0
2021-03-15,80.0,0.0,0.0
2021-03-16,80.0,0.0,0.0
2021-03-17,80.0,0.0,0.0
2021-03-18,80.0,0.0,0.0
2021-03-19,80.0,0.0,0.0
2021-03-20,80.0,0.0,0.0
2021-03-21,80.0,0.0,0.0
2021-03-22,80.0,0.0,0.0
2021-03-23,80.0,0.0,0.0
2021-03-24,80.0,0.0,0.0
2021-03-25,80.0,0.0,0.0
2021-03-26,80.0,0.0,0.0
2021-03-27,80.0,0.0,0.0
2021-03-28,80.0,0.0,0.0
2021-03-29,80.0,0.0,0.0
2021-03-30,80.0,0.0,0.0
2021-03-31,80.0,0.0,0.0
2021-04-01,80.0,0.0,0.0
2021-04-02,80.0,0.0,0.0
2021-04-03,80.0,0.0,0.0
2021-04-04,80.0,0.0,0.0
2021-04-05,80.0,0.0,0.0
2021-04-06,80.0,0.0,0.0
2021-04-07,80.0,0.0,0.0
2021-04-08,80.0,0.0,0.0
2021-04-09,80.0,15000.0,0.0
2021-04-10,290.0,0.0,0.0
2021-04-11,500.0,0.0,0.0
2021-04-12,710.0,0.0,0.0
2021-04-13,919.0,0.0,0.0
2021-04-14,1129.0,0.0,0.0
2021-04-15,1339.0,0.0,0.0
2021-04-16,1549.0,0.0,0.0
2021-04-17,1549.0,0.0,0.0
2021-04-18,1549.0,0.0,0.0
2021-04-19,1549.0,0.0,0.0
2021-04-20,1549.0,0.0,0.0
2021-04-21,1549.0,0.0,0.0
2021-04-22,1549.0,0.0,0.0
2021-04-23,1549.0,0.0,0.0
2021-04-24,1549.0,0.0,0.0
2021-04-25,1549.0,0.0,0.0
2021-04-26,1549.0,63376.0,0.0
2021-04-27,1549.0,83260.0,23204.0
2021-04-28,1391.0,0.0,0.0
2021-04-29,1233.0,0.0,0.0
2021-04-30,1075.0,0.0,0.0
2021-05-01,917.0,0.0,0.0
2021-05-02,759.0,0.0,0.0
2021-05-03,601.0,0.0,0.0
2021-05-04,443.0,0.0,0.0
2021-05-05,443.0,0.0,0.0
2021-05-06,443.0,0.0,0.0
2021-05-07,443.0,0.0,0.0
2021-05-08,443.0,0.0,0.0
2021-05-09,443.0,0.0,0.0
2021-05-10,443.0,0.0,0.0
2021-05-11,443.0,0.0,0.0
2021-05-12,443.0,0.0,0.0
2021-05-13,443.0,0.0,0.0
2021-05-14,443.0,0.0,0.0
2021-05-15,443.0,0.0,0.0
2021-05-16,443.0,0.0,0.0
2021-05-17,443.0,0.0,0.0
2021-05-18,443.0,102803.0,34162.0
2021-05-19,975.0,0.0,0.0
2021-05-20,1507.0,0.0,0.0
2021-05-21,2040.0,0.0,0.0
2021-05-22,2572.0,0.0,0.0
2021-05-23,3104.0,0.0,0.0
2021-05-24,3637.0,0.0,0.0
2021-05-25,4169.0,188848.0,43858.0
