Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-16,0.0,0.0,0.0
2021-01-17,1.0,112.0,0.0
2021-01-18,3.0,1109.0,0.0
2021-01-19,18.0,11470.0,0.0
2021-01-20,34.0,28543.0,0.0
2021-01-21,128.0,136519.0,0.0
2021-01-22,193.0,245877.0,0.0
2021-01-23,361.0,537774.0,0.0
2021-01-24,406.0,604722.0,0.0
2021-01-25,470.0,700608.0,0.0
2021-01-26,563.0,848883.0,0.0
2021-01-27,740.0,1129885.0,0.0
2021-01-28,883.0,1450900.0,0.0
2021-01-29,956.0,1656851.0,0.0
2021-01-30,985.0,1923813.0,0.0
2021-01-31,988.0,2046523.0,0.0
2021-02-01,957.0,2107624.0,0.0
2021-02-02,970.0,2292551.0,0.0
2021-02-03,935.0,2521704.0,0.0
2021-02-04,1090.0,3073057.0,0.0
2021-02-05,946.0,3074906.0,0.0
2021-02-06,940.0,3399421.0,1962.0
2021-02-07,994.0,3534004.0,19677.0
2021-02-08,996.0,3579850.0,25688.0
2021-02-09,1027.0,3786591.0,33616.0
2021-02-10,1074.0,4069677.0,50655.0
2021-02-11,896.0,4326075.0,80760.0
2021-02-12,1090.0,4586270.0,109866.0
2021-02-13,1159.0,4946738.0,178468.0
2021-02-14,1131.0,5042713.0,194230.0
2021-02-15,1135.0,5076110.0,217869.0
2021-02-16,1203.0,5324317.0,285620.0
2021-02-17,1185.0,5326007.0,557532.0
2021-02-18,1210.0,5482925.0,723755.0
2021-02-19,1236.0,5640483.0,894673.0
2021-02-20,1134.0,5756361.0,1056807.0
2021-02-21,1152.0,5817908.0,1132894.0
2021-02-22,1166.0,5857080.0,1171276.0
2021-02-23,1134.0,6002873.0,1294188.0
2021-02-24,1121.0,6116082.0,1435594.0
2021-02-25,1070.0,6202055.0,1596945.0
2021-02-26,1053.0,6346769.0,1755018.0
2021-02-27,1014.0,6437836.0,1884206.0
2021-02-28,997.0,6518628.0,1914940.0
2021-03-01,966.0,6542206.0,1923197.0
2021-03-02,1038.0,6806293.0,2034734.0
2021-03-03,1160.0,7114219.0,2163103.0
2021-03-04,1304.0,7417852.0,2321824.0
2021-03-05,1389.0,7701146.0,2468014.0
2021-03-06,1267.0,0.0,0.0
2021-03-07,1218.0,0.0,0.0
2021-03-08,1223.0,0.0,0.0
2021-03-09,997.0,0.0,0.0
2021-03-10,729.0,7851531.0,2510956.0
2021-03-11,673.0,8092244.0,2648615.0
2021-03-12,659.0,8360366.0,2789164.0
2021-03-13,776.0,8512960.0,2849230.0
2021-03-14,790.0,8561847.0,2860819.0
2021-03-15,1082.0,8919356.0,2976204.0
2021-03-16,1321.0,0.0,0.0
2021-03-17,1559.0,9451188.0,3231102.0
2021-03-18,1527.0,9709526.0,3303805.0
2021-03-19,1469.0,9970231.0,3365497.0
2021-03-20,1423.0,10099070.0,3380095.0
2021-03-21,1438.0,10168973.0,3393203.0
2021-03-22,1493.0,10609471.0,3507089.0
2021-03-23,1963.0,11559487.0,3649714.0
2021-03-24,2192.0,12148769.0,3795195.0
2021-03-25,2382.0,12639545.0,3917526.0
2021-03-26,2485.0,13053114.0,3979754.0
2021-03-27,2715.0,13487207.0,4031876.0
2021-03-28,2786.0,13659406.0,4047577.0
2021-03-29,2665.0,13988029.0,4094124.0
2021-03-30,2025.0,14112509.0,4110050.0
2021-03-31,2159.0,14921376.0,4234605.0
2021-04-01,2243.0,0.0,0.0
2021-04-02,2419.0,16099532.0,4533345.0
2021-04-03,2310.0,16377083.0,4579687.0
2021-04-04,2260.0,16472281.0,4597847.0
2021-04-05,2607.0,17128933.0,4832020.0
2021-04-06,3111.0,17791338.0,5059453.0
