Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-29,0.0,1719.0,0.0
2020-12-30,416.0,4608.0,0.0
2020-12-31,213.0,0.0,0.0
2021-01-01,145.0,4739.0,0.0
2021-01-02,115.0,0.0,0.0
2021-01-03,97.0,0.0,0.0
2021-01-04,85.0,0.0,0.0
2021-01-05,77.0,5448.0,0.0
2021-01-06,68.0,7913.0,0.0
2021-01-07,132.0,11117.0,0.0
2021-01-08,177.0,13355.0,0.0
2021-01-09,176.0,13473.0,0.0
2021-01-10,179.0,0.0,0.0
2021-01-11,183.0,14161.0,0.0
2021-01-12,212.0,15780.0,0.0
2021-01-13,188.0,17038.0,0.0
2021-01-14,135.0,17686.0,0.0
2021-01-15,98.0,18126.0,0.0
2021-01-16,100.0,18332.0,0.0
2021-01-17,95.0,18453.0,0.0
2021-01-18,113.0,18524.0,1114.0
2021-01-19,133.0,19058.0,3168.0
2021-01-20,146.0,19834.0,4293.0
2021-01-21,156.0,20719.0,4532.0
2021-01-22,164.0,21496.0,4605.0
2021-01-23,160.0,21509.0,4610.0
2021-01-24,158.0,21533.0,4610.0
2021-01-25,147.0,22129.0,4669.0
2021-01-26,142.0,23667.0,5455.0
2021-01-27,181.0,25245.0,7672.0
2021-01-28,255.0,26753.0,10883.0
2021-01-29,302.0,27856.0,12949.0
2021-01-30,306.0,27957.0,13063.0
2021-01-31,308.0,28041.0,13084.0
2021-02-01,326.0,28978.0,13656.0
2021-02-02,345.0,30817.0,15100.0
2021-02-03,354.0,33691.0,16433.0
2021-02-04,337.0,36929.0,17096.0
2021-02-05,330.0,39468.0,17392.0
2021-02-06,329.0,39624.0,17392.0
2021-02-07,327.0,39646.0,17392.0
2021-02-08,334.0,41407.0,17481.0
2021-02-09,340.0,44482.0,17946.0
2021-02-10,330.0,47551.0,18612.0
2021-02-11,352.0,51435.0,19688.0
2021-02-12,367.0,54123.0,20571.0
2021-02-13,376.0,54646.0,20674.0
2021-02-14,377.0,54690.0,20698.0
2021-02-15,381.0,56113.0,21323.0
2021-02-16,389.0,58562.0,22776.0
2021-02-17,406.0,61813.0,24107.0
2021-02-18,399.0,65073.0,25441.0
2021-02-19,608.0,77518.0,26750.0
2021-02-20,679.0,81433.0,26923.0
2021-02-21,904.0,92381.0,26973.0
2021-02-22,1103.0,103111.0,27952.0
2021-02-23,1375.0,118549.0,29677.0
2021-02-24,1697.0,136454.0,32008.0
2021-02-25,2015.0,153793.0,34719.0
2021-02-26,2059.0,167258.0,37181.0
2021-02-27,2085.0,172393.0,37367.0
2021-02-28,1914.0,175066.0,37379.0
2021-03-01,1901.0,184764.0,38775.0
2021-03-02,1964.0,202247.0,41525.0
2021-03-03,1639.0,206296.0,41873.0
2021-03-04,1645.0,221832.0,46712.0
