Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-09,0.0,0.0,0.0
2021-02-10,20.0,339.0,0.0
2021-02-11,27.0,0.0,0.0
2021-02-12,30.0,1492.0,0.0
2021-02-13,50.0,0.0,0.0
2021-02-14,63.0,0.0,0.0
2021-02-15,71.0,7091.0,0.0
2021-02-16,94.0,11016.0,0.0
2021-02-17,101.0,12167.0,0.0
2021-02-18,134.0,16612.0,0.0
2021-02-19,172.0,21660.0,0.0
2021-02-20,184.0,0.0,0.0
2021-02-21,196.0,28134.0,0.0
2021-02-22,259.0,37379.0,0.0
2021-02-23,286.0,44505.0,0.0
2021-02-24,360.0,54286.0,64.0
2021-02-25,373.0,59928.0,342.0
2021-02-26,360.0,63217.0,608.0
2021-02-27,358.0,0.0,0.0
2021-02-28,356.0,68299.0,1478.0
2021-03-01,425.0,84736.0,2333.0
2021-03-02,596.0,108409.0,5874.0
2021-03-03,694.0,125668.0,9875.0
2021-03-04,777.0,140096.0,11135.0
2021-03-05,888.0,153718.0,14055.0
2021-03-06,958.0,162927.0,15983.0
2021-03-07,985.0,167487.0,17565.0
2021-03-08,953.0,175675.0,22961.0
2021-03-09,918.0,188026.0,33646.0
2021-03-10,1013.0,214209.0,39881.0
2021-03-11,1142.0,237379.0,47515.0
2021-03-12,1200.0,255641.0,52532.0
2021-03-13,1267.0,270466.0,56784.0
2021-03-14,1298.0,279307.0,57593.0
2021-03-15,1260.0,286020.0,60115.0
2021-03-16,1290.0,297585.0,75100.0
2021-03-17,1272.0,308459.0,94458.0
2021-03-18,1174.0,0.0,0.0
2021-03-19,1140.0,317247.0,124393.0
2021-03-20,1104.0,322021.0,134482.0
2021-03-21,1085.0,323689.0,140183.0
2021-03-22,1107.0,328401.0,147302.0
2021-03-23,994.0,334311.0,154679.0
2021-03-24,879.0,341912.0,163918.0
2021-03-25,934.0,354087.0,177532.0
2021-03-26,987.0,366169.0,190944.0
2021-03-27,1065.0,376147.0,205039.0
2021-03-28,1124.0,383462.0,212004.0
2021-03-29,1162.0,391456.0,220195.0
2021-03-30,1186.0,400666.0,227103.0
2021-03-31,1196.0,407249.0,238516.0
2021-04-01,1198.0,430117.0,241730.0
2021-04-02,1402.0,475856.0,245325.0
2021-04-03,1678.0,529935.0,247579.0
2021-04-04,2004.0,581591.0,248440.0
2021-04-05,2349.0,635244.0,251280.0
2021-04-06,2717.0,692569.0,253146.0
2021-04-07,3126.0,756526.0,255123.0
2021-04-08,3413.0,813826.0,257434.0
2021-04-09,3869.0,913171.0,260864.0
2021-04-10,3935.0,972028.0,265960.0
2021-04-11,3901.0,1018605.0,267980.0
2021-04-12,4144.0,1099811.0,271725.0
2021-04-13,4279.0,1170029.0,276428.0
2021-04-14,4020.0,1203636.0,278487.0
2021-04-15,3739.0,1223322.0,285491.0
2021-04-16,3143.0,1241947.0,299949.0
2021-04-17,2712.0,1253531.0,301907.0
2021-04-18,2329.0,1257214.0,301914.0
2021-04-19,2431.0,1274846.0,381180.0
2021-04-20,2260.0,1277688.0,433244.0
2021-04-21,2506.0,1280434.0,494930.0
2021-04-22,2881.0,1281406.0,564566.0
2021-04-23,3196.0,1282196.0,633770.0
2021-04-24,3615.0,1293974.0,684574.0
2021-04-25,4006.0,1295660.0,732308.0
2021-04-26,3568.0,1295973.0,777643.0
2021-04-27,3474.0,1298851.0,818713.0
2021-04-28,3452.0,0.0,0.0
2021-04-29,3376.0,1329433.0,911669.0
2021-04-30,3151.0,1339566.0,945222.0
2021-05-01,3043.0,1363820.0,970889.0
2021-05-02,3243.0,1422722.0,984781.0
2021-05-03,3385.0,1465985.0,1003837.0
2021-05-04,3637.0,1515447.0,1027787.0
2021-05-05,3671.0,1565292.0,1043691.0
2021-05-06,3807.0,1606007.0,1080684.0
2021-05-07,4109.0,1663249.0,1102373.0
2021-05-08,4203.0,1718708.0,1107881.0
2021-05-09,4079.0,1773994.0,1110928.0
2021-05-10,4041.0,1825488.0,1117280.0
2021-05-11,3916.0,1877840.0,1123726.0
2021-05-12,3934.0,1939773.0,1129564.0
2021-05-13,3811.0,1996775.0,1135911.0
2021-05-14,3549.0,2040255.0,1140660.0
2021-05-15,3317.0,2066813.0,1148022.0
2021-05-16,3269.0,2082282.0,1185234.0
2021-05-17,3335.0,2100151.0,1232928.0
2021-05-18,3543.0,2133116.0,1283149.0
2021-05-19,3713.0,2168239.0,1335645.0
2021-05-20,3914.0,2198547.0,1392182.0
2021-05-21,4210.0,2226446.0,1447193.0
2021-05-22,4719.0,2253044.0,1514072.0
2021-05-23,4892.0,2269860.0,1570167.0
2021-05-24,5082.0,2280875.0,1646994.0
2021-05-25,5034.0,2306822.0,1698551.0
2021-05-26,5208.0,2362101.0,1751283.0
2021-05-27,5375.0,2418285.0,1801448.0
2021-05-28,5600.0,2464835.0,1864199.0
2021-05-29,5734.0,2514790.0,1923406.0
2021-05-30,5886.0,2567493.0,1961346.0
2021-05-31,5859.0,2625338.0,1988224.0
