Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-04-11,0.0,0.0,0.0
2021-04-12,15.0,400.0,0.0
2021-04-13,19.0,0.0,0.0
2021-04-14,21.0,0.0,0.0
2021-04-15,21.0,0.0,0.0
2021-04-16,22.0,0.0,0.0
2021-04-17,22.0,0.0,0.0
2021-04-18,22.0,0.0,0.0
2021-04-19,24.0,0.0,0.0
2021-04-20,24.0,0.0,0.0
2021-04-21,24.0,0.0,0.0
2021-04-22,24.0,0.0,0.0
2021-04-23,24.0,0.0,0.0
2021-04-24,24.0,0.0,0.0
2021-04-25,24.0,0.0,0.0
2021-04-26,24.0,0.0,0.0
2021-04-27,24.0,0.0,0.0
2021-04-28,24.0,0.0,0.0
2021-04-29,24.0,11000.0,0.0
2021-04-30,34.0,0.0,0.0
2021-05-01,44.0,0.0,0.0
2021-05-02,55.0,0.0,0.0
2021-05-03,65.0,0.0,0.0
2021-05-04,76.0,0.0,0.0
2021-05-05,86.0,0.0,0.0
2021-05-06,97.0,0.0,0.0
2021-05-07,97.0,0.0,0.0
2021-05-08,97.0,0.0,0.0
2021-05-09,97.0,0.0,0.0
2021-05-10,97.0,0.0,0.0
2021-05-11,97.0,0.0,0.0
2021-05-12,97.0,43488.0,903.0
2021-05-13,86.0,0.0,0.0
2021-05-14,75.0,0.0,0.0
2021-05-15,64.0,0.0,0.0
2021-05-16,53.0,0.0,0.0
2021-05-17,42.0,0.0,0.0
2021-05-18,30.0,45706.0,1782.0
2021-05-19,21.0,0.0,0.0
2021-05-20,23.0,0.0,0.0
2021-05-21,25.0,46658.0,3448.0
2021-05-22,35.0,0.0,0.0
2021-05-23,44.0,0.0,0.0
2021-05-24,54.0,51925.0,5083.0
2021-05-25,72.0,0.0,0.0
2021-05-26,89.0,56583.0,8246.0
2021-05-27,95.0,0.0,0.0
2021-05-28,102.0,0.0,0.0
2021-05-29,100.0,0.0,0.0
2021-05-30,99.0,0.0,0.0
2021-05-31,98.0,63404.0,11811.0
