Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-05-12,0.0,667.0,0.0
2021-05-13,193.0,0.0,0.0
2021-05-14,193.0,0.0,0.0
2021-05-15,193.0,0.0,0.0
2021-05-16,193.0,0.0,0.0
2021-05-17,193.0,0.0,0.0
2021-05-18,193.0,0.0,0.0
2021-05-19,193.0,0.0,0.0
2021-05-20,193.0,0.0,0.0
2021-05-21,193.0,0.0,0.0
2021-05-22,193.0,0.0,0.0
2021-05-23,193.0,0.0,0.0
2021-05-24,193.0,0.0,0.0
2021-05-25,193.0,0.0,0.0
2021-05-26,193.0,0.0,0.0
2021-05-27,193.0,0.0,0.0
2021-05-28,193.0,0.0,0.0
2021-05-29,193.0,0.0,0.0
2021-05-30,193.0,0.0,0.0
2021-05-31,193.0,17691.0,717.0
