Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-15,0.0,0.0,0.0
2020-12-16,130.0,0.0,0.0
2020-12-17,130.0,0.0,0.0
2020-12-18,130.0,0.0,0.0
2020-12-19,130.0,0.0,0.0
2020-12-20,130.0,0.0,0.0
2020-12-21,130.0,0.0,0.0
2020-12-22,130.0,0.0,0.0
2020-12-23,130.0,0.0,0.0
2020-12-24,130.0,0.0,0.0
2020-12-25,130.0,0.0,0.0
2020-12-26,130.0,0.0,0.0
2020-12-27,130.0,0.0,0.0
2020-12-28,130.0,0.0,0.0
2020-12-29,130.0,0.0,0.0
2020-12-30,130.0,0.0,0.0
2020-12-31,130.0,0.0,0.0
2021-01-01,161.0,0.0,0.0
2021-01-02,192.0,0.0,0.0
2021-01-03,223.0,0.0,0.0
2021-01-04,254.0,0.0,0.0
2021-01-05,285.0,0.0,0.0
2021-01-06,316.0,0.0,0.0
2021-01-07,347.0,0.0,0.0
2021-01-08,347.0,0.0,0.0
2021-01-09,347.0,0.0,0.0
2021-01-10,323.0,0.0,0.0
2021-01-11,298.0,0.0,0.0
2021-01-12,273.0,0.0,0.0
2021-01-13,248.0,0.0,0.0
2021-01-14,269.0,0.0,0.0
2021-01-15,291.0,0.0,0.0
2021-01-16,312.0,0.0,0.0
2021-01-17,358.0,0.0,0.0
2021-01-18,404.0,0.0,0.0
2021-01-19,450.0,0.0,0.0
2021-01-20,496.0,0.0,0.0
2021-01-21,535.0,0.0,0.0
2021-01-22,575.0,0.0,0.0
2021-01-23,614.0,0.0,0.0
2021-01-24,653.0,0.0,0.0
2021-01-25,692.0,0.0,0.0
2021-01-26,732.0,0.0,0.0
2021-01-27,771.0,0.0,0.0
2021-01-28,691.0,0.0,0.0
2021-01-29,612.0,0.0,0.0
2021-01-30,532.0,0.0,0.0
2021-01-31,453.0,0.0,0.0
2021-02-01,581.0,0.0,0.0
2021-02-02,709.0,0.0,0.0
2021-02-03,837.0,0.0,0.0
2021-02-04,961.0,0.0,0.0
2021-02-05,1084.0,0.0,0.0
2021-02-06,1208.0,0.0,0.0
2021-02-07,1331.0,0.0,0.0
2021-02-08,1247.0,0.0,0.0
2021-02-09,1163.0,0.0,0.0
2021-02-10,988.0,0.0,0.0
2021-02-11,896.0,0.0,0.0
2021-02-12,805.0,0.0,0.0
2021-02-13,713.0,0.0,0.0
2021-02-14,622.0,0.0,0.0
2021-02-15,530.0,0.0,0.0
2021-02-16,439.0,0.0,0.0
2021-02-17,439.0,0.0,0.0
2021-02-18,439.0,0.0,0.0
2021-02-19,439.0,0.0,0.0
2021-02-20,439.0,0.0,0.0
2021-02-21,439.0,0.0,0.0
2021-02-22,439.0,0.0,0.0
2021-02-23,439.0,0.0,0.0
2021-02-24,439.0,0.0,0.0
2021-02-25,439.0,0.0,0.0
2021-02-26,439.0,0.0,0.0
2021-02-27,439.0,0.0,0.0
2021-02-28,439.0,0.0,0.0
2021-03-01,464.0,0.0,0.0
2021-03-02,490.0,0.0,0.0
2021-03-03,516.0,0.0,0.0
2021-03-04,541.0,0.0,0.0
2021-03-05,567.0,0.0,0.0
2021-03-06,593.0,0.0,0.0
2021-03-07,618.0,0.0,0.0
2021-03-08,618.0,0.0,0.0
2021-03-09,618.0,0.0,0.0
2021-03-10,618.0,0.0,0.0
2021-03-11,618.0,0.0,0.0
2021-03-12,618.0,0.0,0.0
2021-03-13,618.0,0.0,0.0
2021-03-14,618.0,0.0,0.0
2021-03-15,695.0,0.0,0.0
2021-03-16,772.0,0.0,0.0
2021-03-17,848.0,0.0,0.0
2021-03-18,925.0,0.0,0.0
2021-03-19,1002.0,0.0,0.0
2021-03-20,1078.0,0.0,0.0
2021-03-21,1263.0,0.0,0.0
2021-03-22,1371.0,0.0,0.0
2021-03-23,1443.0,0.0,0.0
2021-03-24,1577.0,0.0,0.0
2021-03-25,1957.0,0.0,0.0
2021-03-26,2400.0,0.0,0.0
2021-03-27,2726.0,0.0,0.0
2021-03-28,2869.0,0.0,0.0
2021-03-29,3027.0,0.0,0.0
2021-03-30,3161.0,0.0,0.0
2021-03-31,3371.0,0.0,0.0
2021-04-01,3501.0,0.0,0.0
2021-04-02,3606.0,0.0,0.0
2021-04-03,3400.0,0.0,0.0
2021-04-04,3311.0,0.0,0.0
2021-04-05,3160.0,0.0,0.0
2021-04-06,3100.0,0.0,0.0
2021-04-07,2903.0,0.0,0.0
2021-04-08,2832.0,0.0,0.0
2021-04-09,2712.0,0.0,0.0
2021-04-10,2759.0,0.0,0.0
2021-04-11,2717.0,0.0,0.0
2021-04-12,2891.0,0.0,0.0
2021-04-13,2948.0,0.0,0.0
2021-04-14,2992.0,0.0,0.0
