Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-04-21,0.0,13440.0,0.0
2021-04-22,1658.0,0.0,0.0
2021-04-23,1658.0,0.0,0.0
2021-04-24,1658.0,0.0,0.0
2021-04-25,1658.0,0.0,0.0
2021-04-26,1658.0,0.0,0.0
2021-04-27,1658.0,0.0,0.0
2021-04-28,1658.0,0.0,0.0
2021-04-29,1658.0,0.0,0.0
2021-04-30,1658.0,0.0,0.0
2021-05-01,1658.0,0.0,0.0
2021-05-02,1658.0,0.0,0.0
2021-05-03,1658.0,0.0,0.0
2021-05-04,1658.0,0.0,0.0
2021-05-05,1658.0,0.0,0.0
2021-05-06,1658.0,0.0,0.0
2021-05-07,1658.0,0.0,0.0
2021-05-08,1658.0,0.0,0.0
2021-05-09,1658.0,0.0,0.0
2021-05-10,1658.0,0.0,0.0
2021-05-11,1658.0,0.0,0.0
2021-05-12,1658.0,43140.0,588.0
2021-05-13,1456.0,0.0,0.0
2021-05-14,1253.0,0.0,0.0
2021-05-15,1050.0,0.0,0.0
2021-05-16,848.0,0.0,0.0
2021-05-17,645.0,0.0,0.0
2021-05-18,442.0,43140.0,1835.0
2021-05-19,942.0,0.0,0.0
2021-05-20,1646.0,0.0,0.0
2021-05-21,2348.0,43140.0,15300.0
2021-05-22,3023.0,0.0,0.0
2021-05-23,3698.0,0.0,0.0
2021-05-24,4373.0,0.0,0.0
2021-05-25,5048.0,0.0,0.0
2021-05-26,5021.0,43140.0,36883.0
