Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-24,0.0,55.0,0.0
2020-12-25,47.0,0.0,0.0
2020-12-26,47.0,0.0,0.0
2020-12-27,47.0,0.0,0.0
2020-12-28,47.0,0.0,0.0
2020-12-29,47.0,0.0,0.0
2020-12-30,47.0,0.0,0.0
2020-12-31,47.0,0.0,0.0
2021-01-01,47.0,0.0,0.0
2021-01-02,47.0,0.0,0.0
2021-01-03,47.0,2455.0,0.0
2021-01-04,81.0,0.0,0.0
2021-01-05,115.0,0.0,0.0
2021-01-06,150.0,0.0,0.0
2021-01-07,184.0,0.0,0.0
2021-01-08,218.0,9751.0,0.0
2021-01-09,272.0,0.0,0.0
2021-01-10,326.0,0.0,0.0
2021-01-11,345.0,0.0,0.0
2021-01-12,365.0,0.0,0.0
2021-01-13,385.0,0.0,0.0
2021-01-14,404.0,0.0,0.0
2021-01-15,424.0,24804.0,55.0
2021-01-16,406.0,0.0,0.0
2021-01-17,387.0,0.0,0.0
2021-01-18,369.0,29257.0,132.0
2021-01-19,384.0,0.0,0.0
2021-01-20,398.0,0.0,0.0
2021-01-21,413.0,0.0,0.0
2021-01-22,427.0,0.0,0.0
2021-01-23,460.0,0.0,0.0
2021-01-24,493.0,0.0,0.0
2021-01-25,526.0,45707.0,2421.0
2021-01-26,489.0,0.0,0.0
2021-01-27,452.0,0.0,0.0
2021-01-28,415.0,0.0,0.0
2021-01-29,379.0,0.0,0.0
2021-01-30,342.0,0.0,0.0
2021-01-31,305.0,0.0,0.0
2021-02-01,269.0,45863.0,11838.0
2021-02-02,300.0,0.0,0.0
2021-02-03,331.0,0.0,0.0
2021-02-04,363.0,0.0,0.0
2021-02-05,394.0,0.0,0.0
2021-02-06,425.0,0.0,0.0
2021-02-07,457.0,0.0,0.0
2021-02-08,488.0,46750.0,28363.0
2021-02-09,506.0,0.0,0.0
2021-02-10,524.0,0.0,0.0
2021-02-11,541.0,0.0,0.0
2021-02-12,559.0,0.0,0.0
2021-02-13,577.0,0.0,0.0
2021-02-14,595.0,0.0,0.0
2021-02-15,612.0,54395.0,42553.0
2021-02-16,542.0,0.0,0.0
2021-02-17,471.0,0.0,0.0
2021-02-18,401.0,0.0,0.0
2021-02-19,330.0,0.0,0.0
2021-02-20,260.0,0.0,0.0
2021-02-21,189.0,0.0,0.0
2021-02-22,119.0,57162.0,44021.0
2021-02-23,297.0,0.0,0.0
2021-02-24,474.0,0.0,0.0
2021-02-25,652.0,0.0,0.0
2021-02-26,830.0,0.0,0.0
