Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-01,0.0,0.0,0.0
2021-03-02,16.0,0.0,0.0
2021-03-03,16.0,0.0,0.0
2021-03-04,16.0,0.0,0.0
2021-03-05,16.0,0.0,0.0
2021-03-06,16.0,2058.0,0.0
2021-03-07,16.0,0.0,0.0
2021-03-08,16.0,2924.0,0.0
2021-03-09,21.0,4363.0,0.0
2021-03-10,43.0,8802.0,0.0
2021-03-11,49.0,0.0,0.0
2021-03-12,55.0,0.0,0.0
2021-03-13,61.0,0.0,0.0
2021-03-14,67.0,14937.0,0.0
2021-03-15,66.0,15181.0,0.0
2021-03-16,71.0,17448.0,0.0
2021-03-17,56.0,19113.0,0.0
2021-03-18,56.0,20766.0,0.0
2021-03-19,57.0,22443.0,0.0
2021-03-20,58.0,24171.0,0.0
2021-03-21,53.0,24639.0,0.0
2021-03-22,52.0,24728.0,0.0
2021-03-23,47.0,26079.0,0.0
2021-03-24,48.0,27886.0,0.0
2021-03-25,48.0,29535.0,0.0
2021-03-26,47.0,31104.0,0.0
2021-03-27,50.0,33395.0,0.0
2021-03-28,50.0,0.0,0.0
2021-03-29,52.0,34388.0,0.0
2021-03-30,61.0,37367.0,0.0
2021-03-31,66.0,40153.0,0.0
2021-04-01,71.0,42725.0,0.0
2021-04-02,77.0,45247.0,0.0
2021-04-03,79.0,47968.0,0.0
2021-04-04,85.0,49642.0,0.0
2021-04-05,83.0,0.0,0.0
2021-04-06,68.0,49948.0,0.0
2021-04-07,61.0,0.0,0.0
2021-04-08,56.0,53071.0,0.0
2021-04-09,84.0,60823.0,0.0
2021-04-10,100.0,66496.0,0.0
2021-04-11,104.0,68843.0,0.0
2021-04-12,130.0,0.0,0.0
2021-04-13,155.0,0.0,0.0
2021-04-14,173.0,83425.0,0.0
2021-04-15,185.0,87267.0,0.0
2021-04-16,168.0,91901.0,0.0
2021-04-17,146.0,93540.0,0.0
2021-04-18,141.0,94818.0,0.0
2021-04-19,133.0,0.0,0.0
2021-04-20,125.0,0.0,0.0
2021-04-21,117.0,105110.0,0.0
2021-04-22,118.0,109077.0,0.0
2021-04-23,115.0,113224.0,0.0
2021-04-24,128.0,117227.0,0.0
2021-04-25,130.0,118875.0,0.0
2021-04-26,116.0,119663.0,0.0
2021-04-27,131.0,125958.0,0.0
2021-04-28,148.0,132434.0,0.0
2021-04-29,169.0,140270.0,0.0
2021-04-30,194.0,149037.0,0.0
2021-05-01,226.0,158981.0,0.0
2021-05-02,240.0,163176.0,0.0
2021-05-03,264.0,168419.0,0.0
2021-05-04,311.0,183301.0,0.0
2021-05-05,352.0,197492.0,0.0
2021-05-06,405.0,215010.0,0.0
2021-05-07,470.0,235747.0,0.0
2021-05-08,505.0,252317.0,0.0
2021-05-09,539.0,262639.0,0.0
2021-05-10,534.0,267032.0,0.0
2021-05-11,528.0,280799.0,0.0
2021-05-12,515.0,292537.0,0.0
2021-05-13,435.0,295309.0,0.0
2021-05-14,356.0,301497.0,0.0
2021-05-15,372.0,321020.0,0.0
2021-05-16,385.0,333793.0,0.0
2021-05-17,395.0,340049.0,0.0
2021-05-18,463.0,366285.0,0.0
2021-05-19,534.0,391085.0,0.0
2021-05-20,667.0,418455.0,0.0
2021-05-21,790.0,447449.0,0.0
2021-05-22,824.0,473098.0,0.0
2021-05-23,826.0,486231.0,0.0
2021-05-24,818.0,491146.0,0.0
2021-05-25,704.0,496319.0,0.0
2021-05-26,656.0,0.0,0.0
2021-05-27,594.0,528084.0,0.0
2021-05-28,478.0,535748.0,0.0
