Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-06,0.0,3901.0,0.0
2021-01-07,610.0,0.0,0.0
2021-01-08,610.0,0.0,0.0
2021-01-09,610.0,0.0,0.0
2021-01-10,610.0,6035.0,0.0
2021-01-11,646.0,0.0,0.0
2021-01-12,671.0,0.0,0.0
2021-01-13,690.0,0.0,0.0
2021-01-14,717.0,0.0,0.0
2021-01-15,743.0,0.0,0.0
2021-01-16,771.0,10226.0,0.0
2021-01-17,859.0,0.0,0.0
2021-01-18,920.0,0.0,0.0
2021-01-19,981.0,0.0,0.0
2021-01-20,1042.0,0.0,0.0
2021-01-21,1103.0,0.0,0.0
2021-01-22,1165.0,0.0,0.0
2021-01-23,1225.0,15322.0,2057.0
2021-01-24,1232.0,0.0,0.0
2021-01-25,1238.0,0.0,0.0
2021-01-26,1244.0,0.0,0.0
2021-01-27,1250.0,0.0,0.0
2021-01-28,1257.0,0.0,0.0
2021-01-29,1263.0,0.0,0.0
2021-01-30,1268.0,19618.0,5551.0
2021-01-31,1258.0,0.0,0.0
2021-02-01,1248.0,0.0,0.0
2021-02-02,1236.0,0.0,0.0
2021-02-03,1226.0,0.0,0.0
2021-02-04,1215.0,0.0,0.0
2021-02-05,1204.0,0.0,0.0
2021-02-06,1193.0,22813.0,10024.0
2021-02-07,1294.0,0.0,0.0
2021-02-08,1393.0,0.0,0.0
2021-02-09,1492.0,0.0,0.0
2021-02-10,1592.0,0.0,0.0
2021-02-11,1692.0,0.0,0.0
2021-02-12,1791.0,0.0,0.0
2021-02-13,1891.0,29592.0,14837.0
2021-02-14,1909.0,0.0,0.0
2021-02-15,1926.0,0.0,0.0
2021-02-16,1944.0,0.0,0.0
2021-02-17,1963.0,0.0,0.0
2021-02-18,1981.0,0.0,0.0
2021-02-19,1998.0,0.0,0.0
2021-02-20,2016.0,37570.0,19221.0
2021-02-21,2151.0,0.0,0.0
2021-02-22,2286.0,0.0,0.0
2021-02-23,2419.0,44239.0,20323.0
2021-02-24,2763.0,0.0,0.0
2021-02-25,3107.0,0.0,0.0
2021-02-26,3450.0,53617.0,22559.0
2021-02-27,3580.0,0.0,0.0
2021-02-28,3577.0,0.0,0.0
2021-03-01,3572.0,0.0,0.0
2021-03-02,3569.0,0.0,0.0
2021-03-03,3355.0,0.0,0.0
2021-03-04,3143.0,0.0,0.0
2021-03-05,2931.0,0.0,0.0
2021-03-06,2931.0,0.0,0.0
2021-03-07,2931.0,70534.0,28741.0
2021-03-08,2890.0,0.0,0.0
2021-03-09,2850.0,0.0,0.0
2021-03-10,2810.0,0.0,0.0
2021-03-11,2770.0,0.0,0.0
2021-03-12,2730.0,0.0,0.0
2021-03-13,2689.0,0.0,0.0
2021-03-14,2649.0,0.0,0.0
2021-03-15,2649.0,0.0,0.0
