Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-17,0.0,1.0,0.0
2020-12-18,0.0,0.0,0.0
2020-12-19,0.0,2.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-21,0.0,3.0,0.0
2020-12-22,0.0,4.0,0.0
2020-12-23,0.0,8.0,0.0
2020-12-24,0.0,9.0,0.0
2020-12-25,0.0,0.0,0.0
2020-12-26,0.0,10.0,0.0
2020-12-27,156.0,6327.0,0.0
2020-12-28,205.0,8335.0,0.0
2020-12-29,421.0,17080.0,0.0
2020-12-30,697.0,28277.0,0.0
2020-12-31,845.0,34277.0,0.0
2021-01-01,901.0,36556.0,0.0
2021-01-02,1114.0,45177.0,0.0
2021-01-03,1101.0,50974.0,0.0
2021-01-04,1111.0,53370.0,1.0
2021-01-05,1220.0,66560.0,1.0
2021-01-06,1419.0,85816.0,1.0
2021-01-07,1692.0,102890.0,1.0
2021-01-08,1840.0,111147.0,1.0
2021-01-09,1673.0,113028.0,2.0
2021-01-10,1551.0,113844.0,2.0
2021-01-11,1508.0,114502.0,2.0
2021-01-12,1194.0,114966.0,2.0
2021-01-13,1030.0,127561.0,3.0
2021-01-14,1044.0,145228.0,3.0
2021-01-15,1210.0,160213.0,8.0
2021-01-16,1276.0,164743.0,16.0
2021-01-17,1334.0,167199.0,713.0
2021-01-18,1463.0,170997.0,2808.0
2021-01-19,1562.0,173439.0,4847.0
2021-01-20,1333.0,174920.0,6691.0
2021-01-21,991.0,176420.0,9004.0
2021-01-22,777.0,177074.0,14636.0
2021-01-23,856.0,177805.0,21677.0
2021-01-24,952.0,178400.0,28103.0
2021-01-25,874.0,178675.0,30568.0
2021-01-26,811.0,178884.0,32282.0
2021-01-27,841.0,179084.0,36615.0
2021-01-28,952.0,179302.0,44708.0
2021-01-29,1271.0,180389.0,62870.0
2021-01-30,1424.0,181573.0,75647.0
2021-01-31,1579.0,182764.0,87754.0
2021-02-01,1723.0,183511.0,95581.0
2021-02-02,1799.0,185513.0,98580.0
2021-02-03,1876.0,187024.0,104737.0
2021-02-04,1974.0,188431.0,115599.0
2021-02-05,1867.0,189996.0,128949.0
2021-02-06,1714.0,190999.0,135701.0
2021-02-07,1521.0,192878.0,139323.0
2021-02-08,1545.0,195396.0,146328.0
2021-02-09,1628.0,198920.0,151191.0
2021-02-10,1616.0,202187.0,155088.0
2021-02-11,1514.0,207865.0,157547.0
2021-02-12,1632.0,219928.0,165168.0
2021-02-13,1625.0,226467.0,166136.0
2021-02-14,1658.0,232673.0,166760.0
2021-02-15,1841.0,246458.0,169894.0
2021-02-16,1992.0,259660.0,171229.0
2021-02-17,2083.0,270090.0,171654.0
2021-02-18,2173.0,281540.0,171963.0
2021-02-19,2053.0,295395.0,172933.0
2021-02-20,2140.0,305845.0,173516.0
2021-02-21,2246.0,316603.0,173879.0
2021-02-22,2188.0,330076.0,174984.0
2021-02-23,2232.0,344444.0,176926.0
2021-02-24,2350.0,358118.0,178887.0
2021-02-25,2433.0,372624.0,179527.0
2021-02-26,2980.0,408596.0,180536.0
2021-02-27,2907.0,415238.0,181996.0
2021-02-28,2938.0,426200.0,183420.0
2021-03-01,3091.0,445909.0,184487.0
2021-03-02,3133.0,462608.0,185788.0
2021-03-03,3093.0,475584.0,186820.0
2021-03-04,3194.0,493003.0,188633.0
2021-03-05,2831.0,509591.0,194344.0
2021-03-06,3091.0,524209.0,198341.0
2021-03-07,3189.0,536237.0,202684.0
2021-03-08,3073.0,545822.0,209154.0
2021-03-09,3077.0,556724.0,216413.0
2021-03-10,3208.0,568783.0,223691.0
2021-03-11,3045.0,573348.0,231736.0
2021-03-12,2840.0,576704.0,242389.0
2021-03-13,2639.0,581234.0,248335.0
2021-03-14,2498.0,582466.0,257744.0
2021-03-15,2417.0,585286.0,267666.0
2021-03-16,2371.0,592106.0,277179.0
2021-03-17,2387.0,602870.0,286402.0
2021-03-18,2618.0,617563.0,293673.0
2021-03-19,2758.0,625418.0,305490.0
2021-03-20,2692.0,628372.0,310341.0
2021-03-21,2668.0,633350.0,315029.0
2021-03-22,2648.0,637450.0,322848.0
2021-03-23,2584.0,643585.0,330468.0
2021-03-24,2669.0,653473.0,344005.0
2021-03-25,2527.0,661224.0,352480.0
2021-03-26,2389.0,667398.0,360371.0
2021-03-27,2520.0,677393.0,363508.0
2021-03-28,2618.0,688205.0,366333.0
2021-03-29,2923.0,706238.0,372581.0
2021-03-30,3270.0,727954.0,378687.0
2021-03-31,3260.0,741086.0,388550.0
2021-04-01,3135.0,745283.0,395526.0
2021-04-02,3083.0,750183.0,402574.0
2021-04-03,3113.0,762328.0,404773.0
2021-04-04,3109.0,774028.0,406568.0
2021-04-05,2847.0,786357.0,407897.0
2021-04-06,2708.0,802386.0,414052.0
2021-04-07,2757.0,819034.0,422388.0
2021-04-08,3034.0,832776.0,431035.0
2021-04-09,3362.0,849278.0,439790.0
2021-04-10,3557.0,866064.0,445270.0
2021-04-11,3689.0,880968.0,449209.0
2021-04-12,5960.0,975138.0,460786.0
2021-04-13,6026.0,993676.0,467072.0
2021-04-14,5968.0,1005105.0,478305.0
2021-04-15,6020.0,1020415.0,487470.0
2021-04-16,6030.0,1037851.0,495708.0
2021-04-17,6013.0,1056676.0,498457.0
2021-04-18,6033.0,1071178.0,503619.0
2021-04-19,4394.0,1095990.0,518083.0
2021-04-20,4746.0,1118013.0,535148.0
2021-04-21,5058.0,1140513.0,547993.0
2021-04-22,5284.0,1168718.0,553406.0
2021-04-23,5475.0,1190893.0,564671.0
2021-04-24,5499.0,1205802.0,572300.0
2021-04-25,5520.0,1221000.0,577596.0
2021-04-26,5523.0,1252515.0,585491.0
2021-04-27,5731.0,1279089.0,606451.0
2021-04-28,5964.0,1303213.0,627110.0
2021-04-29,6218.0,1329134.0,645092.0
2021-04-30,5821.0,1342552.0,649041.0
2021-05-01,5596.0,1349832.0,655174.0
2021-05-02,5842.0,1366477.0,668983.0
2021-05-03,6504.0,1386911.0,714790.0
2021-05-04,6625.0,1414525.0,739621.0
2021-05-05,6903.0,1441309.0,768919.0
2021-05-06,6982.0,1462818.0,794508.0
2021-05-07,7568.0,1479277.0,819145.0
2021-05-08,8230.0,1488687.0,850025.0
2021-05-09,8284.0,1504581.0,866745.0
2021-05-10,8196.0,1531118.0,902901.0
2021-05-11,8282.0,1560773.0,929175.0
2021-05-12,8209.0,1586887.0,956177.0
2021-05-13,8017.0,1606517.0,975867.0
2021-05-14,8269.0,1627020.0,1006670.0
2021-05-15,8134.0,1642397.0,1026130.0
