Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-04-17,0.0,10246.0,0.0
2021-04-18,257.0,0.0,0.0
2021-04-19,257.0,0.0,0.0
2021-04-20,257.0,0.0,0.0
2021-04-21,257.0,0.0,0.0
2021-04-22,257.0,0.0,0.0
2021-04-23,257.0,0.0,0.0
2021-04-24,257.0,0.0,0.0
2021-04-25,257.0,0.0,0.0
2021-04-26,257.0,0.0,0.0
2021-04-27,257.0,0.0,0.0
2021-04-28,257.0,12547.0,495.0
2021-04-29,231.0,0.0,0.0
2021-04-30,204.0,0.0,0.0
2021-05-01,179.0,0.0,0.0
2021-05-02,153.0,0.0,0.0
2021-05-03,127.0,0.0,0.0
2021-05-04,100.0,0.0,0.0
2021-05-05,74.0,0.0,0.0
2021-05-06,74.0,0.0,0.0
2021-05-07,74.0,0.0,0.0
2021-05-08,74.0,0.0,0.0
2021-05-09,74.0,0.0,0.0
2021-05-10,74.0,0.0,0.0
2021-05-11,74.0,0.0,0.0
2021-05-12,74.0,0.0,0.0
2021-05-13,74.0,0.0,0.0
2021-05-14,74.0,0.0,0.0
2021-05-15,74.0,0.0,0.0
2021-05-16,74.0,0.0,0.0
2021-05-17,74.0,0.0,0.0
2021-05-18,74.0,0.0,0.0
2021-05-19,74.0,0.0,0.0
2021-05-20,74.0,0.0,0.0
2021-05-21,74.0,0.0,0.0
2021-05-22,74.0,0.0,0.0
2021-05-23,74.0,0.0,0.0
2021-05-24,74.0,12547.0,2396.0
