Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-17,0.0,0.0,0.0
2021-03-18,260.0,0.0,0.0
2021-03-19,260.0,0.0,0.0
2021-03-20,260.0,0.0,0.0
2021-03-21,260.0,0.0,0.0
2021-03-22,260.0,0.0,0.0
2021-03-23,260.0,0.0,0.0
2021-03-24,260.0,0.0,0.0
2021-03-25,260.0,0.0,0.0
2021-03-26,260.0,0.0,0.0
2021-03-27,260.0,0.0,0.0
2021-03-28,260.0,0.0,0.0
2021-03-29,260.0,0.0,0.0
2021-03-30,260.0,0.0,0.0
2021-03-31,260.0,0.0,0.0
2021-04-01,260.0,0.0,0.0
2021-04-02,260.0,0.0,0.0
2021-04-03,260.0,0.0,0.0
2021-04-04,260.0,0.0,0.0
2021-04-05,260.0,0.0,0.0
2021-04-06,260.0,0.0,0.0
2021-04-07,260.0,0.0,0.0
2021-04-08,260.0,0.0,0.0
2021-04-09,260.0,0.0,0.0
2021-04-10,260.0,0.0,0.0
2021-04-11,260.0,0.0,0.0
2021-04-12,260.0,0.0,0.0
2021-04-13,260.0,6278.0,0.0
2021-04-14,1930.0,0.0,0.0
2021-04-15,3600.0,27705.0,0.0
2021-04-16,8072.0,56000.0,0.0
2021-04-17,8035.0,0.0,0.0
2021-04-18,7998.0,0.0,0.0
2021-04-19,7960.0,0.0,0.0
2021-04-20,7924.0,56000.0,0.0
2021-04-21,6497.0,0.0,0.0
2021-04-22,5071.0,0.0,0.0
2021-04-23,842.0,0.0,0.0
2021-04-24,1123.0,0.0,0.0
2021-04-25,1404.0,0.0,0.0
2021-04-26,1684.0,0.0,0.0
2021-04-27,1966.0,0.0,0.0
2021-04-28,1966.0,0.0,0.0
2021-04-29,1966.0,0.0,0.0
2021-04-30,1966.0,0.0,0.0
2021-05-01,1966.0,0.0,0.0
2021-05-02,1966.0,0.0,0.0
2021-05-03,1966.0,0.0,0.0
2021-05-04,1966.0,0.0,0.0
2021-05-05,1966.0,0.0,0.0
2021-05-06,1966.0,0.0,0.0
2021-05-07,1966.0,0.0,0.0
2021-05-08,1966.0,0.0,0.0
2021-05-09,1966.0,0.0,0.0
2021-05-10,1966.0,0.0,0.0
2021-05-11,1966.0,93000.0,0.0
