Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-27,0.0,20.0,0.0
2020-12-28,1.0,89.0,0.0
2020-12-29,1.0,197.0,0.0
2020-12-30,1.0,317.0,0.0
2020-12-31,1.0,400.0,0.0
2021-01-01,1.0,467.0,0.0
2021-01-02,1.0,545.0,0.0
2021-01-03,1.0,634.0,0.0
2021-01-04,4.0,2106.0,0.0
2021-01-05,15.0,7492.0,0.0
2021-01-06,39.0,18782.0,0.0
2021-01-07,99.0,47325.0,0.0
2021-01-08,176.0,83487.0,0.0
2021-01-09,198.0,94388.0,0.0
2021-01-10,210.0,99998.0,0.0
2021-01-11,289.0,138928.0,0.0
2021-01-12,406.0,199702.0,0.0
2021-01-13,517.0,263377.0,0.0
2021-01-14,626.0,343170.0,0.0
2021-01-15,692.0,410545.0,0.0
2021-01-16,710.0,430150.0,78.0
2021-01-17,720.0,440613.0,120.0
2021-01-18,817.0,524910.0,283.0
2021-01-19,960.0,653242.0,410.0
2021-01-20,1111.0,788197.0,569.0
2021-01-21,1270.0,943312.0,704.0
2021-01-22,1379.0,1061723.0,866.0
2021-01-23,1417.0,1099489.0,916.0
2021-01-24,1415.0,1108842.0,943.0
2021-01-25,1401.0,1185590.0,2161.0
2021-01-26,1345.0,1284282.0,5271.0
2021-01-27,1294.0,1389839.0,10871.0
2021-01-28,1254.0,1512049.0,25232.0
2021-01-29,1232.0,1602869.0,42526.0
2021-01-30,1222.0,1631499.0,46751.0
2021-01-31,1216.0,1636363.0,48432.0
2021-02-01,1205.0,1687869.0,69566.0
2021-02-02,1212.0,1758469.0,104152.0
2021-02-03,1205.0,1829382.0,141136.0
2021-02-04,1192.0,1909831.0,191218.0
2021-02-05,1201.0,1976857.0,236566.0
2021-02-06,1199.0,1998134.0,246967.0
2021-02-07,1206.0,2002958.0,252013.0
2021-02-08,1246.0,2048765.0,298010.0
2021-02-09,1314.0,2113458.0,370431.0
2021-02-10,1394.0,2182649.0,447142.0
2021-02-11,1508.0,2268154.0,546316.0
2021-02-12,1592.0,2345789.0,620614.0
2021-02-13,1612.0,2367431.0,640110.0
2021-02-14,1616.0,2372010.0,647303.0
2021-02-15,1662.0,2409029.0,723815.0
2021-02-16,1689.0,2458190.0,824583.0
2021-02-17,1703.0,2507472.0,927572.0
2021-02-18,1706.0,2575291.0,1046184.0
2021-02-19,1712.0,2638930.0,1136950.0
2021-02-20,1723.0,2656885.0,1165382.0
2021-02-21,1717.0,2659742.0,1171759.0
2021-02-22,1709.0,2696171.0,1244902.0
2021-02-23,1681.0,2748638.0,1329050.0
2021-02-24,1653.0,2806591.0,1410203.0
2021-02-25,1660.0,2905022.0,1501631.0
2021-02-26,1720.0,3016587.0,1572673.0
2021-02-27,1776.0,3067661.0,1594652.0
2021-02-28,1778.0,3073323.0,1599066.0
2021-03-01,1792.0,3136773.0,1651881.0
2021-03-02,1853.0,3235932.0,1718164.0
2021-03-03,1937.0,3349198.0,1783724.0
2021-03-04,2019.0,3508976.0,1852619.0
2021-03-05,2184.0,3706331.0,1916019.0
2021-03-06,2499.0,3910478.0,1933844.0
2021-03-07,2742.0,4030039.0,1939324.0
2021-03-08,2825.0,4134459.0,1990136.0
2021-03-09,2952.0,4303475.0,2046919.0
2021-03-10,3065.0,4478484.0,2104141.0
2021-03-11,3220.0,4716990.0,2167282.0
2021-03-12,3395.0,5006983.0,2220805.0
2021-03-13,3439.0,5234511.0,2236097.0
2021-03-14,3313.0,5296550.0,2239534.0
2021-03-15,3382.0,5451922.0,2272225.0
2021-03-16,3282.0,5591062.0,2311779.0
2021-03-17,3186.0,5738902.0,2350621.0
2021-03-18,2991.0,5903707.0,2395291.0
2021-03-19,2822.0,6129864.0,2432784.0
2021-03-20,2681.0,6294104.0,2444571.0
2021-03-21,2651.0,6342812.0,2447199.0
2021-03-22,2679.0,6509593.0,2481502.0
2021-03-23,2911.0,6755838.0,2523915.0
2021-03-24,3144.0,7008694.0,2567788.0
2021-03-25,3508.0,7345561.0,2612555.0
2021-03-26,3788.0,7699560.0,2654475.0
2021-03-27,3858.0,7892182.0,2671133.0
2021-03-28,3881.0,7950451.0,2674870.0
2021-03-29,3993.0,8150526.0,2729190.0
2021-03-30,4125.0,8431954.0,2798877.0
2021-03-31,4200.0,8690854.0,2871829.0
2021-04-01,4232.0,9000112.0,2959690.0
2021-04-02,4176.0,9277245.0,3051827.0
2021-04-03,4158.0,9416201.0,3113706.0
2021-04-04,4161.0,9461018.0,3132372.0
2021-04-05,3771.0,9519722.0,3143381.0
2021-04-06,3706.0,9732315.0,3251300.0
2021-04-07,3790.0,9988143.0,3366809.0
2021-04-08,3909.0,10320237.0,3488277.0
2021-04-09,4229.0,10724184.0,3604844.0
