Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-09,0.0,0.0,0.0
2021-03-10,116.0,0.0,0.0
2021-03-11,116.0,0.0,0.0
2021-03-12,116.0,0.0,0.0
2021-03-13,116.0,0.0,0.0
2021-03-14,116.0,0.0,0.0
2021-03-15,116.0,0.0,0.0
2021-03-16,116.0,0.0,0.0
2021-03-17,116.0,0.0,0.0
2021-03-18,116.0,0.0,0.0
2021-03-19,116.0,0.0,0.0
2021-03-20,116.0,0.0,0.0
2021-03-21,116.0,0.0,0.0
2021-03-22,116.0,0.0,0.0
2021-03-23,116.0,0.0,0.0
2021-03-24,116.0,0.0,0.0
2021-03-25,116.0,0.0,0.0
2021-03-26,116.0,0.0,0.0
2021-03-27,116.0,0.0,0.0
2021-03-28,116.0,5345.0,0.0
2021-03-29,148.0,0.0,0.0
2021-03-30,180.0,0.0,0.0
2021-03-31,211.0,0.0,0.0
2021-04-01,242.0,0.0,0.0
2021-04-02,274.0,0.0,0.0
2021-04-03,305.0,0.0,0.0
2021-04-04,337.0,0.0,0.0
2021-04-05,337.0,0.0,0.0
2021-04-06,337.0,12674.0,0.0
2021-04-07,369.0,0.0,0.0
2021-04-08,401.0,0.0,0.0
2021-04-09,432.0,16735.0,0.0
2021-04-10,401.0,0.0,0.0
2021-04-11,370.0,0.0,0.0
2021-04-12,338.0,0.0,0.0
2021-04-13,306.0,0.0,0.0
2021-04-14,242.0,0.0,0.0
2021-04-15,179.0,0.0,0.0
2021-04-16,115.0,0.0,0.0
2021-04-17,115.0,0.0,0.0
2021-04-18,115.0,0.0,0.0
2021-04-19,115.0,0.0,0.0
2021-04-20,115.0,0.0,0.0
2021-04-21,115.0,0.0,0.0
2021-04-22,115.0,0.0,0.0
2021-04-23,115.0,0.0,0.0
2021-04-24,115.0,20922.0,0.0
2021-04-25,119.0,0.0,0.0
2021-04-26,122.0,0.0,0.0
2021-04-27,126.0,0.0,0.0
2021-04-28,130.0,0.0,0.0
2021-04-29,133.0,0.0,0.0
2021-04-30,137.0,0.0,0.0
2021-05-01,141.0,0.0,0.0
2021-05-02,141.0,0.0,0.0
2021-05-03,141.0,0.0,0.0
2021-05-04,141.0,0.0,0.0
2021-05-05,141.0,24659.0,0.0
2021-05-06,132.0,0.0,0.0
2021-05-07,124.0,0.0,0.0
2021-05-08,115.0,0.0,0.0
2021-05-09,107.0,25445.0,0.0
2021-05-10,96.0,0.0,0.0
2021-05-11,86.0,25776.0,0.0
2021-05-12,75.0,0.0,0.0
2021-05-13,73.0,0.0,0.0
2021-05-14,71.0,0.0,0.0
2021-05-15,69.0,0.0,0.0
2021-05-16,67.0,0.0,0.0
2021-05-17,66.0,0.0,0.0
2021-05-18,66.0,26593.0,300.0
2021-05-19,77.0,0.0,0.0
2021-05-20,87.0,0.0,0.0
2021-05-21,98.0,0.0,0.0
2021-05-22,108.0,0.0,0.0
2021-05-23,119.0,27266.0,1324.0
2021-05-24,227.0,0.0,0.0
2021-05-25,334.0,0.0,0.0
2021-05-26,432.0,0.0,0.0
2021-05-27,528.0,0.0,0.0
2021-05-28,625.0,33819.0,4671.0
