Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-14,0.0,0.0,0.0
2021-03-15,82.0,0.0,0.0
2021-03-16,82.0,0.0,0.0
2021-03-17,82.0,0.0,0.0
2021-03-18,82.0,0.0,0.0
2021-03-19,82.0,0.0,0.0
2021-03-20,82.0,0.0,0.0
2021-03-21,82.0,0.0,0.0
2021-03-22,82.0,0.0,0.0
2021-03-23,82.0,0.0,0.0
2021-03-24,82.0,0.0,0.0
2021-03-25,82.0,0.0,0.0
2021-03-26,82.0,0.0,0.0
2021-03-27,82.0,0.0,0.0
2021-03-28,82.0,0.0,0.0
2021-03-29,82.0,4924.0,0.0
2021-03-30,122.0,0.0,0.0
2021-03-31,162.0,7822.0,0.0
2021-04-01,178.0,0.0,0.0
2021-04-02,193.0,0.0,0.0
2021-04-03,209.0,0.0,0.0
2021-04-04,224.0,0.0,0.0
2021-04-05,239.0,11603.0,0.0
2021-04-06,260.0,0.0,0.0
2021-04-07,282.0,15693.0,0.0
2021-04-08,283.0,0.0,0.0
2021-04-09,284.0,17261.0,0.0
2021-04-10,294.0,18287.0,0.0
2021-04-11,308.0,0.0,0.0
2021-04-12,323.0,20622.0,0.0
2021-04-13,302.0,22090.0,0.0
2021-04-14,279.0,23493.0,0.0
2021-04-15,302.0,24917.0,0.0
2021-04-16,328.0,26427.0,0.0
2021-04-17,335.0,27654.0,0.0
2021-04-18,339.0,0.0,0.0
2021-04-19,343.0,30209.0,0.0
2021-04-20,320.0,31019.0,0.0
2021-04-21,302.0,31911.0,0.0
2021-04-22,302.0,33337.0,0.0
2021-04-23,303.0,34897.0,0.0
2021-04-24,301.0,36056.0,0.0
2021-04-25,351.0,0.0,0.0
2021-04-26,402.0,38553.0,2887.0
2021-04-27,455.0,40095.0,3622.0
2021-04-28,512.0,41801.0,4397.0
2021-04-29,553.0,43568.0,5218.0
2021-04-30,591.0,45338.0,6064.0
2021-05-01,575.0,0.0,0.0
2021-05-02,504.0,0.0,0.0
2021-05-03,433.0,0.0,0.0
2021-05-04,377.0,0.0,0.0
2021-05-05,314.0,47949.0,7009.0
2021-05-06,383.0,51600.0,7873.0
2021-05-07,429.0,54687.0,8700.0
2021-05-08,571.0,58533.0,9512.0
2021-05-09,639.0,0.0,0.0
2021-05-10,708.0,62447.0,10852.0
2021-05-11,874.0,67136.0,11504.0
2021-05-12,1038.0,71570.0,12375.0
2021-05-13,1108.0,77343.0,13084.0
2021-05-14,1117.0,81076.0,13507.0
2021-05-15,1117.0,85286.0,13948.0
2021-05-16,1106.0,0.0,0.0
2021-05-17,1096.0,89260.0,14643.0
2021-05-18,1065.0,93305.0,15077.0
2021-05-19,1029.0,97153.0,15513.0
2021-05-20,962.0,101415.0,15874.0
2021-05-21,969.0,105500.0,16147.0
2021-05-22,948.0,109395.0,16323.0
2021-05-23,934.0,0.0,0.0
2021-05-24,919.0,113000.0,16555.0
2021-05-25,925.0,117354.0,16864.0
2021-05-26,935.0,121263.0,17518.0
2021-05-27,992.0,125601.0,19392.0
2021-05-28,1055.0,130037.0,21058.0
2021-05-29,1199.0,134602.0,24607.0
2021-05-30,1235.0,0.0,0.0
2021-05-31,1270.0,138914.0,26101.0
